constraint	context	t1	t2	from	to	eps1	eps2	supp1	supp2	eps_pin_type	supp_pin_type
magisterial_integralist_reading	powerless/biographical/trapped/local	0	25	unknown	tangled_rope	0.3	0.35	0.45	0.5	unknown	tangled_rope
medical_debt_collection_escalation	powerless/biographical/trapped/local	0	5	tangled_rope	snare	0.42	0.61	0.58	0.71	tangled_rope	tangled_rope
medical_debt_collection_escalation	moderate/biographical/mobile/national	0	5	tangled_rope	snare	0.42	0.61	0.58	0.71	tangled_rope	tangled_rope
medical_debt_collection_escalation	analytical/civilizational/analytical/global	0	5	tangled_rope	snare	0.42	0.61	0.58	0.71	tangled_rope	tangled_rope
optimization_artifact_risk	powerless/biographical/trapped/local	3	6	tangled_rope	snare	0.54	0.62	0.58	0.66	tangled_rope	tangled_rope
optimization_artifact_risk	moderate/biographical/mobile/national	3	6	tangled_rope	snare	0.54	0.62	0.58	0.66	tangled_rope	tangled_rope
optimization_artifact_risk	analytical/civilizational/analytical/global	3	6	tangled_rope	snare	0.54	0.62	0.58	0.66	snare	tangled_rope
platform_flexibility_precarity_tradeoff	moderate/biographical/mobile/national	3	6	rope	naturalized	0.45	0.52	0.5	0.58	rope	naturalized
platform_flexibility_precarity_tradeoff	analytical/civilizational/analytical/global	6	9	tangled_rope	snare	0.52	0.58	0.58	0.62	snare	tangled_rope
probation_supervision_intensification	powerless/biographical/trapped/local	5	10	tangled_rope	snare	0.52	0.72	0.71	0.81	tangled_rope	snare
probation_supervision_intensification	moderate/biographical/mobile/national	5	10	tangled_rope	snare	0.52	0.72	0.71	0.81	tangled_rope	snare
probation_supervision_intensification	analytical/civilizational/analytical/global	0	5	tangled_rope	snare	0.35	0.52	0.55	0.71	tangled_rope	tangled_rope
recalibration_interpretive_validity	powerless/biographical/trapped/local	0	3	unknown	tangled_rope	0.3	0.36	0.45	0.52	unknown	tangled_rope
recalibration_interpretive_validity	moderate/biographical/mobile/national	0	3	rope	tangled_rope	0.3	0.36	0.45	0.52	rope	tangled_rope
representation_legitimacy_gap	powerless/biographical/trapped/local	10	20	tangled_rope	snare	0.52	0.61	0.62	0.68	tangled_rope	snare
representation_legitimacy_gap	moderate/biographical/mobile/national	10	20	tangled_rope	snare	0.52	0.61	0.62	0.68	tangled_rope	snare
representation_legitimacy_gap	analytical/civilizational/analytical/global	0	10	tangled_rope	snare	0.45	0.52	0.55	0.62	tangled_rope	tangled_rope
retirement_security_deficit	analytical/civilizational/analytical/global	6	9	tangled_rope	snare	0.5	0.55	0.55	0.6	snare	tangled_rope
secular_humanist_reading	analytical/civilizational/analytical/global	25	50	rope	unknown	0.24	0.28	0.33	0.35	rope	unknown
surveillance_control_freedom	powerless/biographical/trapped/local	10	15	tangled_rope	snare	0.58	0.65	0.63	0.72	tangled_rope	snare
surveillance_control_freedom	moderate/biographical/mobile/national	10	15	tangled_rope	snare	0.58	0.65	0.63	0.72	tangled_rope	snare
surveillance_control_freedom	analytical/civilizational/analytical/global	5	10	tangled_rope	snare	0.48	0.58	0.52	0.63	tangled_rope	tangled_rope
technocratic_paradigm_resistance	powerless/biographical/trapped/local	3	6	tangled_rope	snare	0.59	0.64	0.64	0.69	tangled_rope	snare
technocratic_paradigm_resistance	moderate/biographical/mobile/national	3	6	tangled_rope	snare	0.59	0.64	0.64	0.69	tangled_rope	snare
technocratic_paradigm_resistance	analytical/civilizational/analytical/global	0	3	tangled_rope	snare	0.52	0.59	0.58	0.64	snare	tangled_rope
tenant_displacement_renovation_eviction	powerless/biographical/trapped/local	5	10	tangled_rope	snare	0.58	0.68	0.7	0.72	tangled_rope	snare
tenant_displacement_renovation_eviction	moderate/biographical/mobile/national	5	10	tangled_rope	snare	0.58	0.68	0.7	0.72	tangled_rope	snare
tenant_displacement_renovation_eviction	analytical/civilizational/analytical/global	0	5	tangled_rope	snare	0.48	0.58	0.64	0.7	tangled_rope	snare
truth_as_common_good	institutional/generational/arbitrage/national	3	6	rope	tangled_rope	0.42	0.51	0.52	0.58	rope	tangled_rope
truth_as_common_good	analytical/civilizational/analytical/global	6	9	tangled_rope	snare	0.51	0.58	0.58	0.62	snare	tangled_rope
union_decertification_campaign	powerless/biographical/trapped/local	6	12	tangled_rope	snare	0.58	0.68	0.65	0.72	tangled_rope	snare
union_decertification_campaign	moderate/biographical/mobile/national	6	12	tangled_rope	snare	0.58	0.68	0.65	0.72	tangled_rope	snare
union_decertification_campaign	analytical/civilizational/analytical/global	0	6	tangled_rope	snare	0.45	0.58	0.5	0.65	tangled_rope	tangled_rope
veto_asymmetry	powerless/biographical/trapped/local	30	45	tangled_rope	snare	0.59	0.62	0.64	0.68	tangled_rope	snare
veto_asymmetry	moderate/biographical/mobile/national	30	45	tangled_rope	snare	0.59	0.62	0.64	0.68	tangled_rope	snare
veto_asymmetry	analytical/civilizational/analytical/global	15	30	tangled_rope	snare	0.54	0.59	0.58	0.64	snare	tangled_rope
war_normalization_ai_weapons	powerless/biographical/trapped/local	6	9	tangled_rope	snare	0.58	0.65	0.65	0.7	tangled_rope	snare
war_normalization_ai_weapons	moderate/biographical/mobile/national	0	3	rope	tangled_rope	0.35	0.48	0.5	0.58	rope	tangled_rope
war_normalization_ai_weapons	analytical/civilizational/analytical/global	3	6	tangled_rope	snare	0.48	0.58	0.58	0.65	tangled_rope	tangled_rope
war_normalization_autonomous_weapons	powerless/biographical/trapped/local	3	6	tangled_rope	snare	0.58	0.68	0.65	0.73	tangled_rope	snare
war_normalization_autonomous_weapons	moderate/biographical/mobile/national	3	6	tangled_rope	snare	0.58	0.68	0.65	0.73	tangled_rope	snare
war_normalization_autonomous_weapons	institutional/generational/arbitrage/national	0	3	rope	naturalized	0.45	0.58	0.55	0.65	rope	naturalized
war_normalization_autonomous_weapons	institutional/generational/arbitrage/national	3	6	naturalized	tangled_rope	0.58	0.68	0.65	0.73	naturalized	tangled_rope
war_normalization_autonomous_weapons	analytical/civilizational/analytical/global	0	3	tangled_rope	snare	0.45	0.58	0.55	0.65	tangled_rope	tangled_rope
work_dignity_automation	analytical/civilizational/analytical/global	20	30	tangled_rope	snare	0.5	0.55	0.56	0.6	snare	tangled_rope
work_displacement_dignity	powerless/biographical/trapped/local	3	6	tangled_rope	snare	0.52	0.61	0.6	0.66	tangled_rope	snare
work_displacement_dignity	moderate/biographical/mobile/national	3	6	tangled_rope	snare	0.52	0.61	0.6	0.66	tangled_rope	snare
work_displacement_dignity	analytical/civilizational/analytical/global	0	3	tangled_rope	snare	0.45	0.52	0.55	0.6	tangled_rope	tangled_rope
