CROSS-DOMAIN SIGNATURE ANALYSIS
PLANETARY_BOUNDARIES: Distance 0.4500
AI_EDU_DECENTRALIZATION: Distance 0.4583
EXPLORATION_VS_EXPLOITATION: Distance 0.4583
FAIR_USE_DOCTRINE: Distance 0.4583
FAST_GROWING_HIERARCHY: Distance 0.4583
KJV_GREAT_AWAKENING: Distance 0.4583
MARRIAGE_PROBLEM: Distance 0.4583
RELATIVITY_OF_SIMULTANEITY: Distance 0.4583
COLUMBIA_2026_ELECTIONS: Distance 0.5025
CHOICE_ARCHITECTURE_DESIGN: Distance 0.5477
PUBLIC_DOMAIN_COMMONS: Distance 0.5477
TRADE_SECRET_LAW: Distance 0.5477
BIOLOGICAL_CURIOSITY: Distance 0.6403
COPYLEFT_VIRAL_LICENSING: Distance 0.6403
GENETIC_ALGORITHMS_EVOLUTION: Distance 0.6403
GOLDEN_HANDCUFFS: Distance 0.6403
HAMILTONIAN_PATH_COMPLEXITY: Distance 0.6403
KJV_LINGUISTIC_RESIDUE: Distance 0.6403
MAX_FLOW: Distance 0.6403
SHANNON_ENTROPY_LIMIT: Distance 0.6403
SKILLS_BASED_HIRING: Distance 0.6403
TRAVELING_SALESPERSON_PROBLEM: Distance 0.6403
ROTATION_SEVEN_BLACK_SOIL: Distance 0.7000
AUTOMATIC_ENROLLMENT_DEFAULTS: Distance 0.7348
CREATIVE_COMMONS_LICENSING: Distance 0.7348
HEURISTIC_OPTIMIZATION: Distance 0.7348
INFORMATION_FORAGING_THEORY: Distance 0.7348
PERMISSIVE_SOFTWARE_LICENSING: Distance 0.7348
RELATIVITY_PHYSICAL_INVARIANCE: Distance 0.7348
