cid	seat	role	power	time	exit	scope	agent_seat	d	chi	type_token	raw_derivation	raw_type	metric_type	perceived	signature	imm_hole
adjunctification_of_university_teaching_c0	faculty_unions	excluded	organized	biographical	constrained	regional	false	0.920000	0.964130	snare	ok	snare	snare	immutable	constructed_high_extraction	false
adverse_effect_guarantee_kernel_flat_control	department_of_labor	agenda_setter	institutional	generational	analytical	national	true	0.120000	-0.024506	naturalized	ok	naturalized	naturalized	changeable	constructed_high_extraction	true
adverse_effect_guarantee_kernel_flat_control	agricultural_employers	beneficiary	organized	biographical	constrained	regional	true	0.270000	0.073975	naturalized	ok	naturalized	naturalized	immutable	constructed_high_extraction	false
adverse_effect_guarantee_kernel_flat_control	h2a_guestworkers	beneficiary	powerless	biographical	trapped	national	true	0.300000	0.112235	naturalized	ok	naturalized	naturalized	immutable	constructed_high_extraction	false
adverse_effect_guarantee_kernel_flat_control	domestic_farmworkers	payer	powerless	biographical	constrained	regional	true	0.870000	0.696062	tangled_rope	ok	tangled_rope	tangled_rope	immutable	constructed_high_extraction	false
adverse_effect_guarantee_kernel_flat_control	united_farm_workers_members	excluded	organized	generational	constrained	national	false	0.920000	0.796575	tangled_rope	ok	tangled_rope	tangled_rope	changeable	constructed_high_extraction	false
adverse_effect_guarantee_kernel_flat_control	federal_courts	observer	institutional	generational	analytical	national	true	0.720000	0.662133	tangled_rope	ok	tangled_rope	tangled_rope	changeable	constructed_high_extraction	true
adverse_effect_measurability_flat_control	dol_certifying_office	agenda_setter	institutional	generational	analytical	national	true	0.120000	-0.026196	naturalized	ok	naturalized	naturalized	changeable	constructed_high_extraction	true
adverse_effect_measurability_flat_control	agricultural_employers	beneficiary	organized	biographical	mobile	national	true	0.250000	0.068277	naturalized	ok	naturalized	naturalized	changeable	constructed_high_extraction	false
adverse_effect_measurability_flat_control	us_farmworkers	payer	powerless	biographical	trapped	regional	true	0.900000	0.758102	tangled_rope	ok	tangled_rope	tangled_rope	immutable	constructed_high_extraction	false
adverse_effect_measurability_flat_control	h2a_guest_workers	payer	powerless	immediate	identity_locked	national	true	0.890000	0.837391	tangled_rope	ok	tangled_rope	tangled_rope	immutable	constructed_high_extraction	false
adverse_effect_measurability_flat_control	usda_farm_labor_survey_office	observer	institutional	generational	analytical	national	true	0.720000	0.707798	tangled_rope	ok	tangled_rope	tangled_rope	changeable	constructed_high_extraction	true
adverse_effect_measurability_flat_control	worker_advocacy_organizations	excluded	moderate	biographical	constrained	regional	false	0.920000	0.766360	tangled_rope	ok	tangled_rope	tangled_rope	immutable	constructed_high_extraction	false
ai_governance_legitimacy__democratic_pluralist_reading	democratic_institutions	agenda_setter	institutional	generational	constrained	national	true	0.140000	-0.009688	piton	ok	piton	scaffold	changeable	false_ci_rope	false
ai_governance_legitimacy__democratic_pluralist_reading	civil_society_organizations	beneficiary	organized	biographical	mobile	national	true	0.250000	0.044049	piton	ok	piton	scaffold	changeable	false_ci_rope	false
ai_governance_legitimacy__democratic_pluralist_reading	minority_rights_holders	beneficiary	moderate	biographical	constrained	national	true	0.270000	0.056686	piton	ok	piton	scaffold	immutable	false_ci_rope	false
ai_governance_legitimacy__democratic_pluralist_reading	populations_excluded_from_deliberation	payer	powerless	biographical	trapped	national	true	0.900000	0.543443	piton	ok	piton	unknown	immutable	false_ci_rope	false
ai_governance_legitimacy__democratic_pluralist_reading	populations_under_authoritarian_regimes	payer	powerless	generational	trapped	national	true	0.900000	0.543443	piton	ok	piton	unknown	immutable	false_ci_rope	false
ai_governance_legitimacy__democratic_pluralist_reading	religious_and_technocratic_traditions	excluded	organized	civilizational	mobile	global	false	0.900000	0.652131	piton	ok	piton	unknown	changeable	false_ci_rope	false
ai_governance_legitimacy__democratic_pluralist_reading	political_theology_scholars	observer	analytical	civilizational	analytical	global	true	0.720000	0.547972	piton	ok	piton	unknown	immutable	false_ci_rope	false
algorithmic_attribution_flat_control	injured_products_liability_plaintiffs	payer	powerless	biographical	trapped	national	true	0.900000	0.570615	piton	ok	piton	unknown	immutable	false_ci_rope	false
algorithmic_attribution_flat_control	realpage_and_algorithmic_pricing_vendors	agenda_setter	organized	generational	arbitrage	national	true	0.090000	-0.027801	piton	ok	piton	rope	changeable	false_ci_rope	false
algorithmic_attribution_flat_control	rental_market_tenants	payer	powerless	biographical	trapped	regional	true	0.900000	0.513553	piton	ok	piton	unknown	immutable	false_ci_rope	false
algorithmic_attribution_flat_control	third_circuit	agenda_setter	institutional	generational	analytical	national	true	0.120000	-0.017746	piton	ok	piton	unknown	changeable	false_ci_rope	true
algorithmic_attribution_flat_control	department_of_justice	agenda_setter	institutional	generational	analytical	national	true	0.120000	-0.017746	piton	ok	piton	unknown	changeable	false_ci_rope	true
algorithmic_attribution_flat_control	algorithm_manufacturers_general	payer	powerful	generational	constrained	national	true	0.870000	0.560050	piton	ok	piton	unknown	changeable	false_ci_rope	false
algorithmic_attribution_flat_control	legal_scholars_and_appellate_judges	observer	analytical	civilizational	analytical	national	true	0.720000	0.479476	piton	ok	piton	unknown	immutable	false_ci_rope	false
alignment_constraint_narrowing	ai_safety_compliance_teams	agenda_setter	institutional	biographical	mobile	global	true	0.120000	-0.034478	rope	ok	rope	rope	changeable	constructed_high_extraction	false
alignment_constraint_narrowing	copyright_holders	beneficiary	powerful	generational	constrained	global	true	0.270000	0.115640	naturalized	ok	naturalized	naturalized	changeable	constructed_high_extraction	false
alignment_constraint_narrowing	content_moderation_frameworks	beneficiary	institutional	generational	mobile	global	true	0.250000	0.089861	naturalized	ok	naturalized	naturalized	changeable	constructed_high_extraction	false
alignment_constraint_narrowing	output_diversity_seekers	payer	moderate	biographical	constrained	global	true	0.870000	1.088098	snare	ok	snare	snare	immutable	constructed_high_extraction	false
alignment_constraint_narrowing	creative_range_users	payer	moderate	biographical	constrained	global	true	0.870000	1.088098	snare	ok	snare	snare	immutable	constructed_high_extraction	false
alignment_constraint_narrowing	cultural_representation_minorities	payer	powerless	generational	trapped	global	true	0.900000	1.108623	snare	ok	snare	snare	immutable	constructed_high_extraction	false
alignment_constraint_narrowing	unaligned_model_researchers	excluded	organized	biographical	constrained	global	false	0.920000	1.120698	snare	ok	snare	snare	immutable	constructed_high_extraction	false
alignment_constraint_narrowing	computational_epistemology_observers	observer	analytical	generational	analytical	global	true	0.720000	0.931553	snare	ok	snare	snare	changeable	constructed_high_extraction	true
alpha_m_supercriticality_kernel_flat_control	magnetic_monopole_theorists	beneficiary	organized	civilizational	analytical	universal	true	0.250000	0.008810	mountain	ok	mountain	mountain	immutable	false_summit_mountain	false
alpha_m_supercriticality_kernel_flat_control	grand_unification_program_advocates	beneficiary	institutional	generational	constrained	universal	true	0.270000	0.011337	scaffold	ok	scaffold	scaffold	changeable	false_summit_mountain	false
alpha_m_supercriticality_kernel_flat_control	alpha_m_supercriticality_researchers	payer	moderate	biographical	constrained	universal	true	0.870000	0.106676	mountain	ok	mountain	mountain	immutable	false_summit_mountain	false
alpha_m_supercriticality_kernel_flat_control	perturbative_qed_skeptics	excluded	organized	biographical	mobile	global	false	0.900000	0.130426	scaffold	ok	scaffold	scaffold	changeable	false_summit_mountain	false
alpha_m_supercriticality_kernel_flat_control	cosmologists_studying_monopole_abundance	payer	moderate	civilizational	constrained	universal	true	0.870000	0.106676	scaffold	ok	scaffold	scaffold	changeable	false_summit_mountain	false
alpha_m_supercriticality_kernel_flat_control	independent_theoretical_physicists	observer	analytical	civilizational	analytical	universal	true	0.720000	0.091329	mountain	ok	mountain	mountain	immutable	false_summit_mountain	false
apoe4_mitochondrial_vulnerability	apoe4_carriers_unaware_of_stress_vulnerability	payer	powerless	biographical	identity_locked	global	true	0.890000	1.102115	snare	ok	snare	snare	changeable	constructed_high_extraction	false
apoe4_mitochondrial_vulnerability	apoe4_carriers_in_high_stress_environments	payer	powerless	biographical	trapped	global	true	0.900000	1.108623	snare	ok	snare	snare	immutable	constructed_high_extraction	false
apoe4_mitochondrial_vulnerability	pharmaceutical_industry	beneficiary	institutional	generational	arbitrage	global	true	0.220000	0.054723	naturalized	ok	naturalized	naturalized	changeable	constructed_high_extraction	false
apoe4_mitochondrial_vulnerability	aging_research_institutions	beneficiary	institutional	generational	mobile	global	true	0.250000	0.089861	naturalized	ok	naturalized	naturalized	changeable	constructed_high_extraction	false
apoe4_mitochondrial_vulnerability	clinical_geneticists	agenda_setter	organized	biographical	mobile	national	true	0.120000	-0.028731	rope	ok	rope	rope	changeable	constructed_high_extraction	false
apoe4_mitochondrial_vulnerability	stress_biology_researchers	observer	organized	biographical	mobile	global	true	0.720000	0.931553	snare	ok	snare	snare	changeable	constructed_high_extraction	false
apoe4_mitochondrial_vulnerability	public_health_authorities	excluded	institutional	generational	constrained	national	false	0.920000	0.933915	snare	ok	snare	snare	changeable	constructed_high_extraction	false
arbitrary_selection_under_competence_signaling	captain_and_voss_as_unaccountable_selectors	agenda_setter	institutional	biographical	arbitrage	local	true	0.090000	-0.042893	rope	ok	rope	rope	changeable	constructed_high_extraction	false
arbitrary_selection_under_competence_signaling	duvray	payer	powerless	immediate	trapped	local	true	0.900000	0.880377	snare	ok	snare	snare	immutable	constructed_high_extraction	false
arbitrary_selection_under_competence_signaling	unnamed_predecessor_quartermasters_mate	payer	powerless	immediate	trapped	local	true	0.900000	0.880377	snare	ok	snare	snare	immutable	constructed_high_extraction	false
arbitrary_selection_under_competence_signaling	remaining_crew	excluded	powerless	biographical	constrained	local	false	0.920000	0.889966	snare	ok	snare	snare	immutable	constructed_high_extraction	false
arbitrary_selection_under_competence_signaling	narrative_observer	observer	analytical	generational	analytical	local	true	0.720000	0.739763	snare	ok	snare	snare	changeable	constructed_high_extraction	true
architectural_pattern_validity	architectural_pattern_adopters	beneficiary	organized	biographical	mobile	global	true	0.250000	0.010572	rope	ok	rope	scaffold	changeable	coupling_invariant_rope	false
architectural_pattern_validity	distributed_systems_researchers	beneficiary	organized	generational	mobile	global	true	0.250000	0.010572	rope	ok	rope	scaffold	changeable	coupling_invariant_rope	false
architectural_pattern_validity	polaris_document_interpreters	observer	analytical	biographical	analytical	global	true	0.720000	0.109594	rope	ok	rope	scaffold	changeable	coupling_invariant_rope	true
architectural_pattern_validity	standards_body_practitioners	observer	institutional	generational	mobile	global	true	0.720000	0.109594	rope	ok	rope	scaffold	changeable	coupling_invariant_rope	false
audit_reading	monitoring_infrastructure_operators	agenda_setter	institutional	generational	arbitrage	national	true	0.090000	-0.038392	rope	ok	rope	rope	changeable	constructed_high_extraction	false
audit_reading	reputation_intermediaries	beneficiary	organized	biographical	mobile	national	true	0.250000	0.063872	naturalized	ok	naturalized	naturalized	changeable	constructed_high_extraction	false
audit_reading	high_bandwidth_cooperators	beneficiary	powerful	biographical	mobile	national	true	0.250000	0.063872	naturalized	ok	naturalized	naturalized	changeable	constructed_high_extraction	false
audit_reading	legible_low_noise_cooperators	payer	moderate	biographical	constrained	regional	true	0.870000	0.696062	tangled_rope	ok	tangled_rope	tangled_rope	immutable	constructed_high_extraction	false
audit_reading	informal_sector_participants	payer	powerless	immediate	trapped	local	true	0.900000	0.630393	tangled_rope	ok	tangled_rope	tangled_rope	immutable	constructed_high_extraction	false
audit_reading	intermittent_contributors	payer	powerless	biographical	constrained	local	true	0.870000	0.618722	tangled_rope	ok	tangled_rope	tangled_rope	immutable	constructed_high_extraction	false
audit_reading	commitment_reading_advocates	excluded	moderate	generational	analytical	national	false	0.900000	0.787992	tangled_rope	ok	tangled_rope	tangled_rope	changeable	constructed_high_extraction	true
audit_reading	game_theorists	observer	analytical	civilizational	analytical	global	true	0.720000	0.794560	tangled_rope	ok	tangled_rope	tangled_rope	immutable	constructed_high_extraction	false
authorial_legitimacy_kernel_flat_control	founding_author	agenda_setter	institutional	civilizational	arbitrage	national	true	0.090000	-0.027801	rope	ok	rope	rope	changeable	false_ci_rope	false
authorial_legitimacy_kernel_flat_control	early_adopter_coalition	beneficiary	organized	generational	constrained	national	true	0.270000	0.059520	rope	ok	rope	rope	changeable	false_ci_rope	false
authorial_legitimacy_kernel_flat_control	constitutional_drafting_class	beneficiary	powerful	generational	mobile	national	true	0.250000	0.046252	rope	ok	rope	rope	changeable	false_ci_rope	false
authorial_legitimacy_kernel_flat_control	prior_legal_order_claimants	payer	moderate	biographical	trapped	national	true	0.900000	0.570615	tangled_rope	ok	tangled_rope	tangled_rope	immutable	false_ci_rope	false
authorial_legitimacy_kernel_flat_control	sovereign_cellular_accord_signatories	payer	organized	biographical	constrained	continental	true	0.870000	0.616055	tangled_rope	ok	tangled_rope	tangled_rope	immutable	false_ci_rope	false
authorial_legitimacy_kernel_flat_control	future_amending_generations	payer	powerless	civilizational	trapped	national	true	0.900000	0.570615	tangled_rope	ok	tangled_rope	tangled_rope	changeable	false_ci_rope	false
authorial_legitimacy_kernel_flat_control	constitutional_courts	observer	institutional	generational	analytical	national	true	0.720000	0.479476	tangled_rope	ok	tangled_rope	tangled_rope	changeable	false_ci_rope	true
authorial_primacy_reading	individual_contributors	beneficiary	moderate	biographical	constrained	national	true	0.270000	0.082195	naturalized	ok	naturalized	naturalized	immutable	constructed_high_extraction	false
authorial_primacy_reading	attribution_auditors	agenda_setter	organized	generational	mobile	national	true	0.120000	-0.024506	rope	ok	rope	rope	changeable	constructed_high_extraction	false
authorial_primacy_reading	downstream_evaluators	payer	moderate	immediate	constrained	national	true	0.870000	0.773403	tangled_rope	ok	tangled_rope	tangled_rope	immutable	constructed_high_extraction	false
authorial_primacy_reading	collective_projects_requiring_synthesis	payer	powerless	biographical	trapped	regional	true	0.900000	0.709193	tangled_rope	ok	tangled_rope	tangled_rope	immutable	constructed_high_extraction	false
authorial_primacy_reading	legibility_optimizers	excluded	moderate	immediate	constrained	national	false	0.920000	0.796575	tangled_rope	ok	tangled_rope	tangled_rope	immutable	constructed_high_extraction	false
authorial_primacy_reading	genealogical_observers	observer	analytical	civilizational	analytical	global	true	0.720000	0.794560	tangled_rope	ok	tangled_rope	tangled_rope	immutable	constructed_high_extraction	false
authoritative_specification_reading	polaris_standards_body	agenda_setter	institutional	generational	arbitrage	global	true	0.090000	-0.054013	rope	ok	rope	rope	changeable	constructed_high_extraction	false
authoritative_specification_reading	certified_implementers	beneficiary	powerful	biographical	mobile	global	true	0.250000	0.089861	naturalized	ok	naturalized	naturalized	changeable	constructed_high_extraction	false
authoritative_specification_reading	uncertified_implementers	payer	moderate	biographical	constrained	regional	true	0.870000	0.816073	snare	ok	snare	snare	immutable	constructed_high_extraction	false
authoritative_specification_reading	alternative_standards_bodies	excluded	organized	generational	constrained	global	false	0.920000	1.120698	snare	ok	snare	snare	changeable	constructed_high_extraction	false
authoritative_specification_reading	end_users	beneficiary	organized	biographical	mobile	global	true	0.250000	0.089861	naturalized	ok	naturalized	naturalized	changeable	constructed_high_extraction	false
authoritative_specification_reading	technology_governance_researchers	observer	analytical	generational	analytical	global	true	0.720000	0.931553	snare	ok	snare	snare	changeable	constructed_high_extraction	true
authority_vacuum_incommensurability	individual_moral_autonomy	beneficiary	moderate	biographical	mobile	national	true	0.250000	0.048454	piton	ok	piton	rope	changeable	false_ci_rope	false
authority_vacuum_incommensurability	social_coordination_capacity	payer	powerless	generational	trapped	national	false	0.900000	0.597787	piton	ok	piton	unknown	immutable	false_ci_rope	false
authority_vacuum_incommensurability	denominational_and_civic_institutions	agenda_setter	institutional	generational	constrained	national	true	0.140000	-0.010656	piton	ok	piton	rope	changeable	false_ci_rope	false
authority_vacuum_incommensurability	competing_first_principle_frameworks	beneficiary	organized	civilizational	arbitrage	global	true	0.220000	0.035409	piton	ok	piton	rope	changeable	false_ci_rope	false
authority_vacuum_incommensurability	historical_catholic_magisterium	excluded	institutional	civilizational	identity_locked	global	false	0.940000	0.732213	piton	ok	piton	unknown	changeable	false_ci_rope	false
authority_vacuum_incommensurability	moral_philosophers_and_ethicists	observer	analytical	civilizational	analytical	global	true	0.720000	0.602769	piton	ok	piton	unknown	immutable	false_ci_rope	false
autonomy_reading	pregnant_women	beneficiary	moderate	biographical	constrained	national	true	0.270000	0.039680	scaffold	ok	scaffold	scaffold	immutable	false_ci_rope	false
autonomy_reading	reproductive_autonomy_movements	agenda_setter	organized	generational	mobile	national	true	0.120000	-0.011831	scaffold	ok	scaffold	scaffold	changeable	false_ci_rope	false
autonomy_reading	physicians_and_clinics	beneficiary	moderate	biographical	constrained	regional	true	0.270000	0.035712	scaffold	ok	scaffold	scaffold	immutable	false_ci_rope	false
autonomy_reading	personhood_continuity_advocates	excluded	organized	civilizational	mobile	national	false	0.900000	0.380410	scaffold	ok	scaffold	scaffold	changeable	false_ci_rope	false
autonomy_reading	the_embryo_fetus	excluded	powerless	biographical	trapped	local	false	0.950000	0.312020	scaffold	ok	scaffold	scaffold	immutable	false_ci_rope	false
autonomy_reading	legislatures_and_courts	observer	institutional	generational	analytical	national	true	0.720000	0.319650	scaffold	ok	scaffold	scaffold	changeable	false_ci_rope	true
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	elected_knesset_majority	agenda_setter	institutional	biographical	analytical	national	true	0.120000	-0.007605	scaffold	ok	scaffold	scaffold	changeable	false_ci_rope	true
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	supreme_court_judiciary	payer	institutional	generational	constrained	national	true	0.870000	0.240022	scaffold	ok	scaffold	scaffold	changeable	false_ci_rope	false
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	parliamentary_minorities_and_opposition	payer	organized	biographical	constrained	national	true	0.870000	0.240022	scaffold	ok	scaffold	scaffold	immutable	false_ci_rope	false
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	protected_groups_and_minorities	payer	powerless	biographical	trapped	national	true	0.900000	0.244549	scaffold	ok	scaffold	scaffold	immutable	false_ci_rope	false
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	international_observers_and_treaty_partners	excluded	organized	generational	constrained	global	false	0.920000	0.296655	scaffold	ok	scaffold	scaffold	changeable	false_ci_rope	false
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	legal_scholars_and_constitutional_commentators	observer	moderate	generational	analytical	national	true	0.720000	0.205490	scaffold	ok	scaffold	scaffold	changeable	false_ci_rope	true
behavioral_adoption_friction	central_bank_monetary_authority	agenda_setter	institutional	generational	analytical	national	true	0.120000	-0.016056	scaffold	ok	scaffold	scaffold	changeable	false_ci_rope	true
behavioral_adoption_friction	financial_inclusion_advocates	beneficiary	organized	biographical	mobile	national	true	0.250000	0.041847	scaffold	ok	scaffold	scaffold	changeable	false_ci_rope	false
behavioral_adoption_friction	privacy_preferring_users	payer	moderate	biographical	constrained	national	true	0.870000	0.506712	unknown	ok	unknown	unknown	immutable	false_ci_rope	false
behavioral_adoption_friction	cash_dependent_populations	payer	powerless	immediate	trapped	local	true	0.900000	0.413016	scaffold	ok	scaffold	scaffold	immutable	false_ci_rope	false
behavioral_adoption_friction	commercial_banks	payer	institutional	biographical	constrained	national	true	0.870000	0.506712	unknown	ok	unknown	unknown	immutable	false_ci_rope	false
behavioral_adoption_friction	behavioral_economists	observer	analytical	biographical	analytical	global	true	0.720000	0.520574	unknown	ok	unknown	unknown	changeable	false_ci_rope	true
behavioral_adoption_friction	private_payment_platforms	excluded	powerful	biographical	arbitrage	global	false	0.870000	0.608055	unknown	ok	unknown	unknown	changeable	false_ci_rope	false
behavioral_mechanism_reading	eval_infrastructure_teams	agenda_setter	institutional	biographical	arbitrage	national	true	0.090000	-0.029125	rope	ok	rope	rope	changeable	false_ci_rope	false
behavioral_mechanism_reading	model_vendors_citing_steerability_metrics	beneficiary	powerful	biographical	mobile	global	true	0.250000	0.058145	rope	ok	rope	rope	changeable	false_ci_rope	false
behavioral_mechanism_reading	persona_conditioning_researchers	beneficiary	organized	generational	mobile	global	true	0.250000	0.058145	rope	ok	rope	rope	changeable	false_ci_rope	false
behavioral_mechanism_reading	downstream_product_decision_makers	payer	moderate	immediate	constrained	national	true	0.870000	0.586719	unknown	ok	unknown	unknown	immutable	false_ci_rope	false
behavioral_mechanism_reading	policy_readers_of_eval_reports	payer	moderate	biographical	constrained	national	true	0.870000	0.586719	unknown	ok	unknown	unknown	immutable	false_ci_rope	false
behavioral_mechanism_reading	cog_verbosity_and_politeness_failure_cases	excluded	analytical	immediate	analytical	local	false	0.900000	0.478229	unknown	ok	unknown	unknown	changeable	false_ci_rope	true
behavioral_mechanism_reading	methodology_auditors	observer	analytical	generational	analytical	global	true	0.720000	0.602769	unknown	ok	unknown	unknown	changeable	false_ci_rope	true
behaviorist_counterfactual_reading	adaptive_preference_theorists	agenda_setter	institutional	generational	analytical	global	true	0.120000	-0.030928	naturalized	ok	naturalized	naturalized	changeable	constructed_high_extraction	true
behaviorist_counterfactual_reading	policy_designers_using_revealed_choice	beneficiary	institutional	biographical	mobile	national	true	0.250000	0.067175	naturalized	ok	naturalized	naturalized	changeable	constructed_high_extraction	false
behaviorist_counterfactual_reading	institutions_administering_choice_architecture	beneficiary	organized	generational	arbitrage	global	true	0.220000	0.049090	naturalized	ok	naturalized	naturalized	changeable	constructed_high_extraction	false
behaviorist_counterfactual_reading	permanently_foreclosed_option_holders	payer	powerless	civilizational	trapped	global	true	0.900000	0.994500	unknown	ok	unknown	unknown	changeable	constructed_high_extraction	false
behaviorist_counterfactual_reading	identity_adapted_subordinated_agents	payer	powerless	generational	identity_locked	national	true	0.890000	0.823885	tangled_rope	ok	tangled_rope	tangled_rope	changeable	constructed_high_extraction	false
behaviorist_counterfactual_reading	colonized_and_caste_bound_populations	payer	powerless	civilizational	trapped	continental	true	0.900000	0.911625	unknown	ok	unknown	unknown	changeable	constructed_high_extraction	false
behaviorist_counterfactual_reading	philosophers_of_autonomy_outside_test	excluded	moderate	civilizational	analytical	global	false	0.900000	0.994500	unknown	ok	unknown	unknown	immutable	constructed_high_extraction	false
behaviorist_counterfactual_reading	philosophical_and_empirical_observers	observer	analytical	civilizational	analytical	universal	true	0.720000	0.696381	tangled_rope	ok	tangled_rope	tangled_rope	immutable	constructed_high_extraction	false
