stat	source	kind	denominator	vintage_exposed	mixture_exposed	in_pair_table	drop_reason	B1_draw_bound	B2_model_disposition	B3_content_or_mixture	B4_size_bound	B5_guard_sensitive	guard_delta	why
boltzmann.compliant	classify:diagnostic.boltzmann_summary	SHARE/RATE	sum(boltzmann_summary)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	DERIVED: exact coarsening of coupling_summary (OQ-355 F4)
boltzmann.non_compliant	classify:diagnostic.boltzmann_summary	SHARE/RATE	sum(boltzmann_summary)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	DERIVED: exact coarsening of coupling_summary (OQ-355 F4)
boltzmann.inconclusive	classify:diagnostic.boltzmann_summary	SHARE/RATE	sum(boltzmann_summary)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	DERIVED: exact coarsening of coupling_summary (OQ-355 F4)
drift_events_per_story.critical	classify:diagnostic.drift_event_counts	SHARE/RATE	n stories	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
drift_events_per_story.warning	classify:diagnostic.drift_event_counts	SHARE/RATE	n stories	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
drift_events_per_story.watch	classify:diagnostic.drift_event_counts	SHARE/RATE	n stories	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
network.stability	classify:diagnostic.network_stability	CATEGORICAL	none — categorical atom	True	True	no	CATEGORICAL: non-numeric or None on 19/19 legs (e.g. testsets='cascading')	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	purity-network aggregate: the corpus-wide neighbour graph is built through constraint_neighbors/3, whose :115 conjunct is the cs_kernel_id guard — absent on 0/3380 of v6, which is exactly what arm (a') isolates; `cascading` on 19/19 legs via an absolute NumSevere >= 3
network.drifting_share	classify:diagnostic.network_n_drifting	SHARE/RATE	n stories	True	True	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	purity-network aggregate: the corpus-wide neighbour graph is built through constraint_neighbors/3, whose :115 conjunct is the cs_kernel_id guard — absent on 0/3380 of v6, which is exactly what arm (a') isolates
network.severe_share	classify:diagnostic.network_n_severe	SHARE/RATE	n stories	True	True	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	purity-network aggregate: the corpus-wide neighbour graph is built through constraint_neighbors/3, whose :115 conjunct is the cs_kernel_id guard — absent on 0/3380 of v6, which is exactly what arm (a') isolates
network.cascade_threshold	classify:diagnostic.network_cascade_count_threshold	BOUNDED_COUNT	config-capped, not n-capped	True	True	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	purity-network aggregate: the corpus-wide neighbour graph is built through constraint_neighbors/3, whose :115 conjunct is the cs_kernel_id guard — absent on 0/3380 of v6, which is exactly what arm (a') isolates
wasserstein.fracture_total	classify:diagnostic.corpus_wasserstein_fracture	COUNT	none — corpus total	UNTRACED	True	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	downstream of the corpus-fitted maxent_distribution/3 — pre-registered mixture-exposed candidate (base plan §1.2(f'))
wasserstein.fracture_per_story	classify:diagnostic.corpus_wasserstein_fracture	SHARE/RATE	n stories	UNTRACED	True	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	downstream of the corpus-fitted maxent_distribution/3 — pre-registered mixture-exposed candidate (base plan §1.2(f'))
arakelov.threshold	classify:diagnostic.arakelov_threshold	PERCENTILE/MEAN	corpus p75 — a fit, not a count	UNTRACED	True	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	downstream of the corpus-fitted maxent_distribution/3 — pre-registered mixture-exposed candidate (base plan §1.2(f'))
contextuality.corpus_fraction	classify:diagnostic.contextuality.corpus_fraction	SHARE/RATE	corpus fraction (emitted)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
contextuality.by_type.mountain	classify:diagnostic.contextuality.by_type	SHARE/RATE	within-type (emitted)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
contextuality.by_type.piton	classify:diagnostic.contextuality.by_type	SHARE/RATE	within-type (emitted)	UNTRACED	UNTRACED	no	SHARE/RATE: non-numeric or None on 1/19 legs (e.g. testsets_flash2=None)	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
contextuality.by_type.rope	classify:diagnostic.contextuality.by_type	SHARE/RATE	within-type (emitted)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
contextuality.by_type.scaffold	classify:diagnostic.contextuality.by_type	SHARE/RATE	within-type (emitted)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
contextuality.by_type.snare	classify:diagnostic.contextuality.by_type	SHARE/RATE	within-type (emitted)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
contextuality.by_type.tangled_rope	classify:diagnostic.contextuality.by_type	SHARE/RATE	within-type (emitted)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
contextuality.by_type.unknown	classify:diagnostic.contextuality.by_type	SHARE/RATE	within-type (emitted)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
monotonicity.constant	classify:diagnostic.monotonicity	SHARE/RATE	sum(monotonicity terminals)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
monotonicity.ascending	classify:diagnostic.monotonicity	SHARE/RATE	sum(monotonicity terminals)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
monotonicity.descending	classify:diagnostic.monotonicity	SHARE/RATE	sum(monotonicity terminals)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
monotonicity.non_monotone	classify:diagnostic.monotonicity	SHARE/RATE	sum(monotonicity terminals)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
monotonicity.incomparable	classify:diagnostic.monotonicity	SHARE/RATE	sum(monotonicity terminals)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
monotonicity.boundary.pos_1_per_story	classify:diagnostic.monotonicity.boundary_distribution	SHARE/RATE	n stories	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
monotonicity.boundary.pos_2_per_story	classify:diagnostic.monotonicity.boundary_distribution	SHARE/RATE	n stories	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
monotonicity.boundary.pos_3_per_story	classify:diagnostic.monotonicity.boundary_distribution	SHARE/RATE	n stories	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
severe_share_within_type.mountain	classify:diagnostic.severity_by_type	SHARE/RATE	type_distribution[t]	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
severe_share_within_type.piton	classify:diagnostic.severity_by_type	SHARE/RATE	type_distribution[t]	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
severe_share_within_type.rope	classify:diagnostic.severity_by_type	SHARE/RATE	type_distribution[t]	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
severe_share_within_type.scaffold	classify:diagnostic.severity_by_type	SHARE/RATE	type_distribution[t]	UNTRACED	UNTRACED	no	SHARE/RATE: non-numeric or None on 1/19 legs (e.g. testsets_kimi2=None)	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
severe_share_within_type.snare	classify:diagnostic.severity_by_type	SHARE/RATE	type_distribution[t]	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
severe_share_within_type.tangled_rope	classify:diagnostic.severity_by_type	SHARE/RATE	type_distribution[t]	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
severe_share_within_type.unknown	classify:diagnostic.severity_by_type	SHARE/RATE	type_distribution[t]	UNTRACED	UNTRACED	no	SHARE/RATE: non-numeric or None on 19/19 legs (e.g. testsets=None)	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
giant_comp.n_sibling_edges_stripped	report:giant_component_analysis.raw.json	COUNT	n/a	UNTRACED	UNTRACED	no	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	X1's target: the retracted directed affects_constraint fact count
giant_comp.pooled.n_edges	report:giant_component_analysis.raw.json	COUNT	n/a	UNTRACED	UNTRACED	no	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	deduplicated undirected edges — NOT X1's target
giant_comp.stratum.n_edges	report:giant_component_analysis.raw.json	COUNT	n/a	UNTRACED	UNTRACED	no	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	X2 requires stratum == pooled on the stripped twin
giant_comp.giant_size	report:giant_component_analysis.raw.json	COUNT	n/a	UNTRACED	UNTRACED	no	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	giant-component fraction is Markdown-only; register the two inputs
giant_comp.pooled.n_nodes	report:giant_component_analysis.raw.json	COUNT	n/a	UNTRACED	UNTRACED	no	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	PENDING OQ-356	the fraction's denominator; stratum publishes no n_nodes
