constraint	seat	author_claim	engine_dr_type
basic_law_interpretive_authority__parliamentary_sovereignty_reading	moderate	tangled_rope	snare
basic_law_interpretive_authority__parliamentary_sovereignty_reading	institutional	tangled_rope	snare
basic_law_interpretive_authority__parliamentary_sovereignty_reading	analytical	tangled_rope	snare
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	powerless	rope	scaffold
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	moderate	rope	scaffold
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	institutional	rope	scaffold
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	analytical	rope	scaffold
behavioral_adoption_friction	powerless	rope	scaffold
behavioral_adoption_friction	moderate	rope	scaffold
behavioral_adoption_friction	institutional	rope	scaffold
behavioral_adoption_friction	analytical	rope	unknown
benchmark_saturation_interpretation	powerless	tangled_rope	tangled_rope
benchmark_saturation_interpretation	moderate	tangled_rope	snare
benchmark_saturation_interpretation	institutional	tangled_rope	rope
benchmark_saturation_interpretation	analytical	tangled_rope	snare
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	powerless	tangled_rope	snare
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	moderate	tangled_rope	snare
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	institutional	tangled_rope	rope
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	analytical	tangled_rope	tangled_rope
border_control_legitimacy__freedom_of_movement_primary	powerless	snare	unknown
border_control_legitimacy__freedom_of_movement_primary	moderate	snare	snare
border_control_legitimacy__freedom_of_movement_primary	institutional	snare	rope
border_control_legitimacy__freedom_of_movement_primary	analytical	snare	snare
capability_endogeneity	powerless	rope	scaffold
capability_endogeneity	moderate	rope	scaffold
capability_endogeneity	institutional	rope	scaffold
capability_endogeneity	analytical	rope	unknown
catastrophe_memory_kernel__boundary_maintenance_reading	powerless	tangled_rope	tangled_rope
catastrophe_memory_kernel__boundary_maintenance_reading	moderate	tangled_rope	snare
catastrophe_memory_kernel__boundary_maintenance_reading	institutional	tangled_rope	rope
catastrophe_memory_kernel__boundary_maintenance_reading	analytical	tangled_rope	snare
conceptual_framework_reading	powerless	rope	scaffold
conceptual_framework_reading	moderate	rope	scaffold
conceptual_framework_reading	institutional	rope	scaffold
conceptual_framework_reading	analytical	rope	scaffold
crypto_permissionless_reading	powerless	rope	unknown
crypto_permissionless_reading	moderate	rope	unknown
crypto_permissionless_reading	institutional	rope	scaffold
crypto_permissionless_reading	analytical	rope	unknown
dataset_recycling_amplification	powerless	rope	scaffold
dataset_recycling_amplification	moderate	rope	scaffold
dataset_recycling_amplification	institutional	rope	scaffold
dataset_recycling_amplification	analytical	rope	unknown
demographic_resource_allocation	powerless	mountain	rope
demographic_resource_allocation	moderate	mountain	rope
demographic_resource_allocation	institutional	mountain	rope
demographic_resource_allocation	analytical	mountain	rope
demographic_skill_mismatch_c0	powerless	mountain	rope
demographic_skill_mismatch_c0	moderate	mountain	rope
demographic_skill_mismatch_c0	institutional	mountain	rope
demographic_skill_mismatch_c0	analytical	mountain	rope
digital_money_legitimacy_contradictions	powerless	none	unknown
digital_money_legitimacy_contradictions	moderate	none	unknown
digital_money_legitimacy_contradictions	institutional	none	unknown
digital_money_legitimacy_contradictions	analytical	none	unknown
digital_money_legitimacy_flat_control	powerless	tangled_rope	tangled_rope
digital_money_legitimacy_flat_control	moderate	tangled_rope	snare
digital_money_legitimacy_flat_control	institutional	tangled_rope	rope
digital_money_legitimacy_flat_control	analytical	tangled_rope	snare
dispositional_reading	powerless	tangled_rope	snare
dispositional_reading	moderate	tangled_rope	snare
dispositional_reading	institutional	tangled_rope	rope
dispositional_reading	analytical	tangled_rope	snare
distributed_verification	powerless	tangled_rope	tangled_rope
distributed_verification	moderate	tangled_rope	snare
distributed_verification	institutional	tangled_rope	rope
distributed_verification	analytical	tangled_rope	snare
divine_legitimacy_substrate__folk_syncretistic_reading	powerless	rope	scaffold
divine_legitimacy_substrate__folk_syncretistic_reading	moderate	rope	scaffold
divine_legitimacy_substrate__folk_syncretistic_reading	institutional	rope	scaffold
divine_legitimacy_substrate__folk_syncretistic_reading	analytical	rope	scaffold
doomsday_clock_metric__hybrid_legitimacy_reading	powerless	tangled_rope	unknown
doomsday_clock_metric__hybrid_legitimacy_reading	moderate	tangled_rope	unknown
doomsday_clock_metric__hybrid_legitimacy_reading	institutional	tangled_rope	rope
doomsday_clock_metric__hybrid_legitimacy_reading	analytical	tangled_rope	unknown
dueling_disappearance_mechanism__overdetermined_composite_reading	powerless	tangled_rope	naturalized
dueling_disappearance_mechanism__overdetermined_composite_reading	moderate	tangled_rope	tangled_rope
dueling_disappearance_mechanism__overdetermined_composite_reading	institutional	tangled_rope	rope
dueling_disappearance_mechanism__overdetermined_composite_reading	analytical	tangled_rope	snare
empty_shell_tolerance	powerless	rope	scaffold
empty_shell_tolerance	moderate	rope	scaffold
empty_shell_tolerance	institutional	rope	scaffold
empty_shell_tolerance	analytical	rope	scaffold
epistemic_collapse	powerless	snare	tangled_rope
epistemic_collapse	moderate	snare	snare
epistemic_collapse	institutional	snare	rope
epistemic_collapse	analytical	snare	snare
epsilon_substrate_dependency	powerless	snare	tangled_rope
epsilon_substrate_dependency	moderate	snare	snare
epsilon_substrate_dependency	institutional	snare	rope
epsilon_substrate_dependency	analytical	snare	snare
equal_protection_kernel__colorblind_reading	powerless	tangled_rope	tangled_rope
equal_protection_kernel__colorblind_reading	moderate	tangled_rope	tangled_rope
equal_protection_kernel__colorblind_reading	institutional	tangled_rope	rope
equal_protection_kernel__colorblind_reading	analytical	tangled_rope	unknown
fictional_construct_reading	powerless	rope	scaffold
fictional_construct_reading	moderate	rope	scaffold
fictional_construct_reading	institutional	rope	scaffold
fictional_construct_reading	analytical	rope	scaffold
fourteenth_amendment_equal_protection__formal_equality_reading	powerless	tangled_rope	snare
fourteenth_amendment_equal_protection__formal_equality_reading	moderate	tangled_rope	snare
fourteenth_amendment_equal_protection__formal_equality_reading	institutional	tangled_rope	rope
fourteenth_amendment_equal_protection__formal_equality_reading	analytical	tangled_rope	snare
gendered_outcome_asymmetry	powerless	snare	snare
gendered_outcome_asymmetry	moderate	snare	snare
gendered_outcome_asymmetry	institutional	snare	rope
gendered_outcome_asymmetry	analytical	snare	snare
generality_standard_contradictions	powerless	none	unknown
generality_standard_contradictions	moderate	none	unknown
generality_standard_contradictions	institutional	none	unknown
generality_standard_contradictions	analytical	none	unknown
generality_standard_flat_control	powerless	tangled_rope	tangled_rope
generality_standard_flat_control	moderate	tangled_rope	snare
generality_standard_flat_control	institutional	tangled_rope	rope
generality_standard_flat_control	analytical	tangled_rope	snare
generation_gate_reading	powerless	tangled_rope	snare
generation_gate_reading	moderate	tangled_rope	snare
generation_gate_reading	institutional	tangled_rope	rope
generation_gate_reading	analytical	tangled_rope	snare
geopolitical_settlement_competition	powerless	tangled_rope	tangled_rope
geopolitical_settlement_competition	moderate	tangled_rope	snare
geopolitical_settlement_competition	institutional	tangled_rope	naturalized
geopolitical_settlement_competition	analytical	tangled_rope	snare
gita_kurukshetra_discourse__gandhian_allegorical_reading	powerless	rope	unknown
gita_kurukshetra_discourse__gandhian_allegorical_reading	moderate	rope	rope
gita_kurukshetra_discourse__gandhian_allegorical_reading	institutional	rope	rope
gita_kurukshetra_discourse__gandhian_allegorical_reading	analytical	rope	unknown
historical_treaty_substrate__stewardship_reading	powerless	rope	unknown
historical_treaty_substrate__stewardship_reading	moderate	rope	rope
historical_treaty_substrate__stewardship_reading	institutional	rope	rope
historical_treaty_substrate__stewardship_reading	analytical	rope	rope
indexical_realism	powerless	tangled_rope	tangled_rope
indexical_realism	moderate	tangled_rope	snare
indexical_realism	institutional	tangled_rope	rope
indexical_realism	analytical	tangled_rope	snare
institutional_barrier_structure	powerless	snare	tangled_rope
institutional_barrier_structure	moderate	snare	snare
institutional_barrier_structure	institutional	snare	rope
institutional_barrier_structure	analytical	snare	snare
institutional_trust_erosion_c0	powerless	mountain	unknown
institutional_trust_erosion_c0	moderate	mountain	unknown
institutional_trust_erosion_c0	institutional	mountain	unknown
institutional_trust_erosion_c0	analytical	mountain	unknown
institutional_validation_reading	powerless	tangled_rope	tangled_rope
institutional_validation_reading	moderate	tangled_rope	snare
institutional_validation_reading	institutional	tangled_rope	rope
institutional_validation_reading	analytical	tangled_rope	snare
institutional_verification_collapse	powerless	tangled_rope	tangled_rope
institutional_verification_collapse	moderate	tangled_rope	snare
institutional_verification_collapse	institutional	tangled_rope	rope
institutional_verification_collapse	analytical	tangled_rope	snare
interactionist_reading	powerless	rope	unknown
interactionist_reading	moderate	rope	scaffold
interactionist_reading	institutional	rope	scaffold
interactionist_reading	analytical	rope	unknown
intervention_target_selection	powerless	tangled_rope	tangled_rope
intervention_target_selection	moderate	tangled_rope	snare
intervention_target_selection	institutional	tangled_rope	rope
intervention_target_selection	analytical	tangled_rope	snare
jewish_self_determination__indigenous_return_reading	powerless	mountain	snare
jewish_self_determination__indigenous_return_reading	moderate	mountain	snare
jewish_self_determination__indigenous_return_reading	institutional	mountain	scaffold
jewish_self_determination__indigenous_return_reading	analytical	mountain	snare
jewish_sovereignty_palestine__cultural_zionist_reading	powerless	rope	scaffold
jewish_sovereignty_palestine__cultural_zionist_reading	moderate	rope	scaffold
jewish_sovereignty_palestine__cultural_zionist_reading	institutional	rope	scaffold
jewish_sovereignty_palestine__cultural_zionist_reading	analytical	rope	scaffold
jewish_sovereignty_palestine__settler_colonial_reading	powerless	snare	snare
jewish_sovereignty_palestine__settler_colonial_reading	moderate	snare	snare
jewish_sovereignty_palestine__settler_colonial_reading	institutional	snare	rope
jewish_sovereignty_palestine__settler_colonial_reading	analytical	snare	snare
jewish_territorial_claim__labor_zionism_reading	powerless	tangled_rope	snare
jewish_territorial_claim__labor_zionism_reading	moderate	tangled_rope	snare
jewish_territorial_claim__labor_zionism_reading	institutional	tangled_rope	rope
jewish_territorial_claim__labor_zionism_reading	analytical	tangled_rope	snare
john_1_1_logos__non_incarnational_monotheist	powerless	tangled_rope	tangled_rope
john_1_1_logos__non_incarnational_monotheist	moderate	tangled_rope	snare
john_1_1_logos__non_incarnational_monotheist	institutional	tangled_rope	snare
john_1_1_logos__non_incarnational_monotheist	analytical	tangled_rope	snare
knowledge_legitimacy_biomedicine_contradictions	powerless	none	unknown
knowledge_legitimacy_biomedicine_contradictions	moderate	none	unknown
knowledge_legitimacy_biomedicine_contradictions	institutional	none	unknown
knowledge_legitimacy_biomedicine_contradictions	analytical	none	unknown
knowledge_legitimacy_biomedicine_flat_control	powerless	tangled_rope	tangled_rope
knowledge_legitimacy_biomedicine_flat_control	moderate	tangled_rope	snare
knowledge_legitimacy_biomedicine_flat_control	institutional	tangled_rope	rope
knowledge_legitimacy_biomedicine_flat_control	analytical	tangled_rope	snare
lausanne_minority_protections__guarantor_reading	powerless	scaffold	scaffold
lausanne_minority_protections__guarantor_reading	moderate	scaffold	scaffold
lausanne_minority_protections__guarantor_reading	institutional	scaffold	scaffold
lausanne_minority_protections__guarantor_reading	analytical	scaffold	scaffold
learning_difficulty_substrate_contradictions	powerless	none	unknown
learning_difficulty_substrate_contradictions	moderate	none	unknown
learning_difficulty_substrate_contradictions	institutional	none	unknown
learning_difficulty_substrate_contradictions	analytical	none	unknown
learning_difficulty_substrate_flat_control	powerless	tangled_rope	snare
learning_difficulty_substrate_flat_control	moderate	tangled_rope	snare
learning_difficulty_substrate_flat_control	institutional	tangled_rope	rope
learning_difficulty_substrate_flat_control	analytical	tangled_rope	snare
livelihood_security_reading	powerless	rope	unknown
livelihood_security_reading	moderate	rope	unknown
livelihood_security_reading	institutional	rope	rope
livelihood_security_reading	analytical	rope	unknown
llm_synthesis_capacity	powerless	rope	scaffold
llm_synthesis_capacity	moderate	rope	scaffold
llm_synthesis_capacity	institutional	rope	scaffold
llm_synthesis_capacity	analytical	rope	scaffold
longevity_mismatch	powerless	mountain	rope
longevity_mismatch	moderate	mountain	rope
longevity_mismatch	institutional	mountain	rope
longevity_mismatch	analytical	mountain	rope
lycurgan_laws__demographic_trap_reading	powerless	snare	tangled_rope
lycurgan_laws__demographic_trap_reading	moderate	snare	snare
lycurgan_laws__demographic_trap_reading	institutional	snare	rope
lycurgan_laws__demographic_trap_reading	analytical	snare	snare
maat_order_principle__reciprocity_reading	powerless	tangled_rope	unknown
maat_order_principle__reciprocity_reading	moderate	tangled_rope	unknown
maat_order_principle__reciprocity_reading	institutional	tangled_rope	rope
maat_order_principle__reciprocity_reading	analytical	tangled_rope	unknown
marriage_authority__judicial_harmonization_reading	powerless	scaffold	tangled_rope
marriage_authority__judicial_harmonization_reading	moderate	scaffold	tangled_rope
marriage_authority__judicial_harmonization_reading	institutional	scaffold	scaffold
marriage_authority__judicial_harmonization_reading	analytical	scaffold	tangled_rope
measurement_architecture_reading	powerless	mountain	scaffold
measurement_architecture_reading	moderate	mountain	scaffold
measurement_architecture_reading	institutional	mountain	scaffold
measurement_architecture_reading	analytical	mountain	scaffold
mitochondrial_demand_signal_deficiency	powerless	tangled_rope	tangled_rope
mitochondrial_demand_signal_deficiency	moderate	tangled_rope	snare
mitochondrial_demand_signal_deficiency	institutional	tangled_rope	naturalized
mitochondrial_demand_signal_deficiency	analytical	tangled_rope	snare
model_collapse_feedback	powerless	snare	tangled_rope
model_collapse_feedback	moderate	snare	snare
model_collapse_feedback	institutional	snare	naturalized
model_collapse_feedback	analytical	snare	snare
moral_causation_locus_contradictions	powerless	none	unknown
moral_causation_locus_contradictions	moderate	none	unknown
moral_causation_locus_contradictions	institutional	none	unknown
moral_causation_locus_contradictions	analytical	none	unknown
moral_causation_locus_flat_control	powerless	tangled_rope	tangled_rope
moral_causation_locus_flat_control	moderate	tangled_rope	snare
moral_causation_locus_flat_control	institutional	tangled_rope	rope
moral_causation_locus_flat_control	analytical	tangled_rope	snare
nad_precursor_bioavailability	powerless	snare	snare
nad_precursor_bioavailability	moderate	snare	snare
nad_precursor_bioavailability	institutional	snare	rope
nad_precursor_bioavailability	analytical	snare	snare
neutron_star_bombardment_reading	powerless	mountain	scaffold
neutron_star_bombardment_reading	moderate	mountain	scaffold
neutron_star_bombardment_reading	institutional	mountain	scaffold
neutron_star_bombardment_reading	analytical	mountain	scaffold
nicene_creed_authority__liturgical_habituation_reading	powerless	rope	rope
nicene_creed_authority__liturgical_habituation_reading	moderate	rope	rope
nicene_creed_authority__liturgical_habituation_reading	institutional	rope	rope
nicene_creed_authority__liturgical_habituation_reading	analytical	rope	rope
ontological_commitment_reading	powerless	tangled_rope	snare
ontological_commitment_reading	moderate	tangled_rope	snare
ontological_commitment_reading	institutional	tangled_rope	rope
ontological_commitment_reading	analytical	tangled_rope	snare
organization_floor_c0	powerless	mountain	unknown
organization_floor_c0	moderate	mountain	unknown
organization_floor_c0	institutional	mountain	scaffold
organization_floor_c0	analytical	mountain	unknown
partition_choice_reading	powerless	tangled_rope	tangled_rope
partition_choice_reading	moderate	tangled_rope	snare
partition_choice_reading	institutional	tangled_rope	rope
partition_choice_reading	analytical	tangled_rope	snare
performance_legitimacy_contradictions	powerless	none	unknown
performance_legitimacy_contradictions	moderate	none	unknown
performance_legitimacy_contradictions	institutional	none	unknown
performance_legitimacy_contradictions	analytical	none	unknown
performance_legitimacy_flat_control	powerless	tangled_rope	naturalized
performance_legitimacy_flat_control	moderate	tangled_rope	snare
performance_legitimacy_flat_control	institutional	tangled_rope	rope
performance_legitimacy_flat_control	analytical	tangled_rope	snare
polaris_document_status_contradictions	powerless	none	unknown
polaris_document_status_contradictions	moderate	none	unknown
polaris_document_status_contradictions	institutional	none	unknown
polaris_document_status_contradictions	analytical	none	unknown
polaris_document_status_flat_control	powerless	rope	tangled_rope
polaris_document_status_flat_control	moderate	rope	tangled_rope
polaris_document_status_flat_control	institutional	rope	rope
polaris_document_status_flat_control	analytical	rope	tangled_rope
post_evidentiary	powerless	tangled_rope	snare
post_evidentiary	moderate	tangled_rope	snare
post_evidentiary	institutional	tangled_rope	rope
post_evidentiary	analytical	tangled_rope	snare
pragmatic_action_reading	powerless	rope	unknown
pragmatic_action_reading	moderate	rope	unknown
pragmatic_action_reading	institutional	rope	scaffold
pragmatic_action_reading	analytical	rope	unknown
pre_public_initiative_reading	powerless	rope	unknown
pre_public_initiative_reading	moderate	rope	scaffold
pre_public_initiative_reading	institutional	rope	scaffold
pre_public_initiative_reading	analytical	rope	unknown
prerequisite_debt_reading	powerless	rope	unknown
prerequisite_debt_reading	moderate	rope	unknown
prerequisite_debt_reading	institutional	rope	scaffold
prerequisite_debt_reading	analytical	rope	unknown
press_reformation_causality__strategic_deployment	powerless	snare	tangled_rope
press_reformation_causality__strategic_deployment	moderate	snare	snare
press_reformation_causality__strategic_deployment	institutional	snare	rope
press_reformation_causality__strategic_deployment	analytical	snare	snare
press_reformation_causation__mutual_shaping	powerless	scaffold	piton
press_reformation_causation__mutual_shaping	moderate	scaffold	piton
press_reformation_causation__mutual_shaping	institutional	scaffold	piton
press_reformation_causation__mutual_shaping	analytical	scaffold	piton
press_reformation_causation__strategic_deployment	powerless	rope	snare
press_reformation_causation__strategic_deployment	moderate	rope	snare
press_reformation_causation__strategic_deployment	institutional	rope	snare
press_reformation_causation__strategic_deployment	analytical	rope	snare
procurement_inertia	powerless	piton	rope
procurement_inertia	moderate	piton	rope
procurement_inertia	institutional	piton	rope
procurement_inertia	analytical	piton	rope
propagation_speed_asymmetry	powerless	mountain	rope
propagation_speed_asymmetry	moderate	mountain	rope
propagation_speed_asymmetry	institutional	mountain	rope
propagation_speed_asymmetry	analytical	mountain	rope
property_sector_overhang	powerless	tangled_rope	tangled_rope
property_sector_overhang	moderate	tangled_rope	snare
property_sector_overhang	institutional	tangled_rope	naturalized
property_sector_overhang	analytical	tangled_rope	snare
protein_anabolic_resistance	powerless	mountain	mountain
protein_anabolic_resistance	moderate	mountain	scaffold
protein_anabolic_resistance	institutional	mountain	scaffold
protein_anabolic_resistance	analytical	mountain	mountain
qualitative_development_reading	powerless	tangled_rope	tangled_rope
qualitative_development_reading	moderate	tangled_rope	snare
qualitative_development_reading	institutional	tangled_rope	rope
qualitative_development_reading	analytical	tangled_rope	snare
quantitative_growth_reading	powerless	tangled_rope	tangled_rope
quantitative_growth_reading	moderate	tangled_rope	snare
quantitative_growth_reading	institutional	tangled_rope	rope
quantitative_growth_reading	analytical	tangled_rope	snare
radiative_levitation_stratification	powerless	mountain	mountain
radiative_levitation_stratification	moderate	mountain	scaffold
radiative_levitation_stratification	institutional	mountain	scaffold
radiative_levitation_stratification	analytical	mountain	mountain
reading_acquisition_legitimacy__whole_language_meaning_primacy	powerless	tangled_rope	naturalized
reading_acquisition_legitimacy__whole_language_meaning_primacy	moderate	tangled_rope	snare
reading_acquisition_legitimacy__whole_language_meaning_primacy	institutional	tangled_rope	rope
reading_acquisition_legitimacy__whole_language_meaning_primacy	analytical	tangled_rope	snare
refugee_convention_text__expansive_humanitarian_reading	powerless	rope	piton
refugee_convention_text__expansive_humanitarian_reading	moderate	rope	piton
refugee_convention_text__expansive_humanitarian_reading	institutional	rope	piton
refugee_convention_text__expansive_humanitarian_reading	analytical	rope	piton
regulated_stablecoin_reading	powerless	tangled_rope	tangled_rope
regulated_stablecoin_reading	moderate	tangled_rope	tangled_rope
regulated_stablecoin_reading	institutional	tangled_rope	rope
regulated_stablecoin_reading	analytical	tangled_rope	tangled_rope
regulatory_lag_extraction	powerless	tangled_rope	tangled_rope
regulatory_lag_extraction	moderate	tangled_rope	snare
regulatory_lag_extraction	institutional	tangled_rope	tangled_rope
regulatory_lag_extraction	analytical	tangled_rope	snare
responsibility_preservation_mechanism	powerless	tangled_rope	tangled_rope
responsibility_preservation_mechanism	moderate	tangled_rope	snare
responsibility_preservation_mechanism	institutional	tangled_rope	rope
responsibility_preservation_mechanism	analytical	tangled_rope	snare
scale_ceiling_c0	powerless	mountain	rope
scale_ceiling_c0	moderate	mountain	rope
scale_ceiling_c0	institutional	mountain	rope
scale_ceiling_c0	analytical	mountain	rope
seat_gauge_orientation_kernel_flat_control	powerless	rope	unknown
seat_gauge_orientation_kernel_flat_control	moderate	rope	scaffold
seat_gauge_orientation_kernel_flat_control	institutional	rope	scaffold
seat_gauge_orientation_kernel_flat_control	analytical	rope	unknown
secession_legitimacy_boundary__constitutional_impossibility_reading	powerless	mountain	snare
secession_legitimacy_boundary__constitutional_impossibility_reading	moderate	mountain	unknown
secession_legitimacy_boundary__constitutional_impossibility_reading	institutional	mountain	scaffold
secession_legitimacy_boundary__constitutional_impossibility_reading	analytical	mountain	snare
sex_gender_category__identity_reading	powerless	tangled_rope	tangled_rope
sex_gender_category__identity_reading	moderate	tangled_rope	snare
sex_gender_category__identity_reading	institutional	tangled_rope	rope
sex_gender_category__identity_reading	analytical	tangled_rope	snare
shinbutsu_ontological_commitment__incoherence_reading	powerless	tangled_rope	tangled_rope
shinbutsu_ontological_commitment__incoherence_reading	moderate	tangled_rope	tangled_rope
shinbutsu_ontological_commitment__incoherence_reading	institutional	tangled_rope	rope
shinbutsu_ontological_commitment__incoherence_reading	analytical	tangled_rope	unknown
situational_reading	powerless	tangled_rope	snare
situational_reading	moderate	tangled_rope	snare
situational_reading	institutional	tangled_rope	rope
situational_reading	analytical	tangled_rope	snare
sovereign_cbdc_reading	powerless	tangled_rope	tangled_rope
sovereign_cbdc_reading	moderate	tangled_rope	snare
sovereign_cbdc_reading	institutional	tangled_rope	rope
sovereign_cbdc_reading	analytical	tangled_rope	snare
specification_binding_authority	powerless	tangled_rope	snare
specification_binding_authority	moderate	tangled_rope	snare
specification_binding_authority	institutional	tangled_rope	rope
specification_binding_authority	analytical	tangled_rope	snare
speech_protection_kernel__absolutist_reading	powerless	tangled_rope	tangled_rope
speech_protection_kernel__absolutist_reading	moderate	tangled_rope	snare
speech_protection_kernel__absolutist_reading	institutional	tangled_rope	rope
speech_protection_kernel__absolutist_reading	analytical	tangled_rope	snare
state_killing_legitimacy__abolition_reading	powerless	snare	snare
state_killing_legitimacy__abolition_reading	moderate	snare	snare
state_killing_legitimacy__abolition_reading	institutional	snare	rope
state_killing_legitimacy__abolition_reading	analytical	snare	snare
statutory_debt_ceiling__coordination_scaffold_reading	powerless	scaffold	piton
statutory_debt_ceiling__coordination_scaffold_reading	moderate	scaffold	piton
statutory_debt_ceiling__coordination_scaffold_reading	institutional	scaffold	piton
statutory_debt_ceiling__coordination_scaffold_reading	analytical	scaffold	piton
superheavy_decay_reading	powerless	rope	unknown
superheavy_decay_reading	moderate	rope	unknown
superheavy_decay_reading	institutional	rope	scaffold
superheavy_decay_reading	analytical	rope	unknown
synthesis_infrastructure_gap	powerless	tangled_rope	tangled_rope
synthesis_infrastructure_gap	moderate	tangled_rope	snare
synthesis_infrastructure_gap	institutional	tangled_rope	rope
synthesis_infrastructure_gap	analytical	tangled_rope	snare
techno_nationalist_reading	powerless	tangled_rope	tangled_rope
techno_nationalist_reading	moderate	tangled_rope	snare
techno_nationalist_reading	institutional	tangled_rope	rope
techno_nationalist_reading	analytical	tangled_rope	snare
technology_diffusion_asymmetry	powerless	mountain	rope
technology_diffusion_asymmetry	moderate	mountain	rope
technology_diffusion_asymmetry	institutional	mountain	rope
technology_diffusion_asymmetry	analytical	mountain	rope
third_act_arbitrage	powerless	tangled_rope	tangled_rope
third_act_arbitrage	moderate	tangled_rope	tangled_rope
third_act_arbitrage	institutional	tangled_rope	rope
third_act_arbitrage	analytical	tangled_rope	tangled_rope
trajectory_extrapolation_reading	powerless	tangled_rope	snare
trajectory_extrapolation_reading	moderate	tangled_rope	snare
trajectory_extrapolation_reading	institutional	tangled_rope	rope
trajectory_extrapolation_reading	analytical	tangled_rope	snare
udhr_article_3__negative_liberty_reading	powerless	tangled_rope	snare
udhr_article_3__negative_liberty_reading	moderate	tangled_rope	snare
udhr_article_3__negative_liberty_reading	institutional	tangled_rope	rope
udhr_article_3__negative_liberty_reading	analytical	tangled_rope	snare
validation_judgment_separation	powerless	mountain	rope
validation_judgment_separation	moderate	mountain	rope
validation_judgment_separation	institutional	mountain	rope
validation_judgment_separation	analytical	mountain	rope
vedic_corpus_social_prescription__colonial_orientalist_reading	powerless	scaffold	tangled_rope
vedic_corpus_social_prescription__colonial_orientalist_reading	moderate	scaffold	snare
vedic_corpus_social_prescription__colonial_orientalist_reading	institutional	scaffold	rope
vedic_corpus_social_prescription__colonial_orientalist_reading	analytical	scaffold	snare
visual_evidentiary_authority_contradictions	powerless	none	unknown
visual_evidentiary_authority_contradictions	moderate	none	unknown
visual_evidentiary_authority_contradictions	institutional	none	unknown
visual_evidentiary_authority_contradictions	analytical	none	unknown
visual_evidentiary_authority_flat_control	powerless	rope	scaffold
visual_evidentiary_authority_flat_control	moderate	rope	scaffold
visual_evidentiary_authority_flat_control	institutional	rope	scaffold
visual_evidentiary_authority_flat_control	analytical	rope	unknown
vocabulary_collision_reading	powerless	rope	scaffold
vocabulary_collision_reading	moderate	rope	scaffold
vocabulary_collision_reading	institutional	rope	scaffold
vocabulary_collision_reading	analytical	rope	scaffold
weaponization_accessibility	powerless	rope	scaffold
weaponization_accessibility	moderate	rope	scaffold
weaponization_accessibility	institutional	rope	scaffold
weaponization_accessibility	analytical	rope	scaffold
womens_financial_autonomy	powerless	rope	scaffold
womens_financial_autonomy	moderate	rope	scaffold
womens_financial_autonomy	institutional	rope	scaffold
womens_financial_autonomy	analytical	rope	unknown
zero_mathematical_status__parmenidean_rejection	powerless	tangled_rope	tangled_rope
