constraint	structural	purity
caa_section_111d_delegation__facility_constraint_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
caa_section_111d_delegation__state_compliance_pathway_constraint	contaminated+nonsensical_coupling+excess_extraction	0.7153333333333334
caa_section_111d_delegation__systemic_transformation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3621666666666667
canadian_equalization_regime	contaminated+factorization+excess_extraction	0.627
capability_acceleration_outpacing_safety	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
capability_velocity_mismatch	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
catastrophe_avoidance_retention__catastrophe_as_necessary_selector	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
catastrophe_avoidance_retention__hybrid_near_miss_learning	contaminated+factorization+excess_extraction	0.575
catastrophe_avoidance_retention__simulation_as_proxy_catastrophe	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4421666666666667
catastrophe_memory_function__hybrid_transformation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4501666666666667
catastrophe_memory_function__mourning_practice_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
catastrophe_memory_function__survival_competence_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4165
catastrophe_memory_preservation__hybrid_atrophy_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4325
catastrophe_memory_preservation__mourning_practice_reading	contaminated+excess_extraction	0.9440000000000001
catastrophe_memory_preservation__survival_competence_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
catastrophe_memory_survival__competence_transmission_reading	contaminated+factorization+excess_extraction	0.599
catastrophe_memory_survival__hybrid_encoding_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.5383333333333333
catastrophe_memory_survival__symbol_survival_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
catastrophe_memory_transmission__hybrid_embedded_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4741666666666667
catastrophe_memory_transmission__hybrid_pedagogical_reading	contaminated+factorization+excess_extraction	0.615
catastrophe_memory_transmission__mourning_practice_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
catastrophe_memory_transmission__operational_competence_reading	contaminated+excess_extraction	0.9600000000000001
catastrophe_memory_transmission__survival_competence_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4501666666666667
catastrophe_memory_transmission__symbol_continuity_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3365
causal_inference_gap	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
cbdr_principle__historical_responsibility_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.366
cbdr_principle__voluntary_commitment_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
chaos_trajectory_divergence	contaminated+excess_extraction	0.9600000000000001
chemical_regulatory_capture	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
china_advanced_chip_design_constraint	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
chip_constraint_bottleneck	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4421666666666667
chip_control_efficacy	contaminated+excess_extraction	0.9760000000000001
church_turing_thesis__epistemological_boundary_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4101666666666667
church_turing_thesis__mathematical_definition_reading	pure_coordination	0.988
church_turing_thesis__physical_claim_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.4743333333333334
class_field_theory_foundation	inconclusive	-1.0
classical_latin_standard__continuity_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
classical_latin_standard__hybrid_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4101666666666667
classical_latin_standard__reconstruction_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
clawderberg_recursive_slop	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3685
click_chemistry_paradigm_2026	contaminated+factorization+nonsensical_coupling+excess_extraction	0.6858333333333334
climate_harm_prevention__adaptation_priority	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
climate_harm_prevention__degrowth_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
climate_harm_prevention__mitigation_priority	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
climate_response_action__adaptation_priority	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3941666666666667
climate_response_action__degrowth_transformation	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3916666666666667
climate_response_action__mitigation_priority	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3565
climate_response_imperative__adaptation_priority_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.2988333333333334
climate_response_imperative__degrowth_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
climate_response_imperative__mitigation_priority_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
climate_response_legitimacy__adaptation_priority	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.378
climate_response_legitimacy__degrowth_transformation	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3821666666666667
climate_response_legitimacy__mitigation_priority	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.2988333333333334
climate_response_obligation__adaptation_priority	contaminated+factorization+nonsensical_coupling+excess_extraction	0.4863333333333334
climate_response_obligation__degrowth_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
climate_response_obligation__mitigation_priority	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.2988333333333334
climate_stabilization_timeline	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4101666666666667
coercion_legitimacy_boundary__bodily_autonomy_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
coercion_legitimacy_boundary__proportionality_reading	contaminated+factorization+excess_extraction	0.607
coercion_legitimacy_boundary__public_health_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
cold_war_geopolitical_constraint	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
collateral_sufficiency_floor	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3645
collective_stupidity_2026	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
combatant_status_definition__functional_protection_reading	pure_coordination	0.9800000000000001
combatant_status_definition__national_liberation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.358
combatant_status_definition__state_centric_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
commerce_clause_scope__broad_effects_test	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.35250000000000004
commerce_clause_scope__intermediate_channels	contaminated+factorization+excess_extraction	0.623
commerce_clause_scope__narrow_originalist	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4501666666666667
commerce_clause_text__expansive_federal_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3621666666666667
commerce_clause_text__originalist_narrow_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4421666666666667
commerce_clause_text__substantial_effects_limited_reading	contaminated+factorization+excess_extraction	0.6669999999999999
commercial_fishery_quota_systems	contaminated+factorization+excess_extraction	0.627
commodified_permission_structure	contaminated+excess_extraction	0.8520000000000001
common_article_3_scope__expansive_human_rights_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
common_article_3_scope__icrc_customary_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4421666666666667
common_article_3_scope__state_centric_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
common_law_precedent_corpus__evolutionary_framework	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4421666666666667
common_law_precedent_corpus__pluralist_balancing	contaminated+excess_extraction	0.8320000000000001
common_law_precedent_corpus__strict_stare_decisis	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3445
competence_exercise_requirement__catastrophe_as_necessary_anchor	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
competence_exercise_requirement__hybrid_dependency	contaminated+factorization+excess_extraction	0.607
competence_exercise_requirement__simulation_as_adequate_exercise	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4421666666666667
competence_exercise_validity__continuous_refresh_hybrid	contaminated+factorization+excess_extraction	0.607
competence_exercise_validity__real_catastrophe_only	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
competence_exercise_validity__simulation_as_proxy	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
competence_occupation__hybrid_occupation	contaminated+factorization+nonsensical_coupling+excess_extraction	0.5063333333333334
competence_occupation__real_incident_necessity	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
competence_occupation__simulation_sufficiency	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
competence_retention_exercise__catastrophe_as_necessary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
competence_retention_exercise__near_miss_as_bridge	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4421666666666667
competence_retention_exercise__simulation_as_sufficient	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4421666666666667
compliance_cost_asymmetry	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.33649999999999997
complicity_equilibrium	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
consent_fatigue_externality	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.378
constitutional_authority_boundary__coordinate_construction_reading	contaminated+factorization+excess_extraction	0.655
constitutional_authority_boundary__judicial_supremacy_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.45833333333333337
constitutional_authority_boundary__parliamentary_primacy_reading	contaminated+factorization+excess_extraction	0.8555
constitutional_interpretive_authority__coordinate_construction_reading	contaminated+factorization+excess_extraction	0.623
constitutional_interpretive_authority__judicial_supremacy_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
constitutional_interpretive_authority__parliamentary_supremacy_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3445
constitutional_secularism__principled_intervention_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.358
constitutional_secularism__reformist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
constitutional_secularism__strict_neutrality_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
constitutional_text__judicial_supremacy_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3445
constitutional_text__legislative_sovereignty_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
constitutional_text__popular_sovereignty_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.47166666666666673
constitutional_text_authority__living_constitutionalist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4621666666666667
constitutional_text_authority__originalist_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.4663333333333334
constitutional_text_authority__positivist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4421666666666667
cop_consensus_paralysis	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4221666666666667
copyright_constitutional_mandate__corporate_enclosure_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
copyright_constitutional_mandate__judicial_ambiguity_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4205
copyright_constitutional_mandate__public_scaffold_reading	contaminated+excess_extraction	0.92
correct_latin__living_drift_reading	contaminated+excess_extraction	0.9600000000000001
correct_latin__prescriptive_ideal_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4291666666666667
correct_latin__textual_recovery_reading	contaminated+factorization+excess_extraction	0.591
correct_latin_kernel__continuity_reading	contaminated+excess_extraction	0.92
correct_latin_kernel__reconstructionist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
correct_latin_kernel__reoccupation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.35
counterparty_risk_opacity	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.378
creed_381_pneumatology__ecumenical_reunion_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.7738333333333334
creed_381_pneumatology__filioque_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
creed_381_pneumatology__monoprocession_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.27083333333333337
crustal_hydrogen_availability	pure_natural_law	1.0
cryptocurrency_settlement_competition	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
cryptographic_key_selection	contaminated+excess_extraction	0.9760000000000001
cultural_homogenization_social_media	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3285
cultural_legitimacy_gatekeeping	contaminated+factorization+excess_extraction	0.599
cultural_property_legal_corpus__indigenous_stewardship_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
cultural_property_legal_corpus__sovereign_repatriation_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.4983333333333334
cultural_property_legal_corpus__universal_heritage_reading	contaminated+factorization+excess_extraction	0.627
cuny_light_2026	contaminated+excess_extraction	0.9760000000000001
