constraint	fixed_structural
all_men_created_equal__universalist_reading	contaminated+factorization+excess_extraction
alternative_governance_emergence	contaminated+factorization+excess_extraction
amun_priesthood_authority_substrate	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
aneyoshi_land_use_prohibition__behavioral_competence_reading	pure_coordination
aneyoshi_land_use_prohibition__commemorative_husk_reading	contaminated+factorization+excess_extraction
animal_moral_status__abolitionist_reading	contaminated+factorization+excess_extraction
animal_moral_status__property_reading	pure_coordination
animal_moral_status__welfare_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
animal_status__abolitionist_reading	contaminated+factorization+excess_extraction
animal_status__property_reading	pure_coordination
animal_status__welfare_reading	contaminated+factorization+excess_extraction
animal_status_kernel__property_reading	contaminated+factorization+excess_extraction
animal_status_kernel__welfare_reading	contaminated+factorization+excess_extraction
anonymity_commons_degradation	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
anthropological_record__creationist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
anthropological_record__indigenous_epistemology_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
anthropological_record__naturalist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
arctic_resource_competition	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
article17_erasure_right__censorship_mechanism_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
article17_erasure_right__competitive_moat_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
article17_erasure_right__privacy_fundamental_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
article_17_complementarity__international_oversight_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
article_17_complementarity__national_primacy_reading	contaminated+factorization+excess_extraction
article_17_complementarity__procedural_gatekeeping_mechanism	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
article_27_veto_power__coordination_reading	pure_coordination
article_27_veto_power__oligopoly_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
article_27_veto_power__sovereignty_reading	pure_coordination
article_2_7_chapter_vii_tension__p5_veto_gatekeeper	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
article_2_7_chapter_vii_tension__r2p_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
article_2_7_chapter_vii_tension__sovereignty_first_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
article_51_self_defense__expansive_preventive_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
article_51_self_defense__narrow_armed_attack_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
article_51_self_defense__unable_unwilling_doctrine_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
article_9_war_renunciation__collective_self_defense_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
article_9_war_renunciation__inherent_right_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
article_9_war_renunciation__strict_pacifist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
audit_trail_discovery_surface	contaminated+factorization+excess_extraction
average_is_over_2026	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
award_system_voter_diversity	contaminated+excess_extraction
axiom_of_choice_consequence	contaminated+excess_extraction
balfour_mandate_instruments__dual_obligation_indigenous_rights	contaminated+factorization+nonsensical_coupling+excess_extraction
balfour_mandate_instruments__jewish_national_home_primacy	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
balfour_mandate_instruments__mandatory_interpretive_discretion	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
basic_law_interpretive_authority__judicial_supremacy_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
basic_law_interpretive_authority__parliamentary_sovereignty_reading	contaminated+factorization+excess_extraction
basic_law_interpretive_authority__popular_constitutionalism_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
basic_law_interpretive_boundary__balanced_contestation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
basic_law_interpretive_boundary__judicial_supremacy_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	pure_coordination
beehiiv_platform_model	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
beta_designation_doctrine__expansive_shield_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
beta_designation_doctrine__narrow_warning_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
beta_designation_doctrine__severity_carve_out_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
biblical_authority__conciliar_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
biblical_authority__sola_scriptura_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
biblical_authority__tradition_scripture_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
biblical_divine_nature__modalist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
biblical_divine_nature__trinitarian_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
biblical_divine_nature__unitarian_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
biblical_source_text__critical_reconstructive_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
biblical_source_text__dynamic_equivalence_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
biblical_source_text__formal_equivalence_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
big_data_astrophysics_arbitrage	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
bilateral_science_innovation_partnership	contaminated+excess_extraction
bitcoin_consensus_kernel__maximalist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
bitcoin_consensus_kernel__pragmatic_synthesis	contaminated+factorization+nonsensical_coupling+excess_extraction
bitcoin_consensus_kernel__utility_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
bitcoin_whitepaper__digital_gold_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
bitcoin_whitepaper__p2p_cash_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
bitcoin_whitepaper__protocol_ossification_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
bitcoin_whitepaper_purpose__electronic_cash_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
bitcoin_whitepaper_purpose__store_of_value_reading	contaminated+excess_extraction
bite_configuration_naturalization	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
blockchain_scalability_trilemma	contaminated+factorization+excess_extraction
blockchain_settlement_finality	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
boom_bust_path_dependency	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
border_control_legitimacy__freedom_of_movement_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
border_control_legitimacy__jurisdictional_sovereignty	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
border_control_legitimacy__sovereignty_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
border_legitimacy__economic_utility_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
border_legitimacy__freedom_of_movement_primary_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
border_legitimacy__freedom_of_movement_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
border_legitimacy__humanitarian_obligation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
border_legitimacy__sovereignty_primary_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
border_legitimacy__sovereignty_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
border_normative_status__freedom_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
border_normative_status__qualified_sovereignty	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
border_normative_status__sovereignty_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
bretton_woods_treaty_substrate__keynesian_embedded_liberalism	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
bretton_woods_treaty_substrate__neoliberal_convertibility	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
bretton_woods_treaty_substrate__sovereignty_defense	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
burali_forte_paradox	contaminated+excess_extraction
bureaucratic_discretion_capture	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
bureaucratic_legibility_collapse	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
bureaucratic_rent_seeking	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
busy_beaver_noncomputability	contaminated+excess_extraction
caa_section_111d_delegation__facility_constraint_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
caa_section_111d_delegation__state_compliance_pathway_constraint	contaminated+nonsensical_coupling+excess_extraction
caa_section_111d_delegation__systemic_transformation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
canadian_equalization_regime	contaminated+factorization+excess_extraction
capability_acceleration_outpacing_safety	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
capability_velocity_mismatch	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
catastrophe_avoidance_retention__catastrophe_as_necessary_selector	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
catastrophe_avoidance_retention__hybrid_near_miss_learning	contaminated+factorization+excess_extraction
catastrophe_avoidance_retention__simulation_as_proxy_catastrophe	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
catastrophe_memory_function__hybrid_transformation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
catastrophe_memory_function__mourning_practice_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
catastrophe_memory_function__survival_competence_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
catastrophe_memory_preservation__hybrid_atrophy_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
catastrophe_memory_preservation__mourning_practice_reading	contaminated+excess_extraction
catastrophe_memory_preservation__survival_competence_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
catastrophe_memory_survival__competence_transmission_reading	contaminated+factorization+excess_extraction
catastrophe_memory_survival__hybrid_encoding_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
catastrophe_memory_survival__symbol_survival_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
catastrophe_memory_transmission__hybrid_embedded_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
catastrophe_memory_transmission__hybrid_pedagogical_reading	contaminated+factorization+excess_extraction
catastrophe_memory_transmission__mourning_practice_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
catastrophe_memory_transmission__operational_competence_reading	contaminated+excess_extraction
catastrophe_memory_transmission__survival_competence_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
catastrophe_memory_transmission__symbol_continuity_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
causal_inference_gap	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
cbdr_principle__historical_responsibility_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
cbdr_principle__voluntary_commitment_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
chaos_trajectory_divergence	contaminated+excess_extraction
chemical_regulatory_capture	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
china_advanced_chip_design_constraint	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
chip_constraint_bottleneck	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
chip_control_efficacy	contaminated+excess_extraction
church_turing_thesis__epistemological_boundary_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
church_turing_thesis__mathematical_definition_reading	pure_coordination
church_turing_thesis__physical_claim_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
class_field_theory_foundation	inconclusive
classical_latin_standard__continuity_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
classical_latin_standard__hybrid_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
classical_latin_standard__reconstruction_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
clawderberg_recursive_slop	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
click_chemistry_paradigm_2026	contaminated+factorization+nonsensical_coupling+excess_extraction
climate_harm_prevention__adaptation_priority	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
climate_harm_prevention__degrowth_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
climate_harm_prevention__mitigation_priority	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
climate_response_action__adaptation_priority	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
climate_response_action__degrowth_transformation	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
climate_response_action__mitigation_priority	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
climate_response_imperative__adaptation_priority_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
climate_response_imperative__degrowth_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
climate_response_imperative__mitigation_priority_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
climate_response_legitimacy__adaptation_priority	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
climate_response_legitimacy__degrowth_transformation	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
climate_response_legitimacy__mitigation_priority	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
climate_response_obligation__adaptation_priority	contaminated+factorization+nonsensical_coupling+excess_extraction
climate_response_obligation__degrowth_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
climate_response_obligation__mitigation_priority	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
climate_stabilization_timeline	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
coercion_legitimacy_boundary__bodily_autonomy_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
coercion_legitimacy_boundary__proportionality_reading	contaminated+factorization+excess_extraction
coercion_legitimacy_boundary__public_health_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
cold_war_geopolitical_constraint	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
collateral_sufficiency_floor	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
collective_stupidity_2026	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
combatant_status_definition__functional_protection_reading	pure_coordination
combatant_status_definition__national_liberation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
combatant_status_definition__state_centric_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
commerce_clause_scope__broad_effects_test	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
commerce_clause_scope__intermediate_channels	contaminated+factorization+excess_extraction
commerce_clause_scope__narrow_originalist	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
commerce_clause_text__expansive_federal_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
commerce_clause_text__originalist_narrow_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
commerce_clause_text__substantial_effects_limited_reading	contaminated+factorization+excess_extraction
commercial_fishery_quota_systems	contaminated+factorization+excess_extraction
commodified_permission_structure	contaminated+excess_extraction
common_article_3_scope__expansive_human_rights_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
common_article_3_scope__icrc_customary_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
common_article_3_scope__state_centric_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
common_law_precedent_corpus__evolutionary_framework	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
common_law_precedent_corpus__pluralist_balancing	contaminated+excess_extraction
common_law_precedent_corpus__strict_stare_decisis	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
competence_exercise_requirement__catastrophe_as_necessary_anchor	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
competence_exercise_requirement__hybrid_dependency	contaminated+factorization+excess_extraction
competence_exercise_requirement__simulation_as_adequate_exercise	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
competence_exercise_validity__continuous_refresh_hybrid	contaminated+factorization+excess_extraction
competence_exercise_validity__real_catastrophe_only	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
competence_exercise_validity__simulation_as_proxy	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
competence_occupation__hybrid_occupation	contaminated+factorization+nonsensical_coupling+excess_extraction
competence_occupation__real_incident_necessity	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
competence_occupation__simulation_sufficiency	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
competence_retention_exercise__catastrophe_as_necessary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
competence_retention_exercise__near_miss_as_bridge	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
competence_retention_exercise__simulation_as_sufficient	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
compliance_cost_asymmetry	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
complicity_equilibrium	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
consent_fatigue_externality	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
constitutional_authority_boundary__coordinate_construction_reading	contaminated+factorization+excess_extraction
constitutional_authority_boundary__judicial_supremacy_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
constitutional_authority_boundary__parliamentary_primacy_reading	contaminated+factorization+excess_extraction
constitutional_interpretive_authority__coordinate_construction_reading	contaminated+factorization+excess_extraction
constitutional_interpretive_authority__judicial_supremacy_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
constitutional_interpretive_authority__parliamentary_supremacy_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
constitutional_secularism__principled_intervention_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
constitutional_secularism__reformist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
constitutional_secularism__strict_neutrality_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
constitutional_text__judicial_supremacy_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
constitutional_text__legislative_sovereignty_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
constitutional_text__popular_sovereignty_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
constitutional_text_authority__living_constitutionalist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
constitutional_text_authority__originalist_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
constitutional_text_authority__positivist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
cop_consensus_paralysis	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
copyright_constitutional_mandate__corporate_enclosure_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
copyright_constitutional_mandate__judicial_ambiguity_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
copyright_constitutional_mandate__public_scaffold_reading	contaminated+excess_extraction
correct_latin__living_drift_reading	contaminated+excess_extraction
correct_latin__prescriptive_ideal_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
correct_latin__textual_recovery_reading	contaminated+factorization+excess_extraction
correct_latin_kernel__continuity_reading	contaminated+excess_extraction
correct_latin_kernel__reconstructionist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
correct_latin_kernel__reoccupation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
counterparty_risk_opacity	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
creed_381_pneumatology__ecumenical_reunion_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
creed_381_pneumatology__filioque_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
creed_381_pneumatology__monoprocession_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
crustal_hydrogen_availability	pure_natural_law
cryptocurrency_settlement_competition	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
cryptographic_key_selection	contaminated+excess_extraction
cultural_homogenization_social_media	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
cultural_legitimacy_gatekeeping	contaminated+factorization+excess_extraction
cultural_property_legal_corpus__indigenous_stewardship_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
cultural_property_legal_corpus__sovereign_repatriation_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
cultural_property_legal_corpus__universal_heritage_reading	contaminated+factorization+excess_extraction
cuny_light_2026	contaminated+excess_extraction
currency_depreciation_spiral	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
dark_matter_structure_formation_timeline	contaminated+excess_extraction
decalogue_image_prohibition__iconoclast_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
decalogue_image_prohibition__iconodule_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
decalogue_image_prohibition__moderate_iconoclast_reading	contaminated+factorization+excess_extraction
decentralization_censorship_resistance	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
defense_contractor_vendor_capture	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
deferential_realism_ontology__hybrid_pragmatic_reading	contaminated+factorization+excess_extraction
deferential_realism_ontology__immutable_diagnostic_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
deferential_realism_ontology__rhetorical_scaffold_reading	contaminated+factorization+excess_extraction
deforestation_commons	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
derivative_work_statutory_boundary__coordination_reading	contaminated+excess_extraction
derivative_work_statutory_boundary__enclosure_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
derivative_work_statutory_boundary__hybrid_carveout_reading	contaminated+factorization+excess_extraction
developing_nation_debt_sustainability	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
dharmasastra_corpus__abolitionist_rejection	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
dharmasastra_corpus__orthodox_literalist	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
dharmasastra_corpus__reformist_contextual	contaminated+factorization+excess_extraction
digital_identity_standardization	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
digital_money_emergence_boundary__conceptualization_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
digital_money_emergence_boundary__consumer_holdings_reading	contaminated+factorization+excess_extraction
digital_money_emergence_boundary__infrastructure_reading	contaminated+factorization+excess_extraction
digital_money_origin__consumer_access_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
digital_money_origin__infrastructure_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
digital_money_origin__peer_to_peer_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
dignified_death__autonomy_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
dignified_death__relational_autonomy	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
dignified_death__sanctity_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
disability_identity_politics	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
disney_openai_ip_exclusivity	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
distributed_system_coherence	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
divine_legitimacy_substrate__amun_polytheistic_reading	contaminated+factorization+excess_extraction
divine_legitimacy_substrate__atenist_monotheistic_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
divine_legitimacy_substrate__enforcement_collapse_mechanism	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
divine_legitimacy_substrate__folk_syncretistic_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
divine_marriage_command__coercion_visibility_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
divine_marriage_command__continuationist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
