constraint	ip	ep	nbrs
article_2_7_chapter_vii_tension__sovereignty_first_reading	0.3541666666666667	0.3541666666666667	3
article_51_self_defense__expansive_preventive_reading	0.3541666666666667	0.35223333333333334	4
article_51_self_defense__narrow_armed_attack_reading	0.4421666666666667	0.38611333333333336	8
article_51_self_defense__unable_unwilling_doctrine_reading	0.3445	0.3445	4
article_9_war_renunciation__collective_self_defense_reading	0.33649999999999997	0.32208333333333333	4
article_9_war_renunciation__inherent_right_reading	0.5063333333333334	0.34740000000000004	4
article_9_war_renunciation__strict_pacifist_reading	0.2788333333333334	0.2788333333333334	4
audit_trail_discovery_surface	0.623	0.623	1
average_is_over_2026	0.378	0.378	4
award_system_voter_diversity	0.8240000000000001	0.8240000000000001	2
axiom_of_choice_consequence	0.9600000000000001	0.9600000000000001	3
balfour_mandate_instruments__dual_obligation_indigenous_rights	0.5063333333333334	0.4636333333333334	4
balfour_mandate_instruments__jewish_national_home_primacy	0.4411666666666667	0.4245333333333334	6
balfour_mandate_instruments__mandatory_interpretive_discretion	0.358	0.358	2
basic_law_interpretive_authority__judicial_supremacy_reading	0.5063333333333334	0.4967333333333334	2
basic_law_interpretive_authority__parliamentary_sovereignty_reading	0.607	0.5262133333333333	8
basic_law_interpretive_authority__popular_constitutionalism_reading	0.45833333333333337	0.45006333333333337	4
basic_law_interpretive_boundary__balanced_contestation_reading	0.4421666666666667	0.4125533333333334	6
basic_law_interpretive_boundary__judicial_supremacy_reading	0.3205	0.3205	2
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	1.0	0.6397041666666667	3
beehiiv_platform_model	0.3405	0.3405	3
beta_designation_doctrine__expansive_shield_reading	0.3541666666666667	0.33659666666666666	17
beta_designation_doctrine__narrow_warning_reading	0.3925	0.38483333333333336	2
beta_designation_doctrine__severity_carve_out_reading	0.4621666666666667	0.42591333333333337	7
biblical_authority__conciliar_reading	0.4341666666666667	0.40790000000000004	4
biblical_authority__sola_scriptura_reading	0.4085	0.39249999999999996	4
biblical_authority__tradition_scripture_reading	0.3285	0.3285	5
biblical_divine_nature__modalist_reading	0.4341666666666667	0.41303333333333336	4
biblical_divine_nature__trinitarian_reading	0.3701666666666667	0.3682466666666667	6
biblical_divine_nature__unitarian_reading	0.3925	0.38803333333333334	2
biblical_source_text__critical_reconstructive_reading	0.3125	0.3125	4
biblical_source_text__dynamic_equivalence_reading	0.4101666666666667	0.39063333333333333	3
biblical_source_text__formal_equivalence_reading	0.45833333333333337	0.41953333333333337	4
big_data_astrophysics_arbitrage	0.39	0.39	3
bilateral_science_innovation_partnership	0.8520000000000001	0.8520000000000001	2
bitcoin_consensus_kernel__maximalist_reading	0.3405	0.3405	4
bitcoin_consensus_kernel__pragmatic_synthesis	0.7778333333333334	0.6224000000000001	4
bitcoin_consensus_kernel__utility_reading	0.43799999999999994	0.39077999999999996	9
bitcoin_whitepaper__digital_gold_reading	0.3405	0.3365	5
bitcoin_whitepaper__p2p_cash_reading	0.5263333333333334	0.43685000000000007	6
bitcoin_whitepaper__protocol_ossification_reading	0.3205	0.3205	4
bitcoin_whitepaper_purpose__electronic_cash_reading	0.6738333333333334	0.6015666666666667	2
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	0.3125	0.31048	8
bitcoin_whitepaper_purpose__store_of_value_reading	0.872	0.7204666666666667	2
bite_configuration_naturalization	0.4621666666666667	0.4621666666666667	3
blockchain_scalability_trilemma	0.627	0.61134	4
blockchain_settlement_finality	0.366	0.35529	10
boom_bust_path_dependency	0.31633333333333336	0.31633333333333336	3
border_control_legitimacy__freedom_of_movement_primary	0.378	0.3665333333333333	5
border_control_legitimacy__jurisdictional_sovereignty	0.3405	0.33762000000000003	13
border_control_legitimacy__sovereignty_primary	0.3541666666666667	0.34609333333333336	9
border_legitimacy__economic_utility_reading	0.3941666666666667	0.38343333333333335	4
border_legitimacy__freedom_of_movement_primary_reading	0.3541666666666667	0.3480066666666667	9
border_legitimacy__freedom_of_movement_reading	0.3541666666666667	0.3471866666666667	10
border_legitimacy__humanitarian_obligation_reading	0.4621666666666667	0.3973666666666667	4
border_legitimacy__sovereignty_primary_reading	0.3805	0.3451066666666667	14
border_legitimacy__sovereignty_reading	0.3541666666666667	0.35031666666666667	7
border_normative_status__freedom_primary	0.3405	0.3309	11
border_normative_status__qualified_sovereignty	0.3205	0.3189	10
border_normative_status__sovereignty_primary	0.3125	0.3125	11
bretton_woods_treaty_substrate__keynesian_embedded_liberalism	0.4621666666666667	0.4282333333333334	5
bretton_woods_treaty_substrate__neoliberal_convertibility	0.3941666666666667	0.3704733333333334	9
bretton_woods_treaty_substrate__sovereignty_defense	0.36050000000000004	0.36012000000000005	7
burali_forte_paradox	0.9600000000000001	0.9600000000000001	3
bureaucratic_discretion_capture	0.378	0.37584375	7
bureaucratic_legibility_collapse	0.3405	0.3405	4
bureaucratic_rent_seeking	0.3445	0.3445	5
busy_beaver_noncomputability	0.9600000000000001	0.9600000000000001	0
caa_section_111d_delegation__facility_constraint_reading	0.3205	0.3205	1
caa_section_111d_delegation__state_compliance_pathway_constraint	0.7153333333333334	0.7153333333333334	2
caa_section_111d_delegation__systemic_transformation_reading	0.3621666666666667	0.35383333333333333	3
canadian_equalization_regime	0.627	0.627	2
capability_acceleration_outpacing_safety	0.3541666666666667	0.3541666666666667	4
capability_velocity_mismatch	0.3205	0.3205	4
catastrophe_avoidance_retention__catastrophe_as_necessary_selector	0.3205	0.3205	3
catastrophe_avoidance_retention__hybrid_near_miss_learning	0.575	0.5484333333333333	3
catastrophe_avoidance_retention__simulation_as_proxy_catastrophe	0.4421666666666667	0.40443333333333337	7
catastrophe_memory_function__hybrid_transformation_reading	0.4501666666666667	0.44023333333333337	4
catastrophe_memory_function__mourning_practice_reading	0.4341666666666667	0.43063333333333337	2
catastrophe_memory_function__survival_competence_reading	0.4165	0.4165	3
catastrophe_memory_preservation__hybrid_atrophy_reading	0.4325	0.4235	2
catastrophe_memory_preservation__mourning_practice_reading	0.9440000000000001	0.65402	3
catastrophe_memory_preservation__survival_competence_reading	0.3125	0.31168	10
catastrophe_memory_survival__competence_transmission_reading	0.599	0.5295666666666666	2
catastrophe_memory_survival__hybrid_encoding_reading	0.5383333333333333	0.49316666666666664	2
catastrophe_memory_survival__symbol_survival_reading	0.3125	0.3125	2
catastrophe_memory_transmission__hybrid_embedded_reading	0.4741666666666667	0.45695833333333336	2
catastrophe_memory_transmission__hybrid_pedagogical_reading	0.615	0.5043433333333334	5
catastrophe_memory_transmission__mourning_practice_reading	0.3125	0.3125	2
catastrophe_memory_transmission__operational_competence_reading	0.9600000000000001	0.8343400000000001	3
catastrophe_memory_transmission__survival_competence_reading	0.4501666666666667	0.42263333333333336	2
catastrophe_memory_transmission__symbol_continuity_reading	0.3365	0.3365	3
causal_inference_gap	0.3125	0.3125	3
cbdr_principle__historical_responsibility_reading	0.366	0.3569	5
cbdr_principle__voluntary_commitment_reading	0.3205	0.3192	10
chaos_trajectory_divergence	0.9600000000000001	0.9600000000000001	2
chemical_regulatory_capture	0.3205	0.3205	6
china_advanced_chip_design_constraint	0.3205	0.3205	3
chip_constraint_bottleneck	0.4421666666666667	0.4421666666666667	1
chip_control_efficacy	0.9760000000000001	0.9760000000000001	3
church_turing_thesis__epistemological_boundary_reading	0.4101666666666667	0.4101666666666667	4
church_turing_thesis__mathematical_definition_reading	0.988	0.715125	2
church_turing_thesis__physical_claim_reading	0.4743333333333334	0.4615	4
class_field_theory_foundation	-1.0	-1.0	2
classical_latin_standard__continuity_reading	0.4341666666666667	0.40075000000000005	3
classical_latin_standard__hybrid_reading	0.4101666666666667	0.3711	2
classical_latin_standard__reconstruction_reading	0.3125	0.3125	4
clawderberg_recursive_slop	0.3685	0.3685	3
click_chemistry_paradigm_2026	0.6858333333333334	0.6858333333333334	3
climate_harm_prevention__adaptation_priority	0.3405	0.33464000000000005	17
climate_harm_prevention__degrowth_reading	0.3541666666666667	0.34042	11
climate_harm_prevention__mitigation_priority	0.3405	0.33382	12
climate_response_action__adaptation_priority	0.3941666666666667	0.34062000000000003	19
climate_response_action__degrowth_transformation	0.3916666666666667	0.35468	14
climate_response_action__mitigation_priority	0.3565	0.3565	5
climate_response_imperative__adaptation_priority_reading	0.2988333333333334	0.2988333333333334	9
climate_response_imperative__degrowth_reading	0.3405	0.3279866666666667	12
climate_response_imperative__mitigation_priority_reading	0.3405	0.3279866666666667	17
climate_response_legitimacy__adaptation_priority	0.378	0.3455366666666667	17
climate_response_legitimacy__degrowth_transformation	0.3821666666666667	0.3571416666666667	12
climate_response_legitimacy__mitigation_priority	0.2988333333333334	0.2988333333333334	16
climate_response_obligation__adaptation_priority	0.4863333333333334	0.31783666666666666	19
climate_response_obligation__degrowth_reading	0.3405	0.3321666666666667	4
climate_response_obligation__mitigation_priority	0.2988333333333334	0.2988333333333334	14
climate_stabilization_timeline	0.4101666666666667	0.3714266666666667	18
coercion_legitimacy_boundary__bodily_autonomy_primary	0.3541666666666667	0.33584	9
coercion_legitimacy_boundary__proportionality_reading	0.607	0.3566033333333334	10
coercion_legitimacy_boundary__public_health_primary	0.3205	0.3205	13
cold_war_geopolitical_constraint	0.3205	0.3205	5
collateral_sufficiency_floor	0.3645	0.3645	3
collective_stupidity_2026	0.3541666666666667	0.3541666666666667	2
combatant_status_definition__functional_protection_reading	0.9800000000000001	0.6680416666666666	4
combatant_status_definition__national_liberation_reading	0.358	0.35723333333333335	4
combatant_status_definition__state_centric_reading	0.3541666666666667	0.35358666666666666	7
commerce_clause_scope__broad_effects_test	0.35250000000000004	0.34808000000000006	8
commerce_clause_scope__intermediate_channels	0.623	0.5343333333333333	3
commerce_clause_scope__narrow_originalist	0.4501666666666667	0.4238133333333334	6
commerce_clause_text__expansive_federal_reading	0.3621666666666667	0.3618041666666667	6
commerce_clause_text__originalist_narrow_reading	0.4421666666666667	0.4043066666666667	6
commerce_clause_text__substantial_effects_limited_reading	0.6669999999999999	0.6220333333333333	4
commercial_fishery_quota_systems	0.627	0.60813	4
commodified_permission_structure	0.8520000000000001	0.8520000000000001	2
common_article_3_scope__expansive_human_rights_reading	0.3541666666666667	0.34743333333333337	4
common_article_3_scope__icrc_customary_reading	0.4421666666666667	0.40023333333333333	6
common_article_3_scope__state_centric_reading	0.3205	0.3205	4
common_law_precedent_corpus__evolutionary_framework	0.4421666666666667	0.40707333333333334	6
common_law_precedent_corpus__pluralist_balancing	0.8320000000000001	0.6565333333333334	4
common_law_precedent_corpus__strict_stare_decisis	0.3445	0.3445	5
competence_exercise_requirement__catastrophe_as_necessary_anchor	0.3541666666666667	0.3541666666666667	6
competence_exercise_requirement__hybrid_dependency	0.607	0.5058666666666667	4
competence_exercise_requirement__simulation_as_adequate_exercise	0.4421666666666667	0.4069666666666667	3
competence_exercise_validity__continuous_refresh_hybrid	0.607	0.4351	4
competence_exercise_validity__real_catastrophe_only	0.3205	0.3205	3
competence_exercise_validity__simulation_as_proxy	0.3205	0.3205	4
competence_occupation__hybrid_occupation	0.5063333333333334	0.4348833333333334	3
competence_occupation__real_incident_necessity	0.3541666666666667	0.34339333333333333	5
competence_occupation__simulation_sufficiency	0.3205	0.3205	2
competence_retention_exercise__catastrophe_as_necessary	0.3205	0.3205	2
competence_retention_exercise__near_miss_as_bridge	0.4421666666666667	0.4072733333333334	3
competence_retention_exercise__simulation_as_sufficient	0.4421666666666667	0.4178333333333334	3
compliance_cost_asymmetry	0.33649999999999997	0.33649999999999997	3
complicity_equilibrium	0.3205	0.3199	8
consent_fatigue_externality	0.378	0.378	3
constitutional_authority_boundary__coordinate_construction_reading	0.655	0.6127866666666667	5
constitutional_authority_boundary__judicial_supremacy_reading	0.45833333333333337	0.45833333333333337	3
constitutional_authority_boundary__parliamentary_primacy_reading	0.8555	0.6603166666666667	7
constitutional_interpretive_authority__coordinate_construction_reading	0.623	0.5068	2
constitutional_interpretive_authority__judicial_supremacy_reading	0.3205	0.3205	3
constitutional_interpretive_authority__parliamentary_supremacy_reading	0.3445	0.3397	8
constitutional_secularism__principled_intervention_reading	0.358	0.33754	5
constitutional_secularism__reformist_reading	0.3205	0.3205	4
constitutional_secularism__strict_neutrality_reading	0.4341666666666667	0.36889666666666665	7
constitutional_text__judicial_supremacy_reading	0.3445	0.3397	2
constitutional_text__legislative_sovereignty_reading	0.3205	0.3205	5
constitutional_text__popular_sovereignty_reading	0.47166666666666673	0.41600000000000004	4
constitutional_text_authority__living_constitutionalist_reading	0.4621666666666667	0.4581666666666667	4
constitutional_text_authority__originalist_reading	0.4663333333333334	0.44396666666666673	5
constitutional_text_authority__positivist_reading	0.4421666666666667	0.4421666666666667	2
cop_consensus_paralysis	0.4221666666666667	0.39333666666666667	15
copyright_constitutional_mandate__corporate_enclosure_reading	0.3541666666666667	0.3541666666666667	6
copyright_constitutional_mandate__judicial_ambiguity_reading	0.4205	0.40723333333333334	4
copyright_constitutional_mandate__public_scaffold_reading	0.92	0.7069333333333333	6
correct_latin__living_drift_reading	0.9600000000000001	0.6738666666666667	3
correct_latin__prescriptive_ideal_reading	0.4291666666666667	0.4256916666666667	5
correct_latin__textual_recovery_reading	0.591	0.5262666666666667	4
correct_latin_kernel__continuity_reading	0.92	0.5962799999999999	5
correct_latin_kernel__reconstructionist_reading	0.3125	0.3125	4
correct_latin_kernel__reoccupation_reading	0.35	0.34249999999999997	2
counterparty_risk_opacity	0.378	0.378	3
creed_381_pneumatology__ecumenical_reunion_reading	0.7738333333333334	0.5893	2
creed_381_pneumatology__filioque_reading	0.3541666666666667	0.3375	4
creed_381_pneumatology__monoprocession_reading	0.27083333333333337	0.27083333333333337	4
crustal_hydrogen_availability	1.0	1.0	3
cryptocurrency_settlement_competition	0.3405	0.3405	8
cryptographic_key_selection	0.9760000000000001	0.9760000000000001	0
cultural_homogenization_social_media	0.3285	0.32658000000000004	13
cultural_legitimacy_gatekeeping	0.599	0.599	3
cultural_property_legal_corpus__indigenous_stewardship_reading	0.3541666666666667	0.3541666666666667	3
cultural_property_legal_corpus__sovereign_repatriation_reading	0.4983333333333334	0.4695000000000001	2
cultural_property_legal_corpus__universal_heritage_reading	0.627	0.52783	5
cuny_light_2026	0.9760000000000001	0.9760000000000001	2
currency_depreciation_spiral	0.3405	0.3405	3
dark_matter_structure_formation_timeline	0.9600000000000001	0.9600000000000001	3
decalogue_image_prohibition__iconoclast_reading	0.3541666666666667	0.3541666666666667	1
decalogue_image_prohibition__iconodule_reading	0.7818333333333334	0.6613333333333333	2
decalogue_image_prohibition__moderate_iconoclast_reading	0.607	0.54478	5
decentralization_censorship_resistance	0.3405	0.339	10
defense_contractor_vendor_capture	0.378	0.37657	5
deferential_realism_ontology__hybrid_pragmatic_reading	0.591	0.5436333333333333	2
deferential_realism_ontology__immutable_diagnostic_reading	0.3541666666666667	0.3541666666666667	5
deferential_realism_ontology__rhetorical_scaffold_reading	0.575	0.5473958333333333	3
deforestation_commons	0.3125	0.31168	17
derivative_work_statutory_boundary__coordination_reading	0.936	0.7624733333333333	5
derivative_work_statutory_boundary__enclosure_reading	0.3541666666666667	0.3541666666666667	6
derivative_work_statutory_boundary__hybrid_carveout_reading	0.655	0.655	4
developing_nation_debt_sustainability	0.3405	0.33954	10
dharmasastra_corpus__abolitionist_rejection	0.4291666666666667	0.3954866666666667	8
dharmasastra_corpus__orthodox_literalist	0.3541666666666667	0.3541666666666667	2
dharmasastra_corpus__reformist_contextual	0.599	0.5160666666666667	3
digital_identity_standardization	0.3285	0.32802000000000003	5
digital_money_emergence_boundary__conceptualization_reading	0.4101666666666667	0.4101666666666667	2
digital_money_emergence_boundary__consumer_holdings_reading	0.6669999999999999	0.5863333333333333	4
digital_money_emergence_boundary__infrastructure_reading	0.6469999999999999	0.5996333333333332	4
digital_money_origin__consumer_access_reading	0.45799999999999996	0.4257333333333333	4
digital_money_origin__infrastructure_reading	0.4421666666666667	0.41623333333333334	4
digital_money_origin__peer_to_peer_reading	0.3125	0.3125	5
dignified_death__autonomy_primary	0.3365	0.3317	4
dignified_death__relational_autonomy	0.3925	0.3755	4
dignified_death__sanctity_primary	0.3125	0.3125	4
disability_identity_politics	0.3365	0.3365	3
disney_openai_ip_exclusivity	0.3821666666666667	0.3804866666666667	4
distributed_system_coherence	0.4821666666666667	0.4821666666666667	3
divine_legitimacy_substrate__amun_polytheistic_reading	0.655	0.5948333333333333	4
divine_legitimacy_substrate__atenist_monotheistic_reading	0.3541666666666667	0.3516666666666667	3
divine_legitimacy_substrate__enforcement_collapse_mechanism	0.3205	0.3205	2
divine_legitimacy_substrate__folk_syncretistic_reading	0.48366666666666674	0.4674791666666667	4
divine_marriage_command__coercion_visibility_reading	0.358	0.34299999999999997	4
divine_marriage_command__continuationist_reading	0.3285	0.32530000000000003	2
divine_marriage_command__substitutionist_reading	0.3125	0.3125	3
dldr_information_policy	0.4743333333333334	0.40397333333333335	13
dollar_gold_convertibility__policy_flexible_reading	0.8520000000000001	0.6544666666666668	3
dollar_gold_convertibility__strict_convertibility_reading	0.3621666666666667	0.3592666666666667	6
dollar_gold_convertibility__triffin_structural_reading	0.3541666666666667	0.3541666666666667	5
doomsday_clock_metric__hybrid_legitimacy_reading	0.607	0.43771	5
doomsday_clock_metric__objective_index_reading	0.366	0.3613125	4
doomsday_clock_metric__performative_tool_reading	0.3285	0.3285	4
dsm_taxonomy_kernel__biomedical_reading	0.3541666666666667	0.35383333333333333	6
dsm_taxonomy_kernel__critical_psychiatry_reading	0.35250000000000004	0.35250000000000004	4
dsm_taxonomy_kernel__neurodiversity_reading	0.3541666666666667	0.35229333333333335	9
dueling_disappearance_mechanism__institutional_displacement_reading	0.992	0.830125	2
dueling_disappearance_mechanism__overdetermined_composite_reading	0.3445	0.3445	2
ecb_mandate_article_127__climate_incorporation	0.8320000000000001	0.6847000000000001	4
ecb_mandate_article_127__expansive_secondary_objectives	0.607	0.5497	4
ecb_mandate_article_127__orthodox_price_stability	0.3205	0.3205	4
ecclesiastical_extraction_collapse	0.3285	0.3285	4
ecumenical_boundary_shift	0.8240000000000001	0.7806000000000001	4
eidas_digital_identity	0.8400000000000001	0.8241	4
electronic_money_emergence__became_thinkable_reading	0.4621666666666667	0.43223333333333336	4
electronic_money_emergence__first_held_reading	0.4821666666666667	0.44423333333333337	4
electronic_money_emergence__m4_m5_collapse_reading	0.3125	0.3125	4
elite_identity_capture_2026	0.3285	0.3285	6
emergency_response_reach	0.3205	0.3205	5
emerging_market_debt_trap	0.3405	0.3405	6
emotional_labor_extraction	0.3541666666666667	0.3541666666666667	4
end_of_life_authority__autonomy_reading	0.3405	0.3357	4
end_of_life_authority__sanctity_reading	0.3285	0.3285	2
end_of_life_decision_authority__autonomy_reading	0.35	0.34249999999999997	2
end_of_life_decision_authority__sanctity_reading	0.3125	0.3125	2
end_of_life_decision_authority__vulnerability_protection_reading	0.4663333333333334	0.4123	2
enforcement_asymmetry_axis	0.3205	0.3205	6
environmental_instability_as_constraint	0.988	0.988	3
equal_protection_clause__anti_subordination_reading	0.7153333333333334	0.5734	4
equal_protection_clause__colorblind_reading	0.4101666666666667	0.3922333333333333	2
equal_protection_clause__diversity_reading	0.8395	0.6024166666666667	4
equal_protection_clause__formal_equality_reading	0.4421666666666667	0.40950000000000003	4
equal_protection_clause__remedial_reading	0.3205	0.3205	2
equal_protection_clause__substantive_equality_reading	0.2788333333333334	0.2788333333333334	6
equal_protection_commitment__colorblind_reading	0.647	0.639	2
equal_protection_commitment__diversity_reading	0.4741666666666667	0.4741666666666667	2
equal_protection_commitment__remedial_reading	0.607	0.607	2
equality_clause_scope__expansive_universalist	0.4341666666666667	0.4098333333333334	4
equality_clause_scope__progressive_textualist	0.4421666666666667	0.41463333333333335	6
equality_clause_scope__restrictive_originalist	0.3125	0.3125	4
ergo_nipopows	0.6469999999999999	0.62137	5
ergo_utxo_state_bloat_accumulation	0.3405	0.3405	7
ergodic_decomposition	0.9760000000000001	0.9760000000000001	3
eternal_marriage_covenant__immutable_commandment_reading	0.3541666666666667	0.34903333333333336	5
eternal_marriage_covenant__prophetic_override_reading	0.3285	0.3285	6
eternal_marriage_covenant__temporal_accommodation_reading	0.4341666666666667	0.39703333333333335	2
eu_council_unanimity__diplomatic_capital_reading	0.49016666666666664	0.4699583333333333	4
eu_council_unanimity__sovereignty_guarantor_reading	0.46616666666666673	0.4489583333333334	2
eu_council_unanimity__veto_trap_reading	0.3285	0.3285	4
exclusion_as_preparation	0.627	0.627	2
expert_disempowerment	0.607	0.607	3
expertise_specialization_trap	0.3285	0.3285	4
export_proliferation_pathway	0.7713333333333334	0.7387733333333334	1
fair_use_four_factor_test__creator_centric_reading	0.358	0.35695	5
fair_use_four_factor_test__transformative_use_reading	0.8240000000000001	0.6374433333333334	5
fair_use_four_factor_test__user_centric_reading	0.47416666666666674	0.4461333333333334	5
fair_use_statutory_exception__market_licensing_reading	0.5	0.48683333333333334	4
fair_use_statutory_exception__narrow_defense_reading	0.3405	0.3405	5
fair_use_statutory_exception__transformative_right_reading	0.4341666666666667	0.4154333333333334	6
family_law_authority__communal_autonomy_reading	0.627	0.5503333333333333	4
family_law_authority__constitutional_supremacy_reading	0.4245	0.4245	2
family_law_authority__hybrid_accommodation_reading	0.4461666666666667	0.43221333333333334	3
fb_creator_monetization_indonesia	0.378	0.378	3
federation_membership__integration_reading	0.8520000000000001	0.59226	5
federation_membership__sovereignty_reading	0.3405	0.3405	3
federation_membership_kernel__integration_reading	0.378	0.378	5
federation_membership_kernel__member_sovereignty_reading	0.378	0.378	4
federation_membership_kernel__welfare_coordination_reading	0.627	0.5274	4
federation_membership_obligations__integration_primary	0.5263333333333334	0.44310000000000005	5
federation_membership_obligations__member_sovereignty_primary	0.7353333333333334	0.5356000000000001	4
federation_membership_obligations__selective_solidarity	0.3405	0.3405	4
federation_membership_treaty__integration_primary	0.32283333333333336	0.32283333333333336	5
federation_membership_treaty__sovereignty_primary	0.39	0.37656666666666666	4
federation_membership_treaty__subsidiarity_balance	0.4621666666666667	0.4198666666666667	4
feud_obligation_kernel__christianized_pacification_reading	0.3205	0.3205	5
feud_obligation_kernel__extraction_cycle_reading	0.3285	0.3269	2
feud_obligation_kernel__stateless_coordination_reading	0.4541666666666667	0.40230000000000005	4
feudal_oath_reciprocity__ecclesiastical_mediation_reading	0.655	0.5742833333333334	6
feudal_oath_reciprocity__lord_extraction_reading	0.3541666666666667	0.35214666666666666	5
feudal_oath_reciprocity__vassal_coordination_reading	0.9680000000000001	0.7826333333333334	2
fifth_republic_constitution__cohabitation_equilibrium_reading	0.8480000000000001	0.7427333333333334	2
fifth_republic_constitution__hyper_presidential_reading	0.39583333333333337	0.39583333333333337	4
fifth_republic_constitution__parliamentary_constraint_reading	0.7738333333333334	0.6982333333333334	2
filter_bubble_closure	0.3405	0.3405	13
financialization_drag	0.3405	0.3405	6
finite_group_classification	1.0	1.0	0
first_amendment_speech_protection__absolutist_reading	0.3445	0.3397	5
first_amendment_speech_protection__categorical_balancing_reading	0.3205	0.3205	6
first_amendment_speech_protection__harm_limited_reading	0.5371666666666667	0.4553	2
fisa_702_statutory_text__constitutional_floor_reading	0.3541666666666667	0.3541666666666667	4
fisa_702_statutory_text__foreign_target_strict_reading	0.9680000000000001	0.7529	4
fisa_702_statutory_text__incidental_collection_reading	0.5063333333333334	0.47590000000000005	4
fiscal_federalism_absence	0.3405	0.3405	3
foreign_pressure_catalyst	0.8320000000000001	0.8320000000000001	3
fork_mechanical_substitution	0.4341666666666667	0.4341666666666667	2
fourteenth_amendment_equal_protection__anti_caste_reading	0.3405	0.3405	4
fourteenth_amendment_equal_protection__formal_equality_reading	0.40049999999999997	0.38849999999999996	3
fourteenth_amendment_equal_protection__judicial_interpretive_drift	0.3205	0.3205	4
franchisee_corporate_squeeze	0.3405	0.3405	2
french_presidential_authority	0.607	0.607	2
