constraint	status	purity	F	SI	CC	EX	has_coupling	scope_result	has_nonsense	has_excess	structural	zone
alignment_divergence_accumulation	scored	0.358	0.125	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
all_men_created_equal__originalist_reading	scored	0.3125	0.0	0.75	0.5	0.0	1	variant_2	1	1	inconclusive	contaminated
all_men_created_equal__textualist_paradox_reading	scored	0.35	0.125	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
all_men_created_equal__universalist_reading	scored	0.599	0.25	1.0	1.0	0.12	1	invariant	0	1	inconclusive	borderline
alternative_governance_emergence	scored	0.627	0.25	1.0	1.0	0.26	1	invariant	0	1	inconclusive	borderline
amun_priesthood_authority_substrate	scored	0.3685	0.0	0.75	0.5	0.28	1	variant_2	1	1	inconclusive	contaminated
aneyoshi_land_use_prohibition__behavioral_competence_reading	scored	1.0	1.0	1.0	1.0	1.0	1	invariant	0	1	inconclusive	pristine
aneyoshi_land_use_prohibition__commemorative_husk_reading	scored	0.575	0.25	1.0	1.0	0.0	1	invariant	0	1	inconclusive	borderline
animal_moral_status__abolitionist_reading	scored	0.5	0.0	1.0	1.0	0.0	1	invariant	0	1	inconclusive	borderline
animal_moral_status__property_reading	scored	1.0	1.0	1.0	1.0	1.0	1	invariant	0	1	inconclusive	pristine
animal_moral_status__welfare_reading	scored	0.4501666666666667	0.0	0.75	0.6666666666666667	0.48	1	variant_2	1	1	inconclusive	contaminated
animal_status__abolitionist_reading	scored	0.575	0.25	1.0	1.0	0.0	1	invariant	0	1	inconclusive	borderline
animal_status__property_reading	scored	1.0	1.0	1.0	1.0	1.0	1	invariant	0	1	inconclusive	pristine
animal_status__welfare_reading	scored	0.6549999999999999	0.25	1.0	1.0	0.3999999999999999	1	invariant	0	1	inconclusive	borderline
animal_status_kernel__property_reading	scored	0.575	0.25	1.0	1.0	0.0	1	invariant	0	1	inconclusive	borderline
animal_status_kernel__welfare_reading	scored	0.615	0.25	1.0	1.0	0.20000000000000007	1	invariant	0	1	inconclusive	borderline
anonymity_commons_degradation	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
anthropological_record__creationist_reading	scored	0.3805	0.0	0.75	0.5	0.3400000000000001	1	variant_2	1	1	inconclusive	contaminated
anthropological_record__indigenous_epistemology_reading	scored	0.4983333333333334	0.0	1.0	0.8333333333333334	0.20000000000000007	1	invariant	1	1	inconclusive	contaminated
anthropological_record__naturalist_reading	scored	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
arctic_resource_competition	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
article17_erasure_right__censorship_mechanism_reading	scored	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
article17_erasure_right__competitive_moat_reading	scored	0.3285	0.0	0.75	0.5	0.08000000000000007	1	variant_2	1	1	inconclusive	contaminated
article17_erasure_right__privacy_fundamental_reading	scored	0.44599999999999995	0.125	0.75	0.5	0.48	1	variant_2	1	1	inconclusive	contaminated
article_17_complementarity__international_oversight_reading	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
article_17_complementarity__national_primacy_reading	scored	0.607	0.25	1.0	1.0	0.15999999999999992	1	invariant	0	1	inconclusive	borderline
article_17_complementarity__procedural_gatekeeping_mechanism	scored	0.2788333333333334	0.0	0.75	0.33333333333333337	0.040000000000000036	1	variant_2	1	1	inconclusive	degraded
article_27_veto_power__coordination_reading	scored	0.992	1.0	1.0	1.0	0.96	1	invariant	0	1	inconclusive	pristine
article_27_veto_power__oligopoly_reading	scored	0.3125	0.0	0.75	0.5	0.0	1	variant_2	1	1	inconclusive	contaminated
article_27_veto_power__sovereignty_reading	scored	1.0	1.0	1.0	1.0	1.0	1	invariant	0	1	inconclusive	pristine
article_2_7_chapter_vii_tension__p5_veto_gatekeeper	scored	0.3125	0.0	0.75	0.5	0.0	1	variant_2	1	1	inconclusive	contaminated
article_2_7_chapter_vii_tension__r2p_reading	scored	0.4663333333333334	0.0	1.0	0.8333333333333334	0.040000000000000036	1	invariant	1	1	inconclusive	contaminated
article_2_7_chapter_vii_tension__sovereignty_first_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
article_51_self_defense__expansive_preventive_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
article_51_self_defense__narrow_armed_attack_reading	scored	0.4421666666666667	0.0	0.75	0.6666666666666667	0.43999999999999995	1	variant_2	1	1	inconclusive	contaminated
article_51_self_defense__unable_unwilling_doctrine_reading	scored	0.3445	0.0	0.75	0.5	0.15999999999999992	1	variant_2	1	1	inconclusive	contaminated
article_9_war_renunciation__collective_self_defense_reading	scored	0.33649999999999997	0.0	0.75	0.5	0.11999999999999988	1	variant_2	1	1	inconclusive	contaminated
article_9_war_renunciation__inherent_right_reading	scored	0.5063333333333334	0.0	1.0	0.8333333333333334	0.24	1	invariant	1	1	inconclusive	borderline
article_9_war_renunciation__strict_pacifist_reading	scored	0.2788333333333334	0.0	0.75	0.33333333333333337	0.040000000000000036	1	variant_2	1	1	inconclusive	degraded
audit_trail_discovery_surface	scored	0.623	0.25	1.0	1.0	0.24	1	invariant	0	1	inconclusive	borderline
average_is_over_2026	scored	0.378	0.125	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
award_system_voter_diversity	scored	0.8240000000000001	1.0	1.0	1.0	0.12	1	invariant	0	1	inconclusive	sound
axiom_of_choice_consequence	scored	0.9600000000000001	1.0	1.0	1.0	0.8	1	invariant	0	1	inconclusive	pristine
balfour_mandate_instruments__dual_obligation_indigenous_rights	scored	0.5063333333333334	0.0	1.0	0.8333333333333334	0.24	1	invariant	1	1	inconclusive	borderline
balfour_mandate_instruments__jewish_national_home_primacy	scored	0.4411666666666667	0.25	0.75	0.6666666666666667	0.06000000000000005	1	variant_2	1	1	inconclusive	contaminated
balfour_mandate_instruments__mandatory_interpretive_discretion	scored	0.358	0.125	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
basic_law_interpretive_authority__judicial_supremacy_reading	scored	0.5063333333333334	0.0	1.0	0.8333333333333334	0.24	1	invariant	1	1	inconclusive	borderline
basic_law_interpretive_authority__parliamentary_sovereignty_reading	scored	0.607	0.25	1.0	1.0	0.15999999999999992	1	invariant	0	1	inconclusive	borderline
basic_law_interpretive_authority__popular_constitutionalism_reading	scored	0.45833333333333337	0.0	1.0	0.8333333333333334	1.1102230246251565e-16	1	invariant	1	1	inconclusive	contaminated
basic_law_interpretive_boundary__balanced_contestation_reading	scored	0.4421666666666667	0.0	0.75	0.6666666666666667	0.43999999999999995	1	variant_2	1	1	inconclusive	contaminated
basic_law_interpretive_boundary__judicial_supremacy_reading	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	scored	1.0	1.0	1.0	1.0	1.0	1	invariant	0	1	inconclusive	pristine
beehiiv_platform_model	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
beta_designation_doctrine__expansive_shield_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
beta_designation_doctrine__narrow_warning_reading	scored	0.3925	0.0	0.75	0.5	0.4	1	variant_2	1	1	inconclusive	contaminated
beta_designation_doctrine__severity_carve_out_reading	scored	0.4621666666666667	0.0	0.75	0.6666666666666667	0.54	1	variant_2	1	1	inconclusive	contaminated
biblical_authority__conciliar_reading	scored	0.4341666666666667	0.0	0.75	0.6666666666666667	0.4	1	variant_2	1	1	inconclusive	contaminated
biblical_authority__sola_scriptura_reading	scored	0.4085	0.0	0.75	0.5	0.48	1	variant_2	1	1	inconclusive	contaminated
biblical_authority__tradition_scripture_reading	scored	0.3285	0.0	0.75	0.5	0.08000000000000007	1	variant_2	1	1	inconclusive	contaminated
biblical_divine_nature__modalist_reading	scored	0.4341666666666667	0.0	0.75	0.6666666666666667	0.4	1	variant_2	1	1	inconclusive	contaminated
biblical_divine_nature__trinitarian_reading	scored	0.3701666666666667	0.0	0.75	0.6666666666666667	0.08000000000000007	1	variant_2	1	1	inconclusive	contaminated
biblical_divine_nature__unitarian_reading	scored	0.3925	0.0	0.75	0.5	0.4	1	variant_2	1	1	inconclusive	contaminated
biblical_source_text__critical_reconstructive_reading	scored	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
biblical_source_text__dynamic_equivalence_reading	scored	0.4101666666666667	0.0	0.75	0.6666666666666667	0.28	1	variant_2	1	1	inconclusive	contaminated
biblical_source_text__formal_equivalence_reading	scored	0.45833333333333337	0.0	1.0	0.8333333333333334	0.0	1	invariant	1	1	inconclusive	contaminated
big_data_astrophysics_arbitrage	scored	0.39	0.125	0.75	0.5	0.20000000000000007	1	variant_2	1	1	inconclusive	contaminated
bilateral_science_innovation_partnership	scored	0.8520000000000001	1.0	1.0	1.0	0.26	1	invariant	0	1	inconclusive	sound
bitcoin_consensus_kernel__maximalist_reading	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
bitcoin_consensus_kernel__pragmatic_synthesis	scored	0.7778333333333334	0.625	1.0	0.8333333333333334	0.6599999999999999	1	invariant	1	1	inconclusive	sound
bitcoin_consensus_kernel__utility_reading	scored	0.43799999999999994	0.125	0.75	0.5	0.43999999999999995	1	variant_2	1	1	inconclusive	contaminated
bitcoin_whitepaper__digital_gold_reading	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
bitcoin_whitepaper__p2p_cash_reading	scored	0.5263333333333334	0.0	1.0	0.8333333333333334	0.3400000000000001	1	invariant	1	1	inconclusive	borderline
bitcoin_whitepaper__protocol_ossification_reading	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
bitcoin_whitepaper_purpose__electronic_cash_reading	scored	0.6738333333333334	0.625	1.0	0.8333333333333334	0.14000000000000012	1	invariant	1	1	inconclusive	borderline
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	scored	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
bitcoin_whitepaper_purpose__store_of_value_reading	scored	0.872	1.0	1.0	1.0	0.36	1	invariant	0	1	inconclusive	sound
bite_configuration_naturalization	scored	0.4621666666666667	0.0	0.75	0.6666666666666667	0.54	1	variant_2	1	1	inconclusive	contaminated
blockchain_scalability_trilemma	scored	0.627	0.25	1.0	1.0	0.26	1	invariant	0	1	inconclusive	borderline
blockchain_settlement_finality	scored	0.366	0.125	0.75	0.5	0.08000000000000007	1	variant_2	1	1	inconclusive	contaminated
boom_bust_path_dependency	scored	0.31633333333333336	0.0	0.5	0.33333333333333337	0.54	1	variant_3	1	1	inconclusive	contaminated
border_control_legitimacy__freedom_of_movement_primary	scored	0.378	0.125	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
border_control_legitimacy__jurisdictional_sovereignty	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
border_control_legitimacy__sovereignty_primary	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
border_legitimacy__economic_utility_reading	scored	0.3941666666666667	0.0	0.75	0.6666666666666667	0.20000000000000007	1	variant_2	1	1	inconclusive	contaminated
border_legitimacy__freedom_of_movement_primary_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
border_legitimacy__freedom_of_movement_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
border_legitimacy__humanitarian_obligation_reading	scored	0.4621666666666667	0.0	0.75	0.6666666666666667	0.54	1	variant_2	1	1	inconclusive	contaminated
border_legitimacy__sovereignty_primary_reading	scored	0.3805	0.0	0.75	0.5	0.3400000000000001	1	variant_2	1	1	inconclusive	contaminated
border_legitimacy__sovereignty_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
border_normative_status__freedom_primary	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
border_normative_status__qualified_sovereignty	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
border_normative_status__sovereignty_primary	scored	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
bretton_woods_treaty_substrate__keynesian_embedded_liberalism	scored	0.4621666666666667	0.0	0.75	0.6666666666666667	0.54	1	variant_2	1	1	inconclusive	contaminated
bretton_woods_treaty_substrate__neoliberal_convertibility	scored	0.3941666666666667	0.0	0.75	0.6666666666666667	0.20000000000000007	1	variant_2	1	1	inconclusive	contaminated
bretton_woods_treaty_substrate__sovereignty_defense	scored	0.36050000000000004	0.0	0.75	0.5	0.2400000000000001	1	variant_2	1	1	inconclusive	contaminated
burali_forte_paradox	scored	0.9600000000000001	1.0	1.0	1.0	0.8	1	invariant	0	1	inconclusive	pristine
bureaucratic_discretion_capture	scored	0.378	0.125	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
bureaucratic_legibility_collapse	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
bureaucratic_rent_seeking	scored	0.3445	0.0	0.75	0.5	0.15999999999999992	1	variant_2	1	1	inconclusive	contaminated
busy_beaver_noncomputability	scored	0.9600000000000001	1.0	1.0	1.0	0.8	1	invariant	0	1	inconclusive	pristine
caa_section_111d_delegation__facility_constraint_reading	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
caa_section_111d_delegation__state_compliance_pathway_constraint	scored	0.7153333333333334	0.75	1.0	0.8333333333333334	0.15999999999999992	1	invariant	1	1	inconclusive	sound
caa_section_111d_delegation__systemic_transformation_reading	scored	0.3621666666666667	0.0	0.75	0.6666666666666667	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
canadian_equalization_regime	scored	0.627	0.25	1.0	1.0	0.26	1	invariant	0	1	inconclusive	borderline
capability_acceleration_outpacing_safety	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
capability_velocity_mismatch	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
catastrophe_avoidance_retention__catastrophe_as_necessary_selector	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
catastrophe_avoidance_retention__hybrid_near_miss_learning	scored	0.575	0.25	1.0	1.0	0.0	1	invariant	0	1	inconclusive	borderline
catastrophe_avoidance_retention__simulation_as_proxy_catastrophe	scored	0.4421666666666667	0.0	0.75	0.6666666666666667	0.43999999999999995	1	variant_2	1	1	inconclusive	contaminated
catastrophe_memory_function__hybrid_transformation_reading	scored	0.4501666666666667	0.0	0.75	0.6666666666666667	0.48	1	variant_2	1	1	inconclusive	contaminated
catastrophe_memory_function__mourning_practice_reading	scored	0.4341666666666667	0.0	0.75	0.6666666666666667	0.4	1	variant_2	1	1	inconclusive	contaminated
catastrophe_memory_function__survival_competence_reading	scored	0.4165	0.0	0.75	0.5	0.52	1	variant_2	1	1	inconclusive	contaminated
catastrophe_memory_preservation__hybrid_atrophy_reading	scored	0.4325	0.0	0.75	0.5	0.6	1	variant_2	1	1	inconclusive	contaminated
catastrophe_memory_preservation__mourning_practice_reading	scored	0.9440000000000001	1.0	1.0	1.0	0.72	1	invariant	0	1	inconclusive	pristine
catastrophe_memory_preservation__survival_competence_reading	scored	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
catastrophe_memory_survival__competence_transmission_reading	scored	0.599	0.25	1.0	1.0	0.12	1	invariant	0	1	inconclusive	borderline
catastrophe_memory_survival__hybrid_encoding_reading	scored	0.5383333333333333	0.0	1.0	0.8333333333333334	0.4	1	invariant	1	1	inconclusive	borderline
catastrophe_memory_survival__symbol_survival_reading	scored	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
catastrophe_memory_transmission__hybrid_embedded_reading	scored	0.4741666666666667	0.0	0.75	0.6666666666666667	0.6	1	variant_2	1	1	inconclusive	contaminated
catastrophe_memory_transmission__hybrid_pedagogical_reading	scored	0.615	0.25	1.0	1.0	0.19999999999999996	1	invariant	0	1	inconclusive	borderline
catastrophe_memory_transmission__mourning_practice_reading	scored	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
catastrophe_memory_transmission__operational_competence_reading	scored	0.9600000000000001	1.0	1.0	1.0	0.8	1	invariant	0	1	inconclusive	pristine
catastrophe_memory_transmission__survival_competence_reading	scored	0.4501666666666667	0.0	0.75	0.6666666666666667	0.48	1	variant_2	1	1	inconclusive	contaminated
catastrophe_memory_transmission__symbol_continuity_reading	scored	0.3365	0.0	0.75	0.5	0.12	1	variant_2	1	1	inconclusive	contaminated
causal_inference_gap	scored	0.3125	0.0	0.75	0.5	0.0	1	variant_2	1	1	inconclusive	contaminated
cbdr_principle__historical_responsibility_reading	scored	0.366	0.125	0.75	0.5	0.08000000000000007	1	variant_2	1	1	inconclusive	contaminated
cbdr_principle__voluntary_commitment_reading	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
chaos_trajectory_divergence	scored	0.9600000000000001	1.0	1.0	1.0	0.8	1	invariant	0	1	inconclusive	pristine
chemical_regulatory_capture	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
china_advanced_chip_design_constraint	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
chip_constraint_bottleneck	scored	0.4421666666666667	0.0	0.75	0.6666666666666667	0.43999999999999995	1	variant_2	1	1	inconclusive	contaminated
chip_control_efficacy	scored	0.9760000000000001	1.0	1.0	1.0	0.88	1	invariant	0	1	inconclusive	pristine
church_turing_thesis__epistemological_boundary_reading	scored	0.4101666666666667	0.0	0.75	0.6666666666666667	0.28	1	variant_2	1	1	inconclusive	contaminated
church_turing_thesis__mathematical_definition_reading	scored	0.988	1.0	1.0	1.0	0.94	1	invariant	0	1	inconclusive	pristine
church_turing_thesis__physical_claim_reading	scored	0.4743333333333334	0.0	1.0	0.8333333333333334	0.08000000000000007	1	invariant	1	1	inconclusive	contaminated
class_field_theory_foundation	sentinel	-1.0	1.0	1.0	1.0	0.8	1	invariant	0	1	inconclusive	na
classical_latin_standard__continuity_reading	scored	0.4341666666666667	0.0	0.75	0.6666666666666667	0.4	1	variant_2	1	1	inconclusive	contaminated
classical_latin_standard__hybrid_reading	scored	0.4101666666666667	0.0	0.75	0.6666666666666667	0.28	1	variant_2	1	1	inconclusive	contaminated
classical_latin_standard__reconstruction_reading	scored	0.3125	0.0	0.75	0.5	0.0	1	variant_2	1	1	inconclusive	contaminated
clawderberg_recursive_slop	scored	0.3685	0.0	0.75	0.5	0.28	1	variant_2	1	1	inconclusive	contaminated
click_chemistry_paradigm_2026	scored	0.6858333333333334	0.625	1.0	0.8333333333333334	0.20000000000000007	1	invariant	1	1	inconclusive	borderline
climate_harm_prevention__adaptation_priority	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
climate_harm_prevention__degrowth_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
climate_harm_prevention__mitigation_priority	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
climate_response_action__adaptation_priority	scored	0.3941666666666667	0.0	0.75	0.6666666666666667	0.20000000000000007	1	variant_2	1	1	inconclusive	contaminated
climate_response_action__degrowth_transformation	scored	0.3916666666666667	0.125	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
climate_response_action__mitigation_priority	scored	0.3565	0.0	0.75	0.5	0.21999999999999997	1	variant_2	1	1	inconclusive	contaminated
climate_response_imperative__adaptation_priority_reading	scored	0.2988333333333334	0.0	0.75	0.33333333333333337	0.14000000000000012	1	variant_2	1	1	inconclusive	degraded
climate_response_imperative__degrowth_reading	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
climate_response_imperative__mitigation_priority_reading	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
climate_response_legitimacy__adaptation_priority	scored	0.378	0.125	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
climate_response_legitimacy__degrowth_transformation	scored	0.3821666666666667	0.0	0.75	0.6666666666666667	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
climate_response_legitimacy__mitigation_priority	scored	0.2988333333333334	0.0	0.75	0.33333333333333337	0.14000000000000012	1	variant_2	1	1	inconclusive	degraded
climate_response_obligation__adaptation_priority	scored	0.4863333333333334	0.0	1.0	0.8333333333333334	0.14000000000000012	1	invariant	1	1	inconclusive	contaminated
climate_response_obligation__degrowth_reading	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
climate_response_obligation__mitigation_priority	scored	0.2988333333333334	0.0	0.75	0.33333333333333337	0.14000000000000012	1	variant_2	1	1	inconclusive	degraded
climate_stabilization_timeline	scored	0.4101666666666667	0.0	0.75	0.6666666666666667	0.28	1	variant_2	1	1	inconclusive	contaminated
coercion_legitimacy_boundary__bodily_autonomy_primary	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
coercion_legitimacy_boundary__proportionality_reading	scored	0.607	0.25	1.0	1.0	0.15999999999999992	1	invariant	0	1	inconclusive	borderline
coercion_legitimacy_boundary__public_health_primary	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
cold_war_geopolitical_constraint	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
collateral_sufficiency_floor	scored	0.3645	0.0	0.75	0.5	0.26	1	variant_2	1	1	inconclusive	contaminated
collective_stupidity_2026	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
combatant_status_definition__functional_protection_reading	scored	0.9800000000000001	1.0	1.0	1.0	0.9	1	invariant	0	1	inconclusive	pristine
combatant_status_definition__national_liberation_reading	scored	0.358	0.125	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
combatant_status_definition__state_centric_reading	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
commerce_clause_scope__broad_effects_test	scored	0.35250000000000004	0.0	0.75	0.5	0.20000000000000007	1	variant_2	1	1	inconclusive	contaminated
commerce_clause_scope__intermediate_channels	scored	0.623	0.25	1.0	1.0	0.24	1	invariant	0	1	inconclusive	borderline
