
====================================================
   STRUCTURAL ANALYSIS STACK INITIALIZED             
====================================================
Control:    Scenario Manager Active
Usage:      run_scenario('file.pl', interval_id).
====================================================
cid	dettype	abductive	signature	maxent	join_verdict	has_abd	has_sig
epistemic_collapse	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	red	yes	yes
equal_protection_kernel__colorblind_reading	unknown	disagrees:abductive_tension	agrees	inconclusive	yellow	yes	yes
fictional_construct_reading	scaffold	disagrees:abductive_tension	agrees	inconclusive	yellow	yes	yes
fourteenth_amendment_equal_protection__formal_equality_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
geopolitical_settlement_competition	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
gita_kurukshetra_discourse__gandhian_allegorical_reading	unknown	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	red	yes	yes
historical_treaty_substrate__stewardship_reading	rope	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	red	yes	yes
indexical_realism	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
institutional_barrier_structure	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
institutional_trust_erosion_c0	unknown	disagrees:abductive_tension	agrees	inconclusive	red	yes	yes
institutional_validation_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
institutional_verification_collapse	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
jewish_self_determination__indigenous_return_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	red	yes	yes
jewish_sovereignty_palestine__cultural_zionist_reading	scaffold	disagrees:abductive_tension	agrees	inconclusive	red	yes	yes
jewish_sovereignty_palestine__settler_colonial_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
jewish_territorial_claim__labor_zionism_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
john_1_1_logos__non_incarnational_monotheist	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
knowledge_legitimacy_biomedicine_contradictions	unknown	agrees	agrees	inconclusive	yellow	no	yes
knowledge_legitimacy_biomedicine_flat_control	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
lausanne_minority_protections__guarantor_reading	scaffold	disagrees:abductive_tension	agrees	inconclusive	red	yes	yes
livelihood_security_reading	unknown	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	red	yes	yes
llm_synthesis_capacity	scaffold	disagrees:abductive_tension	agrees	inconclusive	red	yes	yes
lycurgan_laws__demographic_trap_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
maat_order_principle__reciprocity_reading	unknown	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
marriage_authority__judicial_harmonization_reading	tangled_rope	disagrees:abductive_tension	agrees_via_override	inconclusive	yellow	yes	yes
mitochondrial_demand_signal_deficiency	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
nad_precursor_bioavailability	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
neutron_star_bombardment_reading	scaffold	disagrees:abductive_tension	agrees	inconclusive	red	yes	yes
nicene_creed_authority__liturgical_habituation_reading	rope	agrees	agrees_via_override	inconclusive	green	no	yes
organization_floor_c0	unknown	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	red	yes	yes
performance_legitimacy_contradictions	unknown	agrees	agrees	inconclusive	yellow	no	yes
performance_legitimacy_flat_control	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
polaris_document_status_contradictions	unknown	agrees	agrees	inconclusive	yellow	no	yes
polaris_document_status_flat_control	tangled_rope	disagrees:abductive_tension	agrees_via_override	inconclusive	yellow	yes	yes
post_evidentiary	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
pragmatic_action_reading	unknown	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	red	yes	yes
pre_public_initiative_reading	unknown	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	red	yes	yes
press_reformation_causality__strategic_deployment	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
press_reformation_causation__mutual_shaping	piton	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
press_reformation_causation__strategic_deployment	snare	disagrees:abductive_tension	agrees	inconclusive	red	yes	yes
propagation_speed_asymmetry	rope	agrees	agrees_via_override	inconclusive	yellow	no	yes
property_sector_overhang	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
protein_anabolic_resistance	mountain	disagrees:abductive_tension	agrees	inconclusive	red	yes	yes
qualitative_development_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
quantitative_growth_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
radiative_levitation_stratification	mountain	disagrees:abductive_tension	agrees	inconclusive	red	yes	yes
reading_acquisition_legitimacy__whole_language_meaning_primacy	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
refugee_convention_text__expansive_humanitarian_reading	piton	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
regulated_stablecoin_reading	tangled_rope	disagrees:abductive_tension	agrees_via_override	inconclusive	yellow	yes	yes
scale_ceiling_c0	rope	agrees	agrees_via_override	inconclusive	yellow	no	yes
secession_legitimacy_boundary__constitutional_impossibility_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	red	yes	yes
sex_gender_category__identity_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
shinbutsu_ontological_commitment__incoherence_reading	unknown	disagrees:abductive_tension	agrees	inconclusive	yellow	yes	yes
sovereign_cbdc_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	red	yes	yes
specification_binding_authority	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
speech_protection_kernel__absolutist_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
state_killing_legitimacy__abolition_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
statutory_debt_ceiling__coordination_scaffold_reading	piton	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
superheavy_decay_reading	unknown	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	red	yes	yes
synthesis_infrastructure_gap	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
techno_nationalist_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
udhr_article_3__negative_liberty_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
validation_judgment_separation	rope	agrees	agrees_via_override	inconclusive	yellow	no	yes
vedic_corpus_social_prescription__colonial_orientalist_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
visual_evidentiary_authority_contradictions	unknown	agrees	agrees	inconclusive	yellow	no	yes
visual_evidentiary_authority_flat_control	unknown	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	red	yes	yes
zero_mathematical_status__parmenidean_rejection	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
zero_mathematical_status__placeholder_reading	tangled_rope	disagrees:abductive_tension	agrees_via_override	inconclusive	yellow	yes	yes
zionist_legitimacy_basis__national_liberation_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
# NO_ABD_TRIGGERS=13
# NO_CONSTRAINT_SIGNATURE=0
