kernel	reading_a	reading_b	verdict	exact_agree	exact_disp	exact_blind	fuzzy_disp
article_51_self_defense	article_51_self_defense__narrow_armed_attack_reading	article_51_self_defense__unable_unwilling_doctrine_reading	key_fragile	4	0	5	1
article_9_war_renunciation	article_9_war_renunciation__collective_self_defense_reading	article_9_war_renunciation__inherent_right_reading	key_fragile	1	0	12	2
article_9_war_renunciation	article_9_war_renunciation__collective_self_defense_reading	article_9_war_renunciation__strict_pacifist_reading	key_fragile	2	0	9	1
article_9_war_renunciation	article_9_war_renunciation__inherent_right_reading	article_9_war_renunciation__strict_pacifist_reading	key_fragile	0	0	13	2
balfour_mandate_instruments	balfour_mandate_instruments__dual_obligation_indigenous_rights	balfour_mandate_instruments__jewish_national_home_primacy	key_fragile	2	0	9	2
balfour_mandate_instruments	balfour_mandate_instruments__dual_obligation_indigenous_rights	balfour_mandate_instruments__mandatory_interpretive_discretion	robustly_binocular	2	1	5	3
balfour_mandate_instruments	balfour_mandate_instruments__jewish_national_home_primacy	balfour_mandate_instruments__mandatory_interpretive_discretion	robustly_binocular	2	1	4	2
basic_law_interpretive_authority	basic_law_interpretive_authority__judicial_supremacy_reading	basic_law_interpretive_authority__parliamentary_sovereignty_reading	robustly_binocular	2	1	7	2
basic_law_interpretive_authority	basic_law_interpretive_authority__judicial_supremacy_reading	basic_law_interpretive_authority__popular_constitutionalism_reading	robustly_binocular	2	1	7	2
basic_law_interpretive_authority	basic_law_interpretive_authority__parliamentary_sovereignty_reading	basic_law_interpretive_authority__popular_constitutionalism_reading	robustly_binocular	1	1	10	3
basic_law_interpretive_boundary	basic_law_interpretive_boundary__balanced_contestation_reading	basic_law_interpretive_boundary__judicial_supremacy_reading	key_fragile	3	0	6	1
basic_law_interpretive_boundary	basic_law_interpretive_boundary__balanced_contestation_reading	basic_law_interpretive_boundary__parliamentary_sovereignty_reading	robustly_binocular	1	1	8	2
basic_law_interpretive_boundary	basic_law_interpretive_boundary__judicial_supremacy_reading	basic_law_interpretive_boundary__parliamentary_sovereignty_reading	robustly_binocular	2	1	6	3
beta_designation_doctrine	beta_designation_doctrine__expansive_shield_reading	beta_designation_doctrine__narrow_warning_reading	robustly_binocular	3	1	5	2
beta_designation_doctrine	beta_designation_doctrine__expansive_shield_reading	beta_designation_doctrine__severity_carve_out_reading	robustly_binocular	1	1	8	2
beta_designation_doctrine	beta_designation_doctrine__narrow_warning_reading	beta_designation_doctrine__severity_carve_out_reading	key_fragile	1	0	11	3
biblical_authority	biblical_authority__conciliar_reading	biblical_authority__sola_scriptura_reading	key_fragile	1	0	11	1
biblical_authority	biblical_authority__conciliar_reading	biblical_authority__tradition_scripture_reading	key_fragile	1	0	11	2
biblical_authority	biblical_authority__sola_scriptura_reading	biblical_authority__tradition_scripture_reading	key_fragile	2	0	8	2
biblical_divine_nature	biblical_divine_nature__modalist_reading	biblical_divine_nature__trinitarian_reading	robustly_undersampled	3	0	6	0
biblical_divine_nature	biblical_divine_nature__modalist_reading	biblical_divine_nature__unitarian_reading	key_fragile	1	0	10	2
biblical_divine_nature	biblical_divine_nature__trinitarian_reading	biblical_divine_nature__unitarian_reading	key_fragile	1	0	10	1
biblical_source_text	biblical_source_text__critical_reconstructive_reading	biblical_source_text__dynamic_equivalence_reading	key_fragile	2	0	9	1
biblical_source_text	biblical_source_text__critical_reconstructive_reading	biblical_source_text__formal_equivalence_reading	key_fragile	2	1	5	0
biblical_source_text	biblical_source_text__dynamic_equivalence_reading	biblical_source_text__formal_equivalence_reading	robustly_binocular	1	1	8	1
bitcoin_consensus_kernel	bitcoin_consensus_kernel__maximalist_reading	bitcoin_consensus_kernel__pragmatic_synthesis	robustly_binocular	3	1	5	2
bitcoin_consensus_kernel	bitcoin_consensus_kernel__maximalist_reading	bitcoin_consensus_kernel__utility_reading	robustly_binocular	1	1	10	5
bitcoin_consensus_kernel	bitcoin_consensus_kernel__pragmatic_synthesis	bitcoin_consensus_kernel__utility_reading	key_fragile	4	0	5	3
bitcoin_whitepaper	bitcoin_whitepaper__digital_gold_reading	bitcoin_whitepaper__p2p_cash_reading	key_fragile	3	0	8	1
bitcoin_whitepaper	bitcoin_whitepaper__digital_gold_reading	bitcoin_whitepaper__protocol_ossification_reading	key_fragile	4	0	5	1
bitcoin_whitepaper	bitcoin_whitepaper__p2p_cash_reading	bitcoin_whitepaper__protocol_ossification_reading	robustly_binocular	4	1	3	1
bitcoin_whitepaper_purpose	bitcoin_whitepaper_purpose__electronic_cash_reading	bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	key_fragile	4	0	5	1
bitcoin_whitepaper_purpose	bitcoin_whitepaper_purpose__electronic_cash_reading	bitcoin_whitepaper_purpose__store_of_value_reading	key_fragile	2	0	10	2
bitcoin_whitepaper_purpose	bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	bitcoin_whitepaper_purpose__store_of_value_reading	key_fragile	3	0	7	1
border_legitimacy	border_legitimacy__economic_utility_reading	border_legitimacy__freedom_of_movement_primary_reading	key_fragile	4	1	4	0
border_legitimacy	border_legitimacy__economic_utility_reading	border_legitimacy__sovereignty_primary_reading	robustly_undersampled	3	0	8	0
border_legitimacy	border_legitimacy__freedom_of_movement_primary_reading	border_legitimacy__sovereignty_primary_reading	robustly_undersampled	3	0	6	0
bretton_woods_treaty_substrate	bretton_woods_treaty_substrate__keynesian_embedded_liberalism	bretton_woods_treaty_substrate__neoliberal_convertibility	robustly_binocular	1	1	10	3
bretton_woods_treaty_substrate	bretton_woods_treaty_substrate__keynesian_embedded_liberalism	bretton_woods_treaty_substrate__sovereignty_defense	key_fragile	1	0	11	3
bretton_woods_treaty_substrate	bretton_woods_treaty_substrate__neoliberal_convertibility	bretton_woods_treaty_substrate__sovereignty_defense	key_fragile	1	0	11	3
caa_section_111d_delegation	caa_section_111d_delegation__facility_constraint_reading	caa_section_111d_delegation__state_compliance_pathway_constraint	key_fragile	1	0	10	2
caa_section_111d_delegation	caa_section_111d_delegation__facility_constraint_reading	caa_section_111d_delegation__systemic_transformation_reading	key_fragile	1	0	9	1
caa_section_111d_delegation	caa_section_111d_delegation__state_compliance_pathway_constraint	caa_section_111d_delegation__systemic_transformation_reading	robustly_binocular	1	1	7	2
catastrophe_avoidance_retention	catastrophe_avoidance_retention__catastrophe_as_necessary_selector	catastrophe_avoidance_retention__hybrid_near_miss_learning	key_fragile	2	0	8	3
catastrophe_avoidance_retention	catastrophe_avoidance_retention__catastrophe_as_necessary_selector	catastrophe_avoidance_retention__simulation_as_proxy_catastrophe	robustly_binocular	1	1	9	3
catastrophe_avoidance_retention	catastrophe_avoidance_retention__hybrid_near_miss_learning	catastrophe_avoidance_retention__simulation_as_proxy_catastrophe	robustly_undersampled	1	0	11	0
catastrophe_memory_transmission	catastrophe_memory_transmission__hybrid_embedded_reading	catastrophe_memory_transmission__operational_competence_reading	key_fragile	1	0	10	2
catastrophe_memory_transmission	catastrophe_memory_transmission__hybrid_embedded_reading	catastrophe_memory_transmission__symbol_continuity_reading	key_fragile	3	0	5	2
catastrophe_memory_transmission	catastrophe_memory_transmission__operational_competence_reading	catastrophe_memory_transmission__symbol_continuity_reading	key_fragile	1	0	9	2
cbdr_principle	cbdr_principle__historical_responsibility_reading	cbdr_principle__voluntary_commitment_reading	key_fragile	3	0	9	2
church_turing_thesis	church_turing_thesis__epistemological_boundary_reading	church_turing_thesis__mathematical_definition_reading	key_fragile	0	0	10	2
church_turing_thesis	church_turing_thesis__epistemological_boundary_reading	church_turing_thesis__physical_claim_reading	robustly_binocular	1	1	10	3
church_turing_thesis	church_turing_thesis__mathematical_definition_reading	church_turing_thesis__physical_claim_reading	robustly_binocular	0	1	10	3
climate_harm_prevention	climate_harm_prevention__adaptation_priority	climate_harm_prevention__degrowth_reading	robustly_binocular	3	1	7	2
climate_harm_prevention	climate_harm_prevention__adaptation_priority	climate_harm_prevention__mitigation_priority	robustly_binocular	3	1	7	1
climate_harm_prevention	climate_harm_prevention__degrowth_reading	climate_harm_prevention__mitigation_priority	robustly_binocular	1	1	12	2
combatant_status_definition	combatant_status_definition__functional_protection_reading	combatant_status_definition__national_liberation_reading	key_fragile	2	0	9	3
combatant_status_definition	combatant_status_definition__functional_protection_reading	combatant_status_definition__state_centric_reading	robustly_binocular	1	1	9	2
combatant_status_definition	combatant_status_definition__national_liberation_reading	combatant_status_definition__state_centric_reading	robustly_undersampled	2	0	8	0
commerce_clause_scope	commerce_clause_scope__broad_effects_test	commerce_clause_scope__intermediate_channels	key_fragile	2	0	8	2
commerce_clause_scope	commerce_clause_scope__broad_effects_test	commerce_clause_scope__narrow_originalist	robustly_binocular	2	1	6	2
commerce_clause_scope	commerce_clause_scope__intermediate_channels	commerce_clause_scope__narrow_originalist	robustly_binocular	2	1	6	1
commerce_clause_text	commerce_clause_text__expansive_federal_reading	commerce_clause_text__originalist_narrow_reading	robustly_binocular	2	1	6	1
commerce_clause_text	commerce_clause_text__expansive_federal_reading	commerce_clause_text__substantial_effects_limited_reading	robustly_binocular	0	2	7	3
commerce_clause_text	commerce_clause_text__originalist_narrow_reading	commerce_clause_text__substantial_effects_limited_reading	key_fragile	2	0	7	2
common_article_3_scope	common_article_3_scope__expansive_human_rights_reading	common_article_3_scope__icrc_customary_reading	key_fragile	0	0	14	3
common_article_3_scope	common_article_3_scope__expansive_human_rights_reading	common_article_3_scope__state_centric_reading	key_fragile	5	0	4	2
common_article_3_scope	common_article_3_scope__icrc_customary_reading	common_article_3_scope__state_centric_reading	key_fragile	0	0	12	2
common_law_precedent_corpus	common_law_precedent_corpus__evolutionary_framework	common_law_precedent_corpus__pluralist_balancing	key_fragile	3	0	7	1
common_law_precedent_corpus	common_law_precedent_corpus__evolutionary_framework	common_law_precedent_corpus__strict_stare_decisis	key_fragile	2	0	9	3
common_law_precedent_corpus	common_law_precedent_corpus__pluralist_balancing	common_law_precedent_corpus__strict_stare_decisis	key_fragile	3	0	6	2
constitutional_authority_boundary	constitutional_authority_boundary__coordinate_construction_reading	constitutional_authority_boundary__judicial_supremacy_reading	key_fragile	1	0	11	3
constitutional_authority_boundary	constitutional_authority_boundary__coordinate_construction_reading	constitutional_authority_boundary__parliamentary_primacy_reading	key_fragile	2	0	8	2
constitutional_authority_boundary	constitutional_authority_boundary__judicial_supremacy_reading	constitutional_authority_boundary__parliamentary_primacy_reading	key_fragile	2	0	9	4
constitutional_interpretive_authority	constitutional_interpretive_authority__coordinate_construction_reading	constitutional_interpretive_authority__judicial_supremacy_reading	robustly_binocular	1	2	8	4
constitutional_interpretive_authority	constitutional_interpretive_authority__coordinate_construction_reading	constitutional_interpretive_authority__parliamentary_supremacy_reading	robustly_binocular	3	1	5	3
constitutional_interpretive_authority	constitutional_interpretive_authority__judicial_supremacy_reading	constitutional_interpretive_authority__parliamentary_supremacy_reading	robustly_binocular	3	2	3	3
constitutional_secularism	constitutional_secularism__principled_intervention_reading	constitutional_secularism__reformist_reading	key_fragile	1	0	11	4
constitutional_secularism	constitutional_secularism__principled_intervention_reading	constitutional_secularism__strict_neutrality_reading	key_fragile	1	0	11	4
constitutional_secularism	constitutional_secularism__reformist_reading	constitutional_secularism__strict_neutrality_reading	robustly_binocular	0	1	10	5
constitutional_text	constitutional_text__judicial_supremacy_reading	constitutional_text__legislative_sovereignty_reading	key_fragile	5	0	2	1
constitutional_text	constitutional_text__judicial_supremacy_reading	constitutional_text__popular_sovereignty_reading	key_fragile	3	0	6	1
constitutional_text	constitutional_text__legislative_sovereignty_reading	constitutional_text__popular_sovereignty_reading	key_fragile	3	0	6	1
copyright_constitutional_mandate	copyright_constitutional_mandate__corporate_enclosure_reading	copyright_constitutional_mandate__judicial_ambiguity_reading	key_fragile	0	0	11	1
copyright_constitutional_mandate	copyright_constitutional_mandate__corporate_enclosure_reading	copyright_constitutional_mandate__public_scaffold_reading	robustly_binocular	2	1	5	3
copyright_constitutional_mandate	copyright_constitutional_mandate__judicial_ambiguity_reading	copyright_constitutional_mandate__public_scaffold_reading	key_fragile	1	0	10	3
correct_latin_kernel	correct_latin_kernel__continuity_reading	correct_latin_kernel__reconstructionist_reading	key_fragile	0	0	11	2
correct_latin_kernel	correct_latin_kernel__continuity_reading	correct_latin_kernel__reoccupation_reading	key_fragile	0	0	10	2
correct_latin_kernel	correct_latin_kernel__reconstructionist_reading	correct_latin_kernel__reoccupation_reading	key_fragile	4	0	5	1
creed_381_pneumatology	creed_381_pneumatology__ecumenical_reunion_reading	creed_381_pneumatology__filioque_reading	robustly_binocular	1	1	8	1
creed_381_pneumatology	creed_381_pneumatology__ecumenical_reunion_reading	creed_381_pneumatology__monoprocession_reading	robustly_binocular	0	1	10	2
creed_381_pneumatology	creed_381_pneumatology__filioque_reading	creed_381_pneumatology__monoprocession_reading	key_fragile	1	0	10	1
cultural_property_legal_corpus	cultural_property_legal_corpus__indigenous_stewardship_reading	cultural_property_legal_corpus__sovereign_repatriation_reading	robustly_binocular	1	1	7	2
cultural_property_legal_corpus	cultural_property_legal_corpus__indigenous_stewardship_reading	cultural_property_legal_corpus__universal_heritage_reading	robustly_binocular	2	1	5	2
cultural_property_legal_corpus	cultural_property_legal_corpus__sovereign_repatriation_reading	cultural_property_legal_corpus__universal_heritage_reading	robustly_undersampled	4	0	4	0
decalogue_image_prohibition	decalogue_image_prohibition__iconoclast_reading	decalogue_image_prohibition__iconodule_reading	key_fragile	1	0	10	2
decalogue_image_prohibition	decalogue_image_prohibition__iconoclast_reading	decalogue_image_prohibition__moderate_iconoclast_reading	key_fragile	3	0	6	1
decalogue_image_prohibition	decalogue_image_prohibition__iconodule_reading	decalogue_image_prohibition__moderate_iconoclast_reading	key_fragile	1	0	10	2
deferential_realism_ontology	deferential_realism_ontology__hybrid_pragmatic_reading	deferential_realism_ontology__immutable_diagnostic_reading	key_fragile	0	0	11	2
deferential_realism_ontology	deferential_realism_ontology__hybrid_pragmatic_reading	deferential_realism_ontology__rhetorical_scaffold_reading	key_fragile	0	0	11	4
deferential_realism_ontology	deferential_realism_ontology__immutable_diagnostic_reading	deferential_realism_ontology__rhetorical_scaffold_reading	robustly_binocular	3	2	2	2
derivative_work_statutory_boundary	derivative_work_statutory_boundary__coordination_reading	derivative_work_statutory_boundary__enclosure_reading	robustly_binocular	1	2	7	3
derivative_work_statutory_boundary	derivative_work_statutory_boundary__coordination_reading	derivative_work_statutory_boundary__hybrid_carveout_reading	robustly_binocular	2	1	7	4
derivative_work_statutory_boundary	derivative_work_statutory_boundary__enclosure_reading	derivative_work_statutory_boundary__hybrid_carveout_reading	robustly_binocular	3	3	2	3
dharmasastra_corpus	dharmasastra_corpus__abolitionist_rejection	dharmasastra_corpus__orthodox_literalist	robustly_binocular	1	1	8	1
dharmasastra_corpus	dharmasastra_corpus__abolitionist_rejection	dharmasastra_corpus__reformist_contextual	robustly_binocular	1	1	8	2
dharmasastra_corpus	dharmasastra_corpus__orthodox_literalist	dharmasastra_corpus__reformist_contextual	key_fragile	1	0	10	2
divine_legitimacy_substrate	divine_legitimacy_substrate__amun_polytheistic_reading	divine_legitimacy_substrate__atenist_monotheistic_reading	key_fragile	3	0	6	1
divine_legitimacy_substrate	divine_legitimacy_substrate__amun_polytheistic_reading	divine_legitimacy_substrate__enforcement_collapse_mechanism	key_fragile	1	0	10	2
divine_legitimacy_substrate	divine_legitimacy_substrate__amun_polytheistic_reading	divine_legitimacy_substrate__folk_syncretistic_reading	robustly_binocular	0	1	10	4
divine_legitimacy_substrate	divine_legitimacy_substrate__atenist_monotheistic_reading	divine_legitimacy_substrate__enforcement_collapse_mechanism	key_fragile	1	0	10	1
divine_legitimacy_substrate	divine_legitimacy_substrate__atenist_monotheistic_reading	divine_legitimacy_substrate__folk_syncretistic_reading	robustly_binocular	0	1	10	4
divine_legitimacy_substrate	divine_legitimacy_substrate__enforcement_collapse_mechanism	divine_legitimacy_substrate__folk_syncretistic_reading	robustly_binocular	0	2	8	4
dollar_gold_convertibility	dollar_gold_convertibility__policy_flexible_reading	dollar_gold_convertibility__strict_convertibility_reading	robustly_undersampled	3	0	6	0
dollar_gold_convertibility	dollar_gold_convertibility__policy_flexible_reading	dollar_gold_convertibility__triffin_structural_reading	robustly_binocular	2	1	4	2
dollar_gold_convertibility	dollar_gold_convertibility__strict_convertibility_reading	dollar_gold_convertibility__triffin_structural_reading	robustly_binocular	3	1	2	2
doomsday_clock_metric	doomsday_clock_metric__hybrid_legitimacy_reading	doomsday_clock_metric__objective_index_reading	robustly_binocular	2	2	5	3
doomsday_clock_metric	doomsday_clock_metric__hybrid_legitimacy_reading	doomsday_clock_metric__performative_tool_reading	key_fragile	3	0	8	1
doomsday_clock_metric	doomsday_clock_metric__objective_index_reading	doomsday_clock_metric__performative_tool_reading	robustly_binocular	2	1	7	3
dsm_taxonomy_kernel	dsm_taxonomy_kernel__biomedical_reading	dsm_taxonomy_kernel__critical_psychiatry_reading	key_fragile	2	0	10	2
dsm_taxonomy_kernel	dsm_taxonomy_kernel__biomedical_reading	dsm_taxonomy_kernel__neurodiversity_reading	key_fragile	4	0	5	2
dsm_taxonomy_kernel	dsm_taxonomy_kernel__critical_psychiatry_reading	dsm_taxonomy_kernel__neurodiversity_reading	robustly_binocular	2	1	9	3
ecb_mandate_article_127	ecb_mandate_article_127__climate_incorporation	ecb_mandate_article_127__expansive_secondary_objectives	key_fragile	0	0	14	2
ecb_mandate_article_127	ecb_mandate_article_127__climate_incorporation	ecb_mandate_article_127__orthodox_price_stability	key_fragile	1	0	13	1
ecb_mandate_article_127	ecb_mandate_article_127__expansive_secondary_objectives	ecb_mandate_article_127__orthodox_price_stability	robustly_binocular	0	1	11	3
electronic_money_emergence	electronic_money_emergence__became_thinkable_reading	electronic_money_emergence__first_held_reading	key_fragile	2	0	9	1
electronic_money_emergence	electronic_money_emergence__became_thinkable_reading	electronic_money_emergence__m4_m5_collapse_reading	key_fragile	3	0	7	1
electronic_money_emergence	electronic_money_emergence__first_held_reading	electronic_money_emergence__m4_m5_collapse_reading	key_fragile	2	1	6	0
end_of_life_authority	end_of_life_authority__autonomy_reading	end_of_life_authority__sanctity_reading	robustly_binocular	0	1	9	3
equal_protection_clause	equal_protection_clause__anti_subordination_reading	equal_protection_clause__formal_equality_reading	robustly_binocular	3	1	4	2
equal_protection_clause	equal_protection_clause__anti_subordination_reading	equal_protection_clause__substantive_equality_reading	key_fragile	2	0	10	2
equal_protection_clause	equal_protection_clause__formal_equality_reading	equal_protection_clause__substantive_equality_reading	key_fragile	2	0	10	2
equal_protection_commitment	equal_protection_commitment__colorblind_reading	equal_protection_commitment__diversity_reading	key_fragile	2	1	5	0
equal_protection_commitment	equal_protection_commitment__colorblind_reading	equal_protection_commitment__remedial_reading	key_fragile	3	0	4	1
equal_protection_commitment	equal_protection_commitment__diversity_reading	equal_protection_commitment__remedial_reading	key_fragile	1	0	9	1
equality_clause_scope	equality_clause_scope__expansive_universalist	equality_clause_scope__progressive_textualist	robustly_undersampled	2	0	8	0
equality_clause_scope	equality_clause_scope__expansive_universalist	equality_clause_scope__restrictive_originalist	key_fragile	3	0	6	1
equality_clause_scope	equality_clause_scope__progressive_textualist	equality_clause_scope__restrictive_originalist	robustly_binocular	2	1	6	2
eternal_marriage_covenant	eternal_marriage_covenant__immutable_commandment_reading	eternal_marriage_covenant__prophetic_override_reading	robustly_binocular	2	1	4	2
eternal_marriage_covenant	eternal_marriage_covenant__immutable_commandment_reading	eternal_marriage_covenant__temporal_accommodation_reading	robustly_binocular	2	1	4	1
eternal_marriage_covenant	eternal_marriage_covenant__prophetic_override_reading	eternal_marriage_covenant__temporal_accommodation_reading	key_fragile	3	0	6	2
eu_council_unanimity	eu_council_unanimity__diplomatic_capital_reading	eu_council_unanimity__sovereignty_guarantor_reading	key_fragile	4	0	4	2
eu_council_unanimity	eu_council_unanimity__diplomatic_capital_reading	eu_council_unanimity__veto_trap_reading	key_fragile	1	0	11	2
eu_council_unanimity	eu_council_unanimity__sovereignty_guarantor_reading	eu_council_unanimity__veto_trap_reading	key_fragile	1	0	11	3
fair_use_four_factor_test	fair_use_four_factor_test__creator_centric_reading	fair_use_four_factor_test__transformative_use_reading	key_fragile	3	0	5	2
fair_use_four_factor_test	fair_use_four_factor_test__creator_centric_reading	fair_use_four_factor_test__user_centric_reading	robustly_binocular	1	1	8	3
fair_use_four_factor_test	fair_use_four_factor_test__transformative_use_reading	fair_use_four_factor_test__user_centric_reading	key_fragile	1	0	11	3
fair_use_statutory_exception	fair_use_statutory_exception__market_licensing_reading	fair_use_statutory_exception__narrow_defense_reading	robustly_binocular	4	1	3	3
fair_use_statutory_exception	fair_use_statutory_exception__market_licensing_reading	fair_use_statutory_exception__transformative_right_reading	robustly_binocular	3	2	3	3
fair_use_statutory_exception	fair_use_statutory_exception__narrow_defense_reading	fair_use_statutory_exception__transformative_right_reading	robustly_binocular	3	1	4	2
federation_membership	federation_membership__integration_reading	federation_membership__sovereignty_reading	key_fragile	0	0	13	3
feud_obligation_kernel	feud_obligation_kernel__christianized_pacification_reading	feud_obligation_kernel__extraction_cycle_reading	key_fragile	1	0	12	1
feud_obligation_kernel	feud_obligation_kernel__christianized_pacification_reading	feud_obligation_kernel__stateless_coordination_reading	key_fragile	1	0	12	3
feud_obligation_kernel	feud_obligation_kernel__extraction_cycle_reading	feud_obligation_kernel__stateless_coordination_reading	key_fragile	1	0	10	2
feudal_oath_reciprocity	feudal_oath_reciprocity__ecclesiastical_mediation_reading	feudal_oath_reciprocity__lord_extraction_reading	robustly_binocular	1	1	8	3
feudal_oath_reciprocity	feudal_oath_reciprocity__ecclesiastical_mediation_reading	feudal_oath_reciprocity__vassal_coordination_reading	robustly_binocular	0	1	8	3
feudal_oath_reciprocity	feudal_oath_reciprocity__lord_extraction_reading	feudal_oath_reciprocity__vassal_coordination_reading	robustly_binocular	0	1	8	4
fifth_republic_constitution	fifth_republic_constitution__cohabitation_equilibrium_reading	fifth_republic_constitution__hyper_presidential_reading	robustly_undersampled	3	0	7	0
fifth_republic_constitution	fifth_republic_constitution__cohabitation_equilibrium_reading	fifth_republic_constitution__parliamentary_constraint_reading	robustly_binocular	0	2	9	4
fifth_republic_constitution	fifth_republic_constitution__hyper_presidential_reading	fifth_republic_constitution__parliamentary_constraint_reading	robustly_binocular	0	3	6	4
fisa_702_statutory_text	fisa_702_statutory_text__constitutional_floor_reading	fisa_702_statutory_text__foreign_target_strict_reading	robustly_binocular	1	1	7	2
fisa_702_statutory_text	fisa_702_statutory_text__constitutional_floor_reading	fisa_702_statutory_text__incidental_collection_reading	robustly_binocular	3	1	4	2
fisa_702_statutory_text	fisa_702_statutory_text__foreign_target_strict_reading	fisa_702_statutory_text__incidental_collection_reading	key_fragile	2	0	7	2
fourteenth_amendment_equal_protection	fourteenth_amendment_equal_protection__anti_caste_reading	fourteenth_amendment_equal_protection__formal_equality_reading	robustly_binocular	3	1	6	3
fourteenth_amendment_equal_protection	fourteenth_amendment_equal_protection__anti_caste_reading	fourteenth_amendment_equal_protection__judicial_interpretive_drift	robustly_undersampled	6	0	2	0
fourteenth_amendment_equal_protection	fourteenth_amendment_equal_protection__formal_equality_reading	fourteenth_amendment_equal_protection__judicial_interpretive_drift	robustly_binocular	3	2	4	3
gdpr_article_3_scope	gdpr_article_3_scope__effects_jurisdiction_reading	gdpr_article_3_scope__market_access_reading	robustly_binocular	1	1	9	4
gdpr_article_3_scope	gdpr_article_3_scope__effects_jurisdiction_reading	gdpr_article_3_scope__territorial_sovereignty_reading	key_fragile	3	0	7	1
gdpr_article_3_scope	gdpr_article_3_scope__market_access_reading	gdpr_article_3_scope__territorial_sovereignty_reading	robustly_binocular	1	1	10	3
gelassenheit_separation	gelassenheit_separation__artifact_reading	gelassenheit_separation__consequence_reading	key_fragile	1	0	10	2
gelassenheit_separation	gelassenheit_separation__artifact_reading	gelassenheit_separation__principle_reading	key_fragile	1	0	10	3
