
====================================================
   STRUCTURAL ANALYSIS STACK INITIALIZED             
MEMBER q6 organization_floor_c0 q6_signature_unknown
MEMBER q6 partition_choice_reading contested_open
MEMBER q6 performance_legitimacy_contradictions q6_unmeasured
MEMBER q6 performance_legitimacy_flat_control contested_open
MEMBER q6 polaris_document_status_contradictions q6_unmeasured
MEMBER q6 polaris_document_status_flat_control contested_open
MEMBER q6 post_evidentiary live_claim_vs_snare_present
MEMBER q6 pragmatic_action_reading q6_signature_unknown
MEMBER q6 pre_public_initiative_reading q6_signature_unknown
MEMBER q6 prerequisite_debt_reading q6_signature_unknown
MEMBER q6 press_reformation_causality__strategic_deployment contested_open
MEMBER q6 press_reformation_causation__mutual_shaping dead_claim_vs_piton_present
MEMBER q6 press_reformation_causation__strategic_deployment live_claim_vs_snare_present
MEMBER q6 propagation_speed_asymmetry dead_claim_vs_rope_present
MEMBER q6 property_sector_overhang contested_open
MEMBER q6 protein_anabolic_resistance q6_unclassified
MEMBER q6 qualitative_development_reading live_claim_vs_snare_present
MEMBER q6 quantitative_growth_reading contested_open
MEMBER q6 radiative_levitation_stratification q6_unclassified
MEMBER q6 reading_acquisition_legitimacy__whole_language_meaning_primacy contested_open
MEMBER q6 refugee_convention_text__expansive_humanitarian_reading live_claim_vs_piton_present
MEMBER q6 regulated_stablecoin_reading live_claim_vs_tangled_present
MEMBER q6 responsibility_preservation_mechanism contested_open
MEMBER q6 scale_ceiling_c0 contested_open
MEMBER q6 secession_legitimacy_boundary__constitutional_impossibility_reading q6_unmeasured
MEMBER q6 sex_gender_category__identity_reading contested_open
MEMBER q6 shinbutsu_ontological_commitment__incoherence_reading q6_unmeasured
MEMBER q6 situational_reading contested_open
MEMBER q6 sovereign_cbdc_reading contested_open
MEMBER q6 specification_binding_authority contested_open
MEMBER q6 speech_protection_kernel__absolutist_reading q6_unmeasured
MEMBER q6 state_killing_legitimacy__abolition_reading live_claim_vs_snare_present
MEMBER q6 statutory_debt_ceiling__coordination_scaffold_reading live_claim_vs_piton_present
MEMBER q6 superheavy_decay_reading q6_signature_unknown
MEMBER q6 synthesis_infrastructure_gap contested_open
MEMBER q6 techno_nationalist_reading contested_open
MEMBER q6 third_act_arbitrage contested_open
MEMBER q6 trajectory_extrapolation_reading contested_open
MEMBER q6 udhr_article_3__negative_liberty_reading contested_open
MEMBER q6 validation_judgment_separation live_claim_vs_rope_present
MEMBER q6 vedic_corpus_social_prescription__colonial_orientalist_reading dead_claim_vs_snare_present
MEMBER q6 visual_evidentiary_authority_contradictions q6_unmeasured
MEMBER q6 visual_evidentiary_authority_flat_control q6_signature_unknown
MEMBER q6 womens_financial_autonomy q6_signature_unknown
MEMBER q6 zero_mathematical_status__parmenidean_rejection contested_open
MEMBER q6 zero_mathematical_status__placeholder_reading q6_unmeasured
MEMBER q6 zionist_legitimacy_basis__national_liberation_reading live_claim_vs_snare_present
MEMBER extraction_reading ability_ceiling_reading extraction_clear
MEMBER extraction_reading access_barrier_reading extraction_clear
MEMBER extraction_reading actinide_replenishment_mechanism_contradictions extraction_out_of_domain
MEMBER extraction_reading actinide_replenishment_mechanism_flat_control extraction_out_of_domain
MEMBER extraction_reading adjunctification_of_university_teaching_c0 extraction_clear
MEMBER extraction_reading alignment_constraint_narrowing extraction_clear
MEMBER extraction_reading animal_status_kernel__property_reading extraction_unnameable
MEMBER extraction_reading apoe4_mitochondrial_vulnerability extraction_clear
MEMBER extraction_reading architectural_pattern_validity extraction_out_of_domain
MEMBER extraction_reading authoritative_specification_reading extraction_clear
MEMBER extraction_reading basic_law_interpretive_authority__parliamentary_sovereignty_reading extraction_clear
MEMBER extraction_reading basic_law_interpretive_boundary__parliamentary_sovereignty_reading extraction_out_of_domain
MEMBER extraction_reading behavioral_adoption_friction extraction_out_of_domain
MEMBER extraction_reading benchmark_saturation_interpretation extraction_clear
MEMBER extraction_reading bitcoin_whitepaper_purpose__nakamoto_oracle_opacity extraction_clear
MEMBER extraction_reading border_control_legitimacy__freedom_of_movement_primary extraction_clear
MEMBER extraction_reading capability_endogeneity extraction_out_of_domain
MEMBER extraction_reading catastrophe_memory_kernel__boundary_maintenance_reading extraction_clear
MEMBER extraction_reading conceptual_framework_reading extraction_out_of_domain
MEMBER extraction_reading crypto_permissionless_reading extraction_out_of_domain
MEMBER extraction_reading dataset_recycling_amplification extraction_out_of_domain
MEMBER extraction_reading demographic_resource_allocation extraction_out_of_domain
MEMBER extraction_reading demographic_skill_mismatch_c0 extraction_out_of_domain
MEMBER extraction_reading digital_money_legitimacy_contradictions extraction_out_of_domain
MEMBER extraction_reading digital_money_legitimacy_flat_control extraction_clear
MEMBER extraction_reading dispositional_reading extraction_clear
MEMBER extraction_reading distributed_verification extraction_clear
MEMBER extraction_reading divine_legitimacy_substrate__folk_syncretistic_reading extraction_out_of_domain
MEMBER extraction_reading doomsday_clock_metric__hybrid_legitimacy_reading extraction_out_of_domain
MEMBER extraction_reading dueling_disappearance_mechanism__overdetermined_composite_reading extraction_clear
MEMBER extraction_reading empty_shell_tolerance extraction_out_of_domain
MEMBER extraction_reading epistemic_collapse extraction_clear
MEMBER extraction_reading equal_protection_kernel__colorblind_reading extraction_out_of_domain
MEMBER extraction_reading fictional_construct_reading extraction_out_of_domain
MEMBER extraction_reading fourteenth_amendment_equal_protection__formal_equality_reading extraction_clear
MEMBER extraction_reading gendered_outcome_asymmetry extraction_clear
MEMBER extraction_reading generality_standard_contradictions extraction_out_of_domain
MEMBER extraction_reading generality_standard_flat_control extraction_clear
MEMBER extraction_reading generation_gate_reading extraction_clear
MEMBER extraction_reading geopolitical_settlement_competition extraction_clear
MEMBER extraction_reading gita_kurukshetra_discourse__gandhian_allegorical_reading extraction_out_of_domain
MEMBER extraction_reading historical_treaty_substrate__stewardship_reading extraction_out_of_domain
MEMBER extraction_reading indexical_realism extraction_clear
MEMBER extraction_reading institutional_barrier_structure extraction_clear
MEMBER extraction_reading institutional_trust_erosion_c0 extraction_out_of_domain
MEMBER extraction_reading institutional_validation_reading extraction_clear
MEMBER extraction_reading institutional_verification_collapse extraction_clear
MEMBER extraction_reading interactionist_reading extraction_out_of_domain
MEMBER extraction_reading intervention_target_selection extraction_clear
MEMBER extraction_reading jewish_self_determination__indigenous_return_reading extraction_unnameable
MEMBER extraction_reading jewish_sovereignty_palestine__cultural_zionist_reading extraction_out_of_domain
MEMBER extraction_reading jewish_sovereignty_palestine__settler_colonial_reading extraction_clear
MEMBER extraction_reading jewish_territorial_claim__labor_zionism_reading extraction_clear
MEMBER extraction_reading john_1_1_logos__non_incarnational_monotheist extraction_clear
MEMBER extraction_reading knowledge_legitimacy_biomedicine_contradictions extraction_out_of_domain
MEMBER extraction_reading knowledge_legitimacy_biomedicine_flat_control extraction_clear
MEMBER extraction_reading lausanne_minority_protections__guarantor_reading extraction_out_of_domain
MEMBER extraction_reading learning_difficulty_substrate_contradictions extraction_out_of_domain
MEMBER extraction_reading learning_difficulty_substrate_flat_control extraction_clear
MEMBER extraction_reading livelihood_security_reading extraction_out_of_domain
MEMBER extraction_reading llm_synthesis_capacity extraction_out_of_domain
MEMBER extraction_reading longevity_mismatch extraction_out_of_domain
MEMBER extraction_reading lycurgan_laws__demographic_trap_reading extraction_clear
MEMBER extraction_reading maat_order_principle__reciprocity_reading extraction_out_of_domain
MEMBER extraction_reading marriage_authority__judicial_harmonization_reading extraction_clear
MEMBER extraction_reading mitochondrial_demand_signal_deficiency extraction_clear
MEMBER extraction_reading model_collapse_feedback extraction_clear
MEMBER extraction_reading moral_causation_locus_contradictions extraction_out_of_domain
MEMBER extraction_reading moral_causation_locus_flat_control extraction_clear
MEMBER extraction_reading nad_precursor_bioavailability extraction_clear
MEMBER extraction_reading neutron_star_bombardment_reading extraction_out_of_domain
MEMBER extraction_reading nicene_creed_authority__liturgical_habituation_reading extraction_out_of_domain
MEMBER extraction_reading organization_floor_c0 extraction_out_of_domain
MEMBER extraction_reading partition_choice_reading extraction_clear
MEMBER extraction_reading performance_legitimacy_contradictions extraction_out_of_domain
MEMBER extraction_reading performance_legitimacy_flat_control extraction_clear
MEMBER extraction_reading polaris_document_status_contradictions extraction_out_of_domain
MEMBER extraction_reading polaris_document_status_flat_control extraction_clear
MEMBER extraction_reading post_evidentiary extraction_clear
MEMBER extraction_reading pragmatic_action_reading extraction_out_of_domain
MEMBER extraction_reading pre_public_initiative_reading extraction_out_of_domain
MEMBER extraction_reading prerequisite_debt_reading extraction_out_of_domain
MEMBER extraction_reading press_reformation_causality__strategic_deployment extraction_clear
MEMBER extraction_reading press_reformation_causation__mutual_shaping extraction_out_of_domain
MEMBER extraction_reading press_reformation_causation__strategic_deployment extraction_clear
MEMBER extraction_reading propagation_speed_asymmetry extraction_out_of_domain
MEMBER extraction_reading property_sector_overhang extraction_clear
MEMBER extraction_reading protein_anabolic_resistance extraction_out_of_domain
MEMBER extraction_reading qualitative_development_reading extraction_clear
MEMBER extraction_reading quantitative_growth_reading extraction_clear
MEMBER extraction_reading radiative_levitation_stratification extraction_out_of_domain
MEMBER extraction_reading reading_acquisition_legitimacy__whole_language_meaning_primacy extraction_clear
MEMBER extraction_reading refugee_convention_text__expansive_humanitarian_reading extraction_out_of_domain
MEMBER extraction_reading regulated_stablecoin_reading extraction_clear
MEMBER extraction_reading responsibility_preservation_mechanism extraction_clear
MEMBER extraction_reading scale_ceiling_c0 extraction_out_of_domain
MEMBER extraction_reading secession_legitimacy_boundary__constitutional_impossibility_reading extraction_unnameable
MEMBER extraction_reading sex_gender_category__identity_reading extraction_clear
MEMBER extraction_reading shinbutsu_ontological_commitment__incoherence_reading extraction_out_of_domain
MEMBER extraction_reading situational_reading extraction_clear
MEMBER extraction_reading sovereign_cbdc_reading extraction_clear
MEMBER extraction_reading specification_binding_authority extraction_clear
MEMBER extraction_reading speech_protection_kernel__absolutist_reading extraction_clear
MEMBER extraction_reading state_killing_legitimacy__abolition_reading extraction_clear
MEMBER extraction_reading statutory_debt_ceiling__coordination_scaffold_reading extraction_out_of_domain
MEMBER extraction_reading superheavy_decay_reading extraction_out_of_domain
MEMBER extraction_reading synthesis_infrastructure_gap extraction_clear
MEMBER extraction_reading techno_nationalist_reading extraction_clear
MEMBER extraction_reading third_act_arbitrage extraction_clear
MEMBER extraction_reading trajectory_extrapolation_reading extraction_clear
MEMBER extraction_reading udhr_article_3__negative_liberty_reading extraction_clear
MEMBER extraction_reading validation_judgment_separation extraction_out_of_domain
MEMBER extraction_reading vedic_corpus_social_prescription__colonial_orientalist_reading extraction_clear
MEMBER extraction_reading visual_evidentiary_authority_contradictions extraction_out_of_domain
MEMBER extraction_reading visual_evidentiary_authority_flat_control extraction_out_of_domain
MEMBER extraction_reading womens_financial_autonomy extraction_out_of_domain
MEMBER extraction_reading zero_mathematical_status__parmenidean_rejection extraction_clear
MEMBER extraction_reading zero_mathematical_status__placeholder_reading extraction_clear
MEMBER extraction_reading zionist_legitimacy_basis__national_liberation_reading extraction_clear
MEMBER consensus ability_ceiling_reading plural
MEMBER consensus access_barrier_reading plural
MEMBER consensus actinide_replenishment_mechanism_contradictions no_agent_seats
MEMBER consensus actinide_replenishment_mechanism_flat_control unanimous_no_excluded_seats
MEMBER consensus adjunctification_of_university_teaching_c0 plural
MEMBER consensus alignment_constraint_narrowing plural
MEMBER consensus animal_status_kernel__property_reading no_agent_seats
MEMBER consensus apoe4_mitochondrial_vulnerability plural
MEMBER consensus architectural_pattern_validity unanimous_no_excluded_seats
MEMBER consensus authoritative_specification_reading plural
MEMBER consensus basic_law_interpretive_authority__parliamentary_sovereignty_reading no_agent_seats
MEMBER consensus basic_law_interpretive_boundary__parliamentary_sovereignty_reading manufactured_consensus_candidate
MEMBER consensus behavioral_adoption_friction plural
MEMBER consensus benchmark_saturation_interpretation plural
MEMBER consensus bitcoin_whitepaper_purpose__nakamoto_oracle_opacity no_agent_seats
MEMBER consensus border_control_legitimacy__freedom_of_movement_primary no_agent_seats
MEMBER consensus capability_endogeneity plural
MEMBER consensus catastrophe_memory_kernel__boundary_maintenance_reading no_agent_seats
MEMBER consensus conceptual_framework_reading manufactured_consensus_candidate
MEMBER consensus crypto_permissionless_reading plural
MEMBER consensus dataset_recycling_amplification plural
MEMBER consensus demographic_resource_allocation manufactured_consensus_candidate
MEMBER consensus demographic_skill_mismatch_c0 manufactured_consensus_candidate
MEMBER consensus digital_money_legitimacy_contradictions no_agent_seats
MEMBER consensus digital_money_legitimacy_flat_control plural
MEMBER consensus dispositional_reading plural
MEMBER consensus distributed_verification plural
MEMBER consensus divine_legitimacy_substrate__folk_syncretistic_reading no_agent_seats
MEMBER consensus doomsday_clock_metric__hybrid_legitimacy_reading plural
MEMBER consensus dueling_disappearance_mechanism__overdetermined_composite_reading plural
MEMBER consensus empty_shell_tolerance unanimous_no_excluded_seats
MEMBER consensus epistemic_collapse plural
MEMBER consensus equal_protection_kernel__colorblind_reading no_agent_seats
MEMBER consensus fictional_construct_reading manufactured_consensus_candidate
MEMBER consensus fourteenth_amendment_equal_protection__formal_equality_reading no_agent_seats
MEMBER consensus gendered_outcome_asymmetry plural
MEMBER consensus generality_standard_contradictions no_agent_seats
MEMBER consensus generality_standard_flat_control plural
MEMBER consensus generation_gate_reading plural
MEMBER consensus geopolitical_settlement_competition plural
MEMBER consensus gita_kurukshetra_discourse__gandhian_allegorical_reading plural
MEMBER consensus historical_treaty_substrate__stewardship_reading plural
MEMBER consensus indexical_realism plural
MEMBER consensus institutional_barrier_structure plural
MEMBER consensus institutional_trust_erosion_c0 plural
MEMBER consensus institutional_validation_reading plural
MEMBER consensus institutional_verification_collapse plural
MEMBER consensus interactionist_reading plural
MEMBER consensus intervention_target_selection plural
MEMBER consensus jewish_self_determination__indigenous_return_reading no_agent_seats
MEMBER consensus jewish_sovereignty_palestine__cultural_zionist_reading manufactured_consensus_candidate
MEMBER consensus jewish_sovereignty_palestine__settler_colonial_reading plural
MEMBER consensus jewish_territorial_claim__labor_zionism_reading plural
MEMBER consensus john_1_1_logos__non_incarnational_monotheist plural
MEMBER consensus knowledge_legitimacy_biomedicine_contradictions no_agent_seats
MEMBER consensus knowledge_legitimacy_biomedicine_flat_control plural
MEMBER consensus lausanne_minority_protections__guarantor_reading no_agent_seats
MEMBER consensus learning_difficulty_substrate_contradictions no_agent_seats
MEMBER consensus learning_difficulty_substrate_flat_control plural
MEMBER consensus livelihood_security_reading unanimous_no_excluded_seats
MEMBER consensus llm_synthesis_capacity unanimous_no_excluded_seats
MEMBER consensus longevity_mismatch unanimous_no_excluded_seats
MEMBER consensus lycurgan_laws__demographic_trap_reading plural
MEMBER consensus maat_order_principle__reciprocity_reading no_agent_seats
MEMBER consensus marriage_authority__judicial_harmonization_reading no_agent_seats
MEMBER consensus mitochondrial_demand_signal_deficiency plural
MEMBER consensus model_collapse_feedback plural
MEMBER consensus moral_causation_locus_contradictions no_agent_seats
MEMBER consensus moral_causation_locus_flat_control plural
MEMBER consensus nad_precursor_bioavailability plural
MEMBER consensus neutron_star_bombardment_reading manufactured_consensus_candidate
MEMBER consensus nicene_creed_authority__liturgical_habituation_reading no_agent_seats
MEMBER consensus organization_floor_c0 plural
MEMBER consensus partition_choice_reading plural
MEMBER consensus performance_legitimacy_contradictions no_agent_seats
MEMBER consensus performance_legitimacy_flat_control plural
MEMBER consensus polaris_document_status_contradictions no_agent_seats
MEMBER consensus polaris_document_status_flat_control plural
MEMBER consensus post_evidentiary plural
MEMBER consensus pragmatic_action_reading plural
MEMBER consensus pre_public_initiative_reading plural
MEMBER consensus prerequisite_debt_reading plural
MEMBER consensus press_reformation_causality__strategic_deployment plural
MEMBER consensus press_reformation_causation__mutual_shaping unanimous_no_excluded_seats
MEMBER consensus press_reformation_causation__strategic_deployment plural
MEMBER consensus propagation_speed_asymmetry unanimous_no_excluded_seats
MEMBER consensus property_sector_overhang plural
MEMBER consensus protein_anabolic_resistance plural
MEMBER consensus qualitative_development_reading plural
MEMBER consensus quantitative_growth_reading plural
MEMBER consensus radiative_levitation_stratification manufactured_consensus_candidate
MEMBER consensus reading_acquisition_legitimacy__whole_language_meaning_primacy plural
MEMBER consensus refugee_convention_text__expansive_humanitarian_reading manufactured_consensus_candidate
MEMBER consensus regulated_stablecoin_reading plural
MEMBER consensus responsibility_preservation_mechanism plural
MEMBER consensus scale_ceiling_c0 unanimous_no_excluded_seats
MEMBER consensus secession_legitimacy_boundary__constitutional_impossibility_reading no_agent_seats
MEMBER consensus sex_gender_category__identity_reading plural
MEMBER consensus shinbutsu_ontological_commitment__incoherence_reading no_agent_seats
MEMBER consensus situational_reading plural
MEMBER consensus sovereign_cbdc_reading plural
MEMBER consensus specification_binding_authority plural
MEMBER consensus speech_protection_kernel__absolutist_reading no_agent_seats
MEMBER consensus state_killing_legitimacy__abolition_reading plural
MEMBER consensus statutory_debt_ceiling__coordination_scaffold_reading unanimous_no_excluded_seats
MEMBER consensus superheavy_decay_reading plural
MEMBER consensus synthesis_infrastructure_gap plural
MEMBER consensus techno_nationalist_reading plural
MEMBER consensus third_act_arbitrage plural
MEMBER consensus trajectory_extrapolation_reading plural
MEMBER consensus udhr_article_3__negative_liberty_reading plural
MEMBER consensus validation_judgment_separation unanimous_no_excluded_seats
MEMBER consensus vedic_corpus_social_prescription__colonial_orientalist_reading plural
MEMBER consensus visual_evidentiary_authority_contradictions no_agent_seats
MEMBER consensus visual_evidentiary_authority_flat_control plural
MEMBER consensus womens_financial_autonomy plural
MEMBER consensus zero_mathematical_status__parmenidean_rejection plural
MEMBER consensus zero_mathematical_status__placeholder_reading no_agent_seats
MEMBER consensus zionist_legitimacy_basis__national_liberation_reading plural
PROV ability_ceiling_reading 8080348c4e16a265fafc924dcde83360dfd170fc claude-sonnet-4-5-20250929 2026-06-27
PROV access_barrier_reading 8080348c4e16a265fafc924dcde83360dfd170fc claude-sonnet-4-5-20250929 2026-06-27
PROV actinide_replenishment_mechanism_flat_control 22843cdfd28a814d8f30c35778e75821452545bd claude-sonnet-4-5-20250929 2026-06-13
PROV adjunctification_of_university_teaching_c0 046e0a40c34cddf4fff29b8c15f632dbdef31b7a claude-sonnet-4-5-20250929 2026-06-12
PROV alignment_constraint_narrowing 8080348c4e16a265fafc924dcde83360dfd170fc claude-sonnet-4-5-20250929 2026-06-30
PROV animal_status_kernel__property_reading 22843cdfd28a814d8f30c35778e75821452545bd claude-haiku-4-5-20251001 2026-06-13
PROV apoe4_mitochondrial_vulnerability 22843cdfd28a814d8f30c35778e75821452545bd claude-sonnet-4-5-20250929 2026-06-18
PROV architectural_pattern_validity 22843cdfd28a814d8f30c35778e75821452545bd claude-sonnet-4-5-20250929 2026-06-17
PROV authoritative_specification_reading 22843cdfd28a814d8f30c35778e75821452545bd claude-sonnet-4-5-20250929 2026-06-17
PROV basic_law_interpretive_authority__parliamentary_sovereignty_reading 22843cdfd28a814d8f30c35778e75821452545bd claude-haiku-4-5-20251001 2026-06-13
PROV basic_law_interpretive_boundary__parliamentary_sovereignty_reading 22843cdfd28a814d8f30c35778e75821452545bd claude-haiku-4-5-20251001 2026-06-13
PROV behavioral_adoption_friction 22843cdfd28a814d8f30c35778e75821452545bd claude-sonnet-4-5-20250929 2026-06-15
PROV benchmark_saturation_interpretation 8080348c4e16a265fafc924dcde83360dfd170fc claude-sonnet-4-5-20250929 2026-06-29
PROV bitcoin_whitepaper_purpose__nakamoto_oracle_opacity 22843cdfd28a814d8f30c35778e75821452545bd claude-haiku-4-5-20251001 2026-06-13
PROV border_control_legitimacy__freedom_of_movement_primary 22843cdfd28a814d8f30c35778e75821452545bd claude-haiku-4-5-20251001 2026-06-13
PROV capability_endogeneity 8080348c4e16a265fafc924dcde83360dfd170fc claude-sonnet-4-5-20250929 2026-06-29
PROV catastrophe_memory_kernel__boundary_maintenance_reading 22843cdfd28a814d8f30c35778e75821452545bd gemini-2.5-flash 2026-06-13
PROV conceptual_framework_reading 22843cdfd28a814d8f30c35778e75821452545bd claude-sonnet-4-5-20250929 2026-06-17
PROV crypto_permissionless_reading 22843cdfd28a814d8f30c35778e75821452545bd claude-sonnet-4-5-20250929 2026-06-15
PROV dataset_recycling_amplification 8080348c4e16a265fafc924dcde83360dfd170fc claude-sonnet-4-5-20250929 2026-06-30
PROV demographic_resource_allocation 046e0a40c34cddf4fff29b8c15f632dbdef31b7a claude-sonnet-4-20250514 2026-06-12
PROV demographic_skill_mismatch_c0 046e0a40c34cddf4fff29b8c15f632dbdef31b7a claude-sonnet-4-5-20250929 2026-06-12
PROV digital_money_legitimacy_flat_control 22843cdfd28a814d8f30c35778e75821452545bd claude-sonnet-4-5-20250929 2026-06-15
PROV dispositional_reading 8080348c4e16a265fafc924dcde83360dfd170fc claude-sonnet-4-5-20250929 2026-06-25
PROV distributed_verification 22843cdfd28a814d8f30c35778e75821452545bd claude-sonnet-4-5-20250929 2026-06-16
PROV divine_legitimacy_substrate__folk_syncretistic_reading 22843cdfd28a814d8f30c35778e75821452545bd claude-haiku-4-5-20251001 2026-06-13
PROV doomsday_clock_metric__hybrid_legitimacy_reading 22843cdfd28a814d8f30c35778e75821452545bd gemini-2.5-flash 2026-06-13
PROV dueling_disappearance_mechanism__overdetermined_composite_reading 22843cdfd28a814d8f30c35778e75821452545bd claude-haiku-4-5-20251001 2026-06-13
PROV empty_shell_tolerance 8080348c4e16a265fafc924dcde83360dfd170fc claude-sonnet-4-5-20250929 2026-06-24
PROV epistemic_collapse 22843cdfd28a814d8f30c35778e75821452545bd claude-sonnet-4-5-20250929 2026-06-16
PROV equal_protection_kernel__colorblind_reading 22843cdfd28a814d8f30c35778e75821452545bd claude-haiku-4-5-20251001 2026-06-13
PROV fictional_construct_reading 22843cdfd28a814d8f30c35778e75821452545bd claude-sonnet-4-5-20250929 2026-06-17
PROV fourteenth_amendment_equal_protection__formal_equality_reading 22843cdfd28a814d8f30c35778e75821452545bd claude-haiku-4-5-20251001 2026-06-13
PROV gendered_outcome_asymmetry 8080348c4e16a265fafc924dcde83360dfd170fc claude-sonnet-4-5-20250929 2026-06-24
PROV generality_standard_flat_control 8080348c4e16a265fafc924dcde83360dfd170fc claude-sonnet-4-5-20250929 2026-06-29
PROV generation_gate_reading 8080348c4e16a265fafc924dcde83360dfd170fc claude-sonnet-4-5-20250929 2026-06-29
PROV geopolitical_settlement_competition 22843cdfd28a814d8f30c35778e75821452545bd claude-sonnet-4-5-20250929 2026-06-15
PROV gita_kurukshetra_discourse__gandhian_allegorical_reading 22843cdfd28a814d8f30c35778e75821452545bd claude-haiku-4-5-20251001 2026-06-13
PROV historical_treaty_substrate__stewardship_reading 22843cdfd28a814d8f30c35778e75821452545bd gemini-2.5-flash 2026-06-13
PROV indexical_realism 22843cdfd28a814d8f30c35778e75821452545bd claude-sonnet-4-5-20250929 2026-06-16
PROV institutional_barrier_structure 22843cdfd28a814d8f30c35778e75821452545bd claude-sonnet-4-5-20250929 2026-06-18
