leg	kernel	reading	uid	tier	name	grounding	in_corpus
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__christian_canonical_reading	4c141207-a017-4d4c-8acd-6fc0ce810946	foundational	ecclesiastical_authority_depositum_fidei	theological	yes
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__muslim_shariat_reading	4d0039f4-3a25-4ce1-9195-be4f7054897f	foundational	shariat_divine_immutability	deontological	yes
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__muslim_shariat_reading	4d0039f4-3a25-4ce1-9195-be4f7054897f	secondary	community_adjudication_authenticity	conventional	yes
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__hindu_codified_reading	c6cce1ce-3a4d-42da-a291-4253f4254dea	foundational	brahminical_interpretive_tradition_as_authority_source	conventional	yes
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__hindu_codified_reading	c6cce1ce-3a4d-42da-a291-4253f4254dea	foundational	marriage_as_community_status_not_individual_contract	deontological	yes
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__hindu_codified_reading	c6cce1ce-3a4d-42da-a291-4253f4254dea	secondary	patriarchal_marital_defaults_embedded_in_dharma	empirically_contingent	yes
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__secular_civil_reading	ce31e44d-ba6a-465f-a088-cc31e7bac1ca	foundational	individual_liberty_supersedes_community_authority	deontological	yes
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__secular_civil_reading	ce31e44d-ba6a-465f-a088-cc31e7bac1ca	foundational	state_neutrality_toward_religion_requires_secular_law	conventional	yes
testsets_haiku	vatican_ii_doctrinal_authority	vatican_ii_doctrinal_authority__composite_overdetermination_reading	091e8f6c-f378-44e0-8948-568c893ef71c	foundational	council_exhibits_component_independence	empirically_contingent	yes
testsets_haiku	vatican_ii_doctrinal_authority	vatican_ii_doctrinal_authority__composite_overdetermination_reading	091e8f6c-f378-44e0-8948-568c893ef71c	foundational	composite_framing_masks_structural_asymmetries	empirically_contingent	yes
testsets_haiku	vatican_ii_doctrinal_authority	vatican_ii_doctrinal_authority__rupture_traditionalist_reading	a76db021-d96f-4fa3-8073-7bfe9e1658fa	foundational	doctrinal_identity_essential_to_apostolic_transmission	deontological	yes
testsets_haiku	vatican_ii_doctrinal_authority	vatican_ii_doctrinal_authority__rupture_traditionalist_reading	a76db021-d96f-4fa3-8073-7bfe9e1658fa	foundational	conciliar_ambiguity_indicates_error_not_theological_depth	empirically_contingent	yes
testsets_haiku	vatican_ii_doctrinal_authority	vatican_ii_doctrinal_authority__continuity_reading	aa358768-7152-42bf-8e9f-ea7644931157	foundational	doctrinal_continuity_through_development	deontological	yes
testsets_haiku	vatican_ii_doctrinal_authority	vatican_ii_doctrinal_authority__continuity_reading	aa358768-7152-42bf-8e9f-ea7644931157	foundational	magisterial_interpretive_authority_preservation	conventional	yes
testsets_haiku	vatican_ii_doctrinal_authority	vatican_ii_doctrinal_authority__rupture_progressive_reading	b842b86c-a1ce-4b6a-81c9-fb3b75719d9c	foundational	doctrinal_positions_reversible_under_development	deontological	yes
testsets_haiku	vatican_ii_doctrinal_authority	vatican_ii_doctrinal_authority__rupture_progressive_reading	b842b86c-a1ce-4b6a-81c9-fb3b75719d9c	foundational	spirit_of_council_authorizes_ongoing_reform	conventional	yes
testsets_haiku	software_source_status	software_source_status__pragmatic_development_reading	0c0eca39-7021-4fb2-ab63-9be9642d1e9a	foundational	transparency_improves_quality	empirically_contingent	yes
testsets_haiku	software_source_status	software_source_status__pragmatic_development_reading	0c0eca39-7021-4fb2-ab63-9be9642d1e9a	foundational	openness_instrumentally_justified	instrumental	yes
testsets_haiku	software_source_status	software_source_status__utilitarian_hybrid_reading	7a1cbf56-797f-4e89-8dd6-189b92ca3697	foundational	welfare_aggregation_principle	instrumental	yes
testsets_haiku	software_source_status	software_source_status__utilitarian_hybrid_reading	7a1cbf56-797f-4e89-8dd6-189b92ca3697	foundational	context_dependent_optimization	empirically_contingent	yes
testsets_haiku	software_source_status	software_source_status__freedom_imperative_reading	a568910b-5b9f-4c89-95c7-98992683a948	foundational	source_code_access_inalienable_right	deontological	yes
testsets_haiku	software_source_status	software_source_status__freedom_imperative_reading	a568910b-5b9f-4c89-95c7-98992683a948	foundational	proprietary_closure_categorically_unjust	deontological	yes
testsets_haiku	software_source_status	software_source_status__property_rights_reading	cdc52959-8d78-49ff-ad10-62435ba08914	foundational	proprietary_source_ownership	deontological	yes
testsets_haiku	software_source_status	software_source_status__property_rights_reading	cdc52959-8d78-49ff-ad10-62435ba08914	secondary	creator_incentive_hypothesis	empirically_contingent	yes
testsets_haiku	ai_governance_legitimacy	ai_governance_legitimacy__market_libertarian_reading	787e60ce-8fab-44e4-887c-9db725af936e	foundational	property_rights_pre_political	deontological	yes
testsets_haiku	ai_governance_legitimacy	ai_governance_legitimacy__market_libertarian_reading	787e60ce-8fab-44e4-887c-9db725af936e	foundational	solidarity_claims_illegitimate_coercion	deontological	yes
testsets_haiku	ai_governance_legitimacy	ai_governance_legitimacy__market_libertarian_reading	787e60ce-8fab-44e4-887c-9db725af936e	secondary	market_discipline_sufficient_governance	empirically_contingent	yes
testsets_haiku	ai_governance_legitimacy	ai_governance_legitimacy__technocratic_optimization_reading	88a671c4-840c-44d4-ac7e-7fc6e41b4b7a	foundational	welfare_maximization_primacy	instrumental	yes
testsets_haiku	ai_governance_legitimacy	ai_governance_legitimacy__technocratic_optimization_reading	88a671c4-840c-44d4-ac7e-7fc6e41b4b7a	foundational	technocratic_expertise_deference	empirically_contingent	yes
testsets_haiku	ai_governance_legitimacy	ai_governance_legitimacy__magisterial_subsidiarity_reading	d4f1dc5b-4843-49a4-8bce-b98d6eb31bf5	foundational	magisterial_authority_ai_governance	deontological	yes
testsets_haiku	ai_governance_legitimacy	ai_governance_legitimacy__magisterial_subsidiarity_reading	d4f1dc5b-4843-49a4-8bce-b98d6eb31bf5	foundational	human_dignity_subordinates_efficiency	deontological	yes
testsets_haiku	ai_governance_legitimacy	ai_governance_legitimacy__magisterial_subsidiarity_reading	d4f1dc5b-4843-49a4-8bce-b98d6eb31bf5	secondary	technology_serves_common_good_not_extraction	instrumental	yes
testsets_haiku	animal_moral_status	animal_moral_status__abolitionist_reading	a330f506-5094-4630-b835-f7857e2e8321	foundational	animals_are_rights_bearing_individuals	deontological	yes
testsets_haiku	animal_moral_status	animal_moral_status__abolitionist_reading	a330f506-5094-4630-b835-f7857e2e8321	foundational	property_status_is_inherent_violation	deontological	yes
testsets_haiku	animal_moral_status	animal_moral_status__welfare_reading	ab9ea50a-ef81-42de-a2d8-9d4df8521cae	foundational	animal_sentience_grounds_welfare_obligation	empirically_contingent	yes
testsets_haiku	animal_moral_status	animal_moral_status__welfare_reading	ab9ea50a-ef81-42de-a2d8-9d4df8521cae	foundational	use_permissible_with_welfare_constraint	deontological	yes
testsets_haiku	animal_moral_status	animal_moral_status__property_reading	b6edfb07-3d3a-4b3a-8021-f2456923a174	foundational	animals_lack_independent_moral_standing	deontological	yes
testsets_haiku	animal_moral_status	animal_moral_status__property_reading	b6edfb07-3d3a-4b3a-8021-f2456923a174	foundational	property_rights_override_sentience_claims	conventional	yes
testsets_haiku	tordesillas_demarcation_kernel	tordesillas_demarcation_kernel__spanish_conquest_legitimation	9ebbf82a-6cb8-48bf-8b44-d0606899b016	foundational	papal_supremacy_licenses_conquest	theological	yes
testsets_haiku	tordesillas_demarcation_kernel	tordesillas_demarcation_kernel__spanish_conquest_legitimation	9ebbf82a-6cb8-48bf-8b44-d0606899b016	foundational	non_christian_peoples_lack_sovereign_rights	conventional	yes
testsets_haiku	tordesillas_demarcation_kernel	tordesillas_demarcation_kernel__portuguese_exploration_legitimation	a0b76b98-d822-45d3-a0ea-58c53da9f0ce	foundational	prior_exploration_legitimates_monopoly	conventional	yes
testsets_haiku	tordesillas_demarcation_kernel	tordesillas_demarcation_kernel__portuguese_exploration_legitimation	a0b76b98-d822-45d3-a0ea-58c53da9f0ce	foundational	papal_demarcation_binds_christian_powers	deontological	yes
testsets_haiku	wto_treaty_framework	wto_treaty_framework__market_access_reading	3d556679-e2ef-4186-aa29-5424b8fde59d	foundational	trade_liberalization_symmetric_universal_obligation	conventional	yes
testsets_haiku	wto_treaty_framework	wto_treaty_framework__market_access_reading	3d556679-e2ef-4186-aa29-5424b8fde59d	foundational	s_and_d_provisions_temporary_exceptions	conventional	yes
testsets_haiku	wto_treaty_framework	wto_treaty_framework__market_access_reading	3d556679-e2ef-4186-aa29-5424b8fde59d	secondary	non_discrimination_primary_treaty_purpose	instrumental	yes
testsets_haiku	wto_treaty_framework	wto_treaty_framework__developmental_reading	f1b8ebc9-d19b-46f7-87d0-7af37a8e572b	foundational	s_and_d_permanent_structural_accommodation	deontological	yes
testsets_haiku	wto_treaty_framework	wto_treaty_framework__developmental_reading	f1b8ebc9-d19b-46f7-87d0-7af37a8e572b	foundational	development_policy_space_equal_status_right	deontological	yes
testsets_haiku	wto_treaty_framework	wto_treaty_framework__developmental_reading	f1b8ebc9-d19b-46f7-87d0-7af37a8e572b	secondary	technology_transfer_compulsory_obligation	empirically_contingent	yes
