id	eps	supp	tr	chi	mt	ft
catastrophe_proxy_sufficiency__simulation_fidelity_threshold	0.62	0.48	0.41	0.8493570224093454	unknown	unknown
cbdr_principle__historical_responsibility_reading	0.68	0.52	0.41	0.9315528632876693	unknown	snare
cbdr_principle__voluntary_commitment_reading	0.68	0.72	0.41	0.9315528632876693	snare	snare
church_turing_thesis__epistemological_boundary_reading	0.38	0.22	0.18	0.5205736588960505	unknown	unknown
church_turing_thesis__mathematical_definition_reading	0.08	0.02	0.05	0.10959445450443167	scaffold	rope
church_turing_thesis__physical_claim_reading	0.58	0.67	0.28	0.4523999999999999	tangled_rope	tangled_rope
classical_latin_standard__continuity_reading	0.48	0.32	0.28	0.6575667270265899	unknown	unknown
classical_latin_standard__hybrid_reading	0.48	0.52	0.31	0.6575667270265899	tangled_rope	tangled_rope
classical_latin_standard__reconstruction_reading	0.79	0.82	0.41	1.0822452382312628	snare	snare
climate_harm_prevention__adaptation_priority	0.68	0.71	0.42	0.9315528632876693	snare	snare
climate_harm_prevention__degrowth_reading	0.68	0.72	0.41	0.9315528632876693	snare	snare
climate_harm_prevention__mitigation_priority	0.68	0.61	0.42	0.9315528632876693	snare	snare
climate_mitigation_imperative__opportunity_cost_reading	0.67	0.58	0.42	0.5226	tangled_rope	tangled_rope
climate_mitigation_imperative__portfolio_optimization_reading	0.67	0.58	0.42	0.9178535564746153	unknown	snare
climate_mitigation_imperative__systems_transition_reading	0.68	0.52	0.41	0.9315528632876693	unknown	snare
climate_mitigation_legitimacy__baseload_necessity_reading	0.68	0.72	0.41	0.9315528632876693	snare	snare
climate_mitigation_legitimacy__degrowth_sufficiency_reading	0.68	0.71	0.42	0.9315528632876693	snare	snare
climate_mitigation_legitimacy__portfolio_pragmatism_reading	0.62	0.58	0.41	0.8493570224093454	tangled_rope	tangled_rope
climate_mitigation_legitimacy__renewable_primacy_reading	0.62	0.58	0.41	0.8493570224093454	tangled_rope	tangled_rope
climate_response_action__adaptation_priority	0.68	0.62	0.41	0.9315528632876693	snare	snare
climate_response_action__degrowth_transformation	0.68	0.72	0.41	0.9315528632876693	snare	snare
climate_response_action__mitigation_priority	0.68	0.71	0.44	0.9315528632876693	snare	snare
climate_response_imperative__adaptation_priority_reading	0.72	0.68	0.41	0.9863500905398849	snare	snare
climate_response_imperative__degrowth_reading	0.68	0.52	0.41	0.9315528632876693	unknown	snare
climate_response_imperative__mitigation_priority_reading	0.68	0.72	0.41	0.9315528632876693	snare	snare
climate_response_legitimacy__adaptation_priority	0.68	0.71	0.41	0.9315528632876693	snare	snare
climate_response_legitimacy__degrowth_transformation	0.68	0.72	0.41	0.9315528632876693	snare	snare
climate_response_legitimacy__mitigation_priority	0.68	0.52	0.41	0.9315528632876693	unknown	snare
climate_response_obligation__adaptation_priority	0.78	0.71	0.52	1.0685459314182089	snare	snare
climate_response_obligation__degrowth_reading	0.68	0.71	0.42	0.9315528632876693	snare	snare
climate_response_obligation__mitigation_priority	0.67	0.58	0.42	0.5226	tangled_rope	tangled_rope
coercion_legitimacy_boundary__bodily_autonomy_primary	0.41	0.28	0.22	0.5616715793352122	unknown	unknown
coercion_legitimacy_boundary__proportionality_reading	0.58	0.72	0.41	0.7945597951571295	snare	snare
coercion_legitimacy_boundary__public_health_primary	0.72	0.81	0.28	0.9863500905398849	snare	snare
combatant_status_definition__functional_protection_reading	0.18	0.22	0.08	0.24658752263497122	rope	rope
combatant_status_definition__national_liberation_reading	0.68	0.72	0.28	0.9315528632876693	snare	snare
combatant_status_definition__state_centric_reading	0.79	0.81	0.42	1.0822452382312628	snare	snare
commerce_clause_scope__broad_effects_test	0.82	0.71	0.42	1.1233431586704243	snare	snare
commerce_clause_scope__intermediate_channels	0.58	0.42	0.31	0.7945597951571295	tangled_rope	tangled_rope
commerce_clause_scope__narrow_originalist	0.28	0.15	0.22	0.3835805907655109	unknown	unknown
commerce_clause_text__expansive_federal_reading	0.68	0.42	0.28	0.9315528632876693	unknown	snare
commerce_clause_text__originalist_narrow_reading	0.62	0.71	0.48	0.8493570224093454	snare	snare
commerce_clause_text__substantial_effects_limited_reading	0.58	0.62	0.41	0.7945597951571295	snare	snare
common_article_3_scope__expansive_human_rights_reading	0.68	0.62	0.28	0.9315528632876693	snare	snare
common_article_3_scope__icrc_customary_reading	0.31	0.19	0.12	0.4246785112046727	scaffold	tangled_rope
common_article_3_scope__state_centric_reading	0.68	0.79	0.42	0.9315528632876693	snare	snare
common_law_precedent_corpus__evolutionary_framework	0.38	0.22	0.18	0.5205736588960505	unknown	unknown
common_law_precedent_corpus__pluralist_balancing	0.58	0.52	0.41	0.7945597951571295	tangled_rope	tangled_rope
common_law_precedent_corpus__strict_stare_decisis	0.68	0.72	0.41	0.5303999999999999	tangled_rope	tangled_rope
competence_exercise_requirement__catastrophe_as_necessary_anchor	0.68	0.72	0.58	0.9315528632876693	snare	snare
competence_exercise_requirement__hybrid_dependency	0.62	0.71	0.48	0.8493570224093454	snare	snare
competence_exercise_requirement__simulation_as_adequate_exercise	0.68	0.71	0.52	0.9315528632876693	snare	snare
competence_exercise_validity__continuous_refresh_hybrid	0.62	0.71	0.48	0.8493570224093454	snare	snare
competence_exercise_validity__real_catastrophe_only	0.67	0.71	0.58	0.9178535564746153	snare	snare
competence_exercise_validity__simulation_as_proxy	0.58	0.62	0.67	0.7945597951571295	snare	snare
competence_occupation__hybrid_occupation	0.68	0.52	0.41	0.9315528632876693	unknown	snare
competence_occupation__real_incident_necessity	0.89	0.91	0.68	1.2192383063618022	snare	snare
competence_occupation__simulation_sufficiency	0.68	0.72	0.58	0.9315528632876693	snare	snare
competence_retention_exercise__catastrophe_as_necessary	0.68	0.71	0.52	0.9315528632876693	snare	snare
competence_retention_exercise__near_miss_as_bridge	0.38	0.22	0.18	0.5205736588960505	unknown	unknown
competence_retention_exercise__simulation_as_sufficient	0.61	0.72	0.58	0.8356577155962914	snare	snare
constitutional_authority_boundary__coordinate_construction_reading	0.42	0.28	0.22	0.5753708861482661	unknown	unknown
constitutional_authority_boundary__judicial_supremacy_reading	0.68	0.71	0.42	0.9315528632876693	snare	snare
constitutional_authority_boundary__parliamentary_primacy_reading	0.18	0.22	0.12	0.24658752263497122	rope	rope
constitutional_interpretive_authority__coordinate_construction_reading	0.38	0.29	0.42	0.5205736588960505	unknown	unknown
constitutional_interpretive_authority__judicial_supremacy_reading	0.68	0.72	0.42	0.9315528632876693	snare	snare
constitutional_interpretive_authority__parliamentary_supremacy_reading	0.62	0.71	0.41	0.8493570224093454	snare	snare
constitutional_secularism__principled_intervention_reading	0.62	0.58	0.41	0.8493570224093454	tangled_rope	tangled_rope
constitutional_secularism__reformist_reading	0.71	0.68	0.42	0.9726507837268309	snare	snare
constitutional_secularism__strict_neutrality_reading	0.62	0.41	0.28	0.8493570224093454	tangled_rope	tangled_rope
constitutional_text__judicial_supremacy_reading	0.68	0.71	0.42	0.9315528632876693	snare	snare
constitutional_text__legislative_sovereignty_reading	0.68	0.71	0.42	0.9315528632876693	snare	snare
constitutional_text__popular_sovereignty_reading	0.31	0.18	0.52	0.4246785112046727	unknown	unknown
constitutional_text_authority__living_constitutionalist_reading	0.58	0.42	0.31	0.7945597951571295	tangled_rope	tangled_rope
constitutional_text_authority__originalist_reading	0.68	0.62	0.41	0.9315528632876693	snare	snare
constitutional_text_authority__positivist_reading	0.42	0.38	0.28	0.5753708861482661	unknown	unknown
copyright_constitutional_mandate__corporate_enclosure_reading	0.81	0.76	0.48	0.6317999999999999	tangled_rope	tangled_rope
copyright_constitutional_mandate__judicial_ambiguity_reading	0.42	0.28	0.19	0.7153655118614608	unknown	unknown
copyright_constitutional_mandate__public_scaffold_reading	0.38	0.22	0.18	0.5205736588960505	unknown	unknown
correct_latin__continuity_reading	0.31	0.22	0.18	0.4246785112046727	scaffold	tangled_rope
correct_latin__discontinuity_reading	0.68	0.72	0.44	0.9315528632876693	snare	snare
correct_latin__hybrid_reading	0.42	0.38	0.28	0.5753708861482661	unknown	unknown
correct_latin_kernel__continuity_reading	0.38	0.52	0.29	0.5205736588960505	unknown	unknown
correct_latin_kernel__discontinuity_reading	0.58	0.67	0.41	0.7945597951571295	snare	snare
correct_latin_kernel__hybrid_reading	0.62	0.58	0.41	0.8493570224093454	tangled_rope	tangled_rope
creed_381_pneumatology__ecumenical_reunion_reading	0.28	0.12	0.08	0.3835805907655109	scaffold	tangled_rope
creed_381_pneumatology__filioque_reading	0.71	0.68	0.42	0.9726507837268309	snare	snare
creed_381_pneumatology__monoprocession_reading	0.68	0.72	0.42	0.9315528632876693	snare	snare
cultural_property_legal_corpus__indigenous_stewardship_reading	0.82	0.79	0.58	1.1233431586704243	snare	snare
cultural_property_legal_corpus__sovereign_repatriation_reading	0.58	0.42	0.28	0.7945597951571295	tangled_rope	tangled_rope
cultural_property_legal_corpus__universal_heritage_reading	0.78	0.71	0.41	1.0685459314182089	snare	snare
decalogue_image_prohibition__iconoclast_reading	0.81	0.88	0.42	1.1096438518573708	snare	snare
decalogue_image_prohibition__iconodule_reading	0.38	0.72	0.28	0.5205736588960505	unknown	unknown
decalogue_image_prohibition__moderate_iconoclast_reading	0.68	0.72	0.58	0.9315528632876693	snare	snare
deferential_realism_ontology__hybrid_pragmatic_reading	0.58	0.62	0.48	0.7945597951571295	snare	snare
deferential_realism_ontology__immutable_diagnostic_reading	0.68	0.76	0.41	0.9315528632876693	snare	snare
deferential_realism_ontology__rhetorical_scaffold_reading	0.62	0.28	0.71	0.8493570224093454	unknown	snare
derivative_work_statutory_boundary__coordination_reading	0.28	0.15	0.12	0.3835805907655109	scaffold	tangled_rope
derivative_work_statutory_boundary__enclosure_reading	0.81	0.79	0.42	1.1096438518573708	snare	snare
derivative_work_statutory_boundary__hybrid_carveout_reading	0.58	0.62	0.28	0.7945597951571295	snare	snare
dharmasastra_corpus__abolitionist_rejection	0.89	0.91	0.42	1.2192383063618022	snare	snare
dharmasastra_corpus__orthodox_literalist	0.82	0.88	0.42	1.1233431586704243	snare	snare
dharmasastra_corpus__reformist_contextual	0.58	0.42	0.48	0.7945597951571295	tangled_rope	tangled_rope
digital_money_emergence_boundary__conceptualization_reading	0.28	0.15	0.08	0.21839999999999998	scaffold	scaffold
digital_money_emergence_boundary__consumer_holdings_reading	0.62	0.41	0.28	0.8493570224093454	tangled_rope	tangled_rope
digital_money_emergence_boundary__infrastructure_reading	0.68	0.71	0.42	0.9315528632876693	snare	snare
digital_money_origin__became_thinkable_reading	0.62	0.71	0.48	0.8493570224093454	snare	snare
digital_money_origin__first_held_reading	0.62	0.71	0.28	0.8493570224093454	snare	snare
digital_money_origin__regulatory_recognition_reading	0.68	0.71	0.42	0.9315528632876693	snare	snare
dignified_death__autonomy_primary	0.52	0.68	0.41	0.7123639542788058	snare	snare
dignified_death__relational_autonomy	0.38	0.42	0.28	0.5205736588960505	tangled_rope	tangled_rope
dignified_death__sanctity_primary	0.62	0.71	0.48	0.8493570224093454	snare	snare
dignity_kernel__autonomy_rights_reading	0.62	0.51	0.28	0.8493570224093454	tangled_rope	tangled_rope
dignity_kernel__imago_dei_reading	0.58	0.67	0.41	0.7945597951571295	snare	snare
dignity_kernel__posthumanist_reading	0.68	0.52	0.31	0.9315528632876693	unknown	snare
divine_legitimacy_substrate__amun_polytheistic_reading	0.62	0.71	0.48	0.8493570224093454	snare	snare
divine_legitimacy_substrate__atenist_monotheistic_reading	0.87	0.91	0.62	1.1918396927356942	snare	snare
divine_marriage_command__coercion_visibility_reading	0.68	0.71	0.58	0.9315528632876693	snare	snare
divine_marriage_command__continuationist_reading	0.68	0.71	0.42	0.9315528632876693	snare	snare
divine_marriage_command__substitutionist_reading	0.68	0.71	0.52	0.9315528632876693	snare	snare
dollar_gold_convertibility__policy_flexible_reading	0.62	0.71	0.48	0.8493570224093454	snare	snare
dollar_gold_convertibility__strict_convertibility_reading	0.68	0.52	0.29	0.9315528632876693	unknown	snare
dollar_gold_convertibility__triffin_structural_reading	0.81	0.62	0.44	1.1096438518573708	snare	snare
doomsday_clock_metric__objective_index_reading	0.68	0.79	0.22	0.9315528632876693	snare	snare
doomsday_clock_metric__performative_tool_reading	0.68	0.71	0.79	0.9315528632876693	snare	snare
dsm_taxonomy_kernel__biomedical_reading	0.76	0.71	0.42	1.041147317792101	snare	snare
dsm_taxonomy_kernel__critical_psychiatry_reading	0.68	0.72	0.58	0.9315528632876693	snare	snare
dsm_taxonomy_kernel__neurodiversity_reading	0.79	0.76	0.58	1.0822452382312628	snare	snare
dual_class_legitimacy__disclosure_consent	0.38	0.22	0.18	0.5205736588960505	unknown	unknown
dual_class_legitimacy__founder_stewardship	0.42	0.31	0.28	0.5753708861482661	unknown	unknown
dual_class_legitimacy__minority_extraction	0.68	0.72	0.41	0.9315528632876693	snare	snare
dueling_disappearance_mechanism__contraction_reading	0.62	0.71	0.28	0.8493570224093454	snare	snare
dueling_disappearance_mechanism__institutional_displacement_reading	0.18	0.22	0.08	0.24658752263497122	scaffold	tangled_rope
ecb_mandate_article_127__climate_incorporation	0.68	0.72	0.48	0.9315528632876693	snare	snare
ecb_mandate_article_127__expansive_secondary_objectives	0.62	0.54	0.41	0.8493570224093454	tangled_rope	tangled_rope
ecb_mandate_article_127__orthodox_price_stability	0.68	0.76	0.42	0.9315528632876693	snare	snare
electronic_money_emergence__became_thinkable_reading	0.31	0.18	0.22	0.4246785112046727	scaffold	tangled_rope
electronic_money_emergence__first_held_reading	0.31	0.12	0.18	0.4246785112046727	scaffold	tangled_rope
electronic_money_emergence__m4_m5_collapse_reading	0.62	0.71	0.68	0.8493570224093454	snare	snare
employment_boundary__formalist_employment_reading	0.81	0.72	0.48	1.1096438518573708	snare	snare
employment_boundary__hybrid_security_reading	0.58	0.52	0.48	0.7945597951571295	tangled_rope	tangled_rope
employment_boundary__substantive_employment_reading	0.62	0.58	0.41	0.8493570224093454	tangled_rope	tangled_rope
end_of_life_authority__autonomy_reading	0.62	0.78	0.28	0.8493570224093454	snare	snare
end_of_life_authority__sanctity_reading	0.68	0.72	0.41	0.9315528632876693	snare	snare
end_of_life_authority__slippery_slope_mechanism	0.68	0.72	0.41	0.9315528632876693	snare	snare
end_of_life_decision_authority__autonomy_reading	0.58	0.72	0.29	0.7945597951571295	snare	snare
end_of_life_decision_authority__sanctity_reading	0.62	0.71	0.48	0.8493570224093454	snare	snare
end_of_life_decision_authority__vulnerability_protection_reading	0.41	0.58	0.22	0.5616715793352122	tangled_rope	tangled_rope
equal_protection_clause__colorblind_reading	0.08	0.12	0.18	0.10959445450443167	scaffold	rope
equal_protection_clause__diversity_reading	0.38	0.42	0.28	0.5205736588960505	tangled_rope	tangled_rope
equal_protection_clause__remedial_reading	0.62	0.58	0.28	0.8493570224093454	tangled_rope	tangled_rope
equal_protection_commitment__colorblind_reading	0.42	0.48	0.29	0.5753708861482661	tangled_rope	tangled_rope
